Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Mikhail Sergachev (26347618),Mikhail Sergachev,26347618,D/UTIL,6400,CLS@TB 01/10/2023 07:00PM ET,TB,11.38
LW,Artemi Panarin (26347162),Artemi Panarin,26347162,W/UTIL,6400,MIN@NYR 01/10/2023 07:00PM ET,NYR,11.40
C,Dylan Larkin (26346924),Dylan Larkin,26346924,C/UTIL,6400,WPG@DET 01/10/2023 07:00PM ET,DET,12.13
LW,Chris Kreider (26347164),Chris Kreider,26347164,W/UTIL,6300,MIN@NYR 01/10/2023 07:00PM ET,NYR,11.64
D,Adam Fox (26347620),Adam Fox,26347620,D/UTIL,6300,MIN@NYR 01/10/2023 07:00PM ET,NYR,11.67
C,Nico Hischier (26346926),Nico Hischier,26346926,C/UTIL,6300,NJ@CAR 01/10/2023 07:00PM ET,NJ,12.96
LW,Brandon Hagel (26347166),Brandon Hagel,26347166,W/UTIL,6200,CLS@TB 01/10/2023 07:00PM ET,TB,10.72
C,Nazem Kadri (26346928),Nazem Kadri,26346928,C/UTIL,6200,CGY@STL 01/10/2023 08:00PM ET,CGY,11.59
D,Aaron Ekblad (26347622),Aaron Ekblad,26347622,D/UTIL,6200,FLA@COL 01/10/2023 09:30PM ET,FLA,10.64
C,Evgeni Malkin (26346930),Evgeni Malkin,26346930,C/UTIL,6100,VAN@PIT 01/10/2023 07:00PM ET,PIT,11.07
D,Noah Dobson (26347624),Noah Dobson,26347624,D/UTIL,6100,DAL@NYI 01/10/2023 07:30PM ET,NYI,10.85
LW,Carter Verhaeghe (26347168),Carter Verhaeghe,26347168,W/UTIL,6100,FLA@COL 01/10/2023 09:30PM ET,FLA,11.25
C,Pierre-Luc Dubois (26346932),Pierre-Luc Dubois,26346932,C/UTIL,6000,WPG@DET 01/10/2023 07:00PM ET,WPG,13.28
D,Josh Morrissey (26347626),Josh Morrissey,26347626,D/UTIL,6000,WPG@DET 01/10/2023 07:00PM ET,WPG,11.44
LW,Gabriel Landeskog (26347170),Gabriel Landeskog,26347170,W/UTIL,6000,FLA@COL 01/10/2023 09:30PM ET,COL,0
LW,Clayton Keller (26347172),Clayton Keller,26347172,W/UTIL,6000,SJ@ARI 01/10/2023 09:00PM ET,ARI,10.45
D,Jacob Trouba (26347628),Jacob Trouba,26347628,D/UTIL,5900,MIN@NYR 01/10/2023 07:00PM ET,NYR,11.41
RW,Rickard Rakell (26347174),Rickard Rakell,26347174,W/UTIL,5900,VAN@PIT 01/10/2023 07:00PM ET,PIT,10.53
C,Tomas Hertl (26346934),Tomas Hertl,26346934,C/UTIL,5900,SJ@ARI 01/10/2023 09:00PM ET,SJ,11.37
RW,Matt Boldy (26347176),Matt Boldy,26347176,W/UTIL,5800,MIN@NYR 01/10/2023 07:00PM ET,MIN,10.05
C,Brock Nelson (26346936),Brock Nelson,26346936,C/UTIL,5800,DAL@NYI 01/10/2023 07:30PM ET,NYI,11.65
D,Justin Faulk (26347630),Justin Faulk,26347630,D/UTIL,5800,CGY@STL 01/10/2023 08:00PM ET,STL,10.22
C,Dylan Cozens (26346938),Dylan Cozens,26346938,C/UTIL,5700,SEA@BUF 01/10/2023 07:00PM ET,BUF,11.54
RW,Tyler Toffoli (26347178),Tyler Toffoli,26347178,W/UTIL,5700,CGY@STL 01/10/2023 08:00PM ET,CGY,10.81
D,Shayne Gostisbehere (26347632),Shayne Gostisbehere,26347632,D/UTIL,5700,SJ@ARI 01/10/2023 09:00PM ET,ARI,9.81
C,Boone Jenner (26346940),Boone Jenner,26346940,C/UTIL,5600,CLS@TB 01/10/2023 07:00PM ET,CLS,11.87
RW,Blake Wheeler (26347182),Blake Wheeler,26347182,W/UTIL,5600,WPG@DET 01/10/2023 07:00PM ET,WPG,9.47
D,Miro Heiskanen (26347634),Miro Heiskanen,26347634,D/UTIL,5600,DAL@NYI 01/10/2023 07:30PM ET,DAL,11.00
C,Elias Lindholm (26346942),Elias Lindholm,26346942,C/UTIL,5600,CGY@STL 01/10/2023 08:00PM ET,CGY,10.47
LW,Artturi Lehkonen (26347180),Artturi Lehkonen,26347180,W/UTIL,5600,FLA@COL 01/10/2023 09:30PM ET,COL,9.78
C,Vincent Trocheck (26346944),Vincent Trocheck,26346944,C/UTIL,5500,MIN@NYR 01/10/2023 07:00PM ET,NYR,10.64
LW,Anders Lee (26347184),Anders Lee,26347184,W/UTIL,5500,DAL@NYI 01/10/2023 07:30PM ET,NYI,10.58
RW,Joe Pavelski (26347186),Joe Pavelski,26347186,W/UTIL,5500,DAL@NYI 01/10/2023 07:30PM ET,DAL,11.55
D,Rasmus Andersson (26347636),Rasmus Andersson,26347636,D/UTIL,5500,CGY@STL 01/10/2023 08:00PM ET,CGY,10.23
LW,Pavel Buchnevich (26347188),Pavel Buchnevich,26347188,W/UTIL,5400,CGY@STL 01/10/2023 08:00PM ET,STL,10.34
RW,Vladimir Tarasenko (26347190),Vladimir Tarasenko,26347190,W/UTIL,5400,CGY@STL 01/10/2023 08:00PM ET,STL,10.70
