,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
deslauriers3400wn,50.99,N. Deslauriers,3400,W,0,PHI,MTL-J.Allen,4.61,5.9,3.3,-1.29,1.4,3,0,1,0,-2,72,1,3,3.4,2.7,-165,6,46,-145,3.6,-2.5,40,10,58,98,5.9,60,40,30,10,0.08,0.06,0.15,10.31,0.87,0.89,1.38,0.65,0.09,0.44,1.34,7.29,9.06,5.41,0,0,0.06,0,0,0,0,0,0.08,0.06,1.48,0.01,1.46,0.18,0.09,0.27,10.19,1.59,1.45,2.36,0.62,0.12,0.45,1.91,8.36,9.45,0,0,0.03,0,8.57,1.57,1.14,0.43,2,0,10.9,0.05,0,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,deslauriers,n,deslauriers3400wn,87268-14480,W,n,Nicolas Deslauriers,deslauriers,3.688135697,59,3400,MON@PHI,PHI,MON,,,,,,W/UTIL,deslauriers3400wn,2500
dewar3600wc,26.87,Connor Dewar,3600,W,0,MIN,TOR-I.Samsonov,4.24,5.5,3,-2.05,1.2,4,0,1,0,-3.6,57,2,1,2.5,3.6,171,6,15,126,4.8,-1.3,31,12,37,96,2.5,50,50,0,12,0.07,0.13,0.19,10.77,1.06,1.06,1.52,0.69,0.07,0.53,1.58,7.58,7.45,5.62,0,0,0.05,0,0.06,0,0.04,0.01,0.03,0.11,0.51,0,1.13,0,0,0,10,0,1,1.38,0.72,0,0.62,1.62,8,7.15,0,0,0.01,0,8.22,1.67,1,0.67,1.44,0.11,10.28,0.01,0,0,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,dewar,c,dewar3600wc,87268-97056,W,c,Connor Dewar,dewar,4.954385858,57,3600,MIN@TOR,MIN,TOR,,,,,,W/UTIL,dewar3600wc,2500
dillon3900db,56.4,Brenden Dillon,3900,D,0,WPG,COL-A.Georgiev,5.9,7.5,4.3,-1.47,1.5,2,0,1,0,-3.5,63,0,2,3.1,3,-115,6,53,116,6.1,-1.3,69,17,30,86,4.4,62,37,25,8,0.03,0.2,0.24,19.14,0.75,0.96,1.43,0.67,0.04,1.48,2.44,14.99,14.76,11.29,0,0,0.07,0.01,0.02,0.5,0,0.01,0.03,0.19,0.92,0.01,1.08,0,0.1,0.1,18.47,0.32,0.7,1.25,0.56,0,1.3,2,15.9,11.4,0,0,0.04,0,16,1.67,0.67,1,1,0,19.23,0.03,0,0,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,dillon,b,dillon3900db,87268-13406,D,b,Brenden Dillon,dillon,6.42068955,58,3900,COL@WPG,WPG,COL,,,,,,D/UTIL,dillon3900db,2900
dobson6700dn,75.3,Noah Dobson,6700,D,0,NYI,LA-J.Quick,13.03,16.3,9.8,-0.36,1.9,3,1,6,0,-3.2,68,0,2,3.3,2.9,-135,6,55,-134,13,-0.1,72,28,23,97,13.5,58,16,25,12,0.17,0.5,0.67,21.26,1.89,2.59,3.82,0.68,0.07,1.63,4.21,15.79,17.27,11.65,0.05,0.24,3.2,0.68,1.04,0.65,0,0,0.12,0.26,0.21,0,1.89,0.11,0.78,0.89,20,2.67,2.44,3,0.81,0.05,1.11,3.56,16.11,15.89,0.11,0.33,3.78,1.56,15.57,3.71,2.86,0.86,3.67,2.14,20.75,4.24,0.14,0.43,45.39,44.19,44.46,49.21,47.98,2.7,0.2,3.13,0.25,47.92,45.6,50.58,46.2,2.83,0.15,3.4,0.15,49.33,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,dobson,n,dobson6700dn,87268-97214,D,n,Noah Dobson,dobson,12.69298246,57,6700,LA@NYI,NYI,LA,,,,,,D/UTIL,dobson6700dn,5800
doughty5700dd,60.05,Drew Doughty,5700,D,0,LA,NYI-I.Sorokin,11.3,14.2,8.4,0.06,2,1,1,8,0,-3.6,92,2,1,2.9,3.3,114,6,45,112,10.5,-0.6,43,13,22,96,10.6,66,33,33,9,0.05,0.55,0.6,26.16,1.38,1.86,2.57,0.72,0.02,1.38,3.25,17.24,16.19,13.02,0.03,0.29,3.07,0.6,0.78,0.78,0,0,0.02,0.26,0.68,0,1.87,0,0.8,0.8,26.27,1.83,1.6,2.1,0.76,0,0.7,2.3,16.2,19,0,0.6,2.69,0.6,16.67,2.83,2.33,0.5,3,1.33,26.68,2.82,0,0.67,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,doughty,d,doughty5700dd,87268-8406,D,d,Drew Doughty,doughty,10.66896531,58,5700,LA@NYI,LA,NYI,,,,,,D/UTIL,doughty5700dd,5500
drouin4000wj,45.47,Jonathan Drouin,4000,W,0,MTL,PHI-C.Hart,7.42,9.5,5.4,0.35,1.9,3,2,2,0,-2.6,66,1,3,2.7,3.4,140,6,54,125,6.6,0.2,25,12,16,86,11.1,44,22,22,9,0,0.47,0.47,14,2.01,1.42,1.72,0.82,0,0.28,1.69,9.09,11,6.51,0,0.22,2.37,0.25,0.28,0.9,0,0,0,0.25,0.17,0,2.05,0,0.83,0.83,15.05,3.31,2.5,3,0.83,0,0.17,2.67,12.83,9.67,0,0.33,1.55,0.33,12.83,2.67,2.5,0.17,3,0.33,15.05,1.55,0,0.33,45.61,41.22,49.86,47.24,42.98,3.13,0.17,2.79,0.25,39.4,51.18,51.2,44.09,2.7,0.26,2.64,0.28,43.71,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,drouin,j,drouin4000wj,87268-42417,W,j,Jonathan Drouin,drouin,6.697142683,35,4000,MON@PHI,MON,PHI,,,,,,W/UTIL,drouin4000wj,3000
dubois7600cp,79.25,Pierre-Luc Dubois,7600,C,0,WPG,COL-AGeorgiev,13.65,17.1,10.2,-0.57,1.8,2,1,8,0,-1.8,57,0,2,3.1,3,-115,6,53,116,14.4,1.2,69,31,27,86,10,62,37,12,8,0.35,0.54,0.89,18.62,2.87,2.96,4.41,0.67,0.12,0.57,3.53,13.66,13.61,10.76,0.16,0.15,3.31,0.94,1.2,0.78,0,0,0.19,0.39,1.26,0,2.95,0.4,0.1,0.5,18.53,1.62,3.1,4.25,0.73,0.13,0.1,3.2,12.9,10.8,0.1,0.1,3.92,1.1,12.83,3.17,3,0.17,4.6,1.17,18.11,3.64,0.17,0.17,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,dubois,p,dubois7600cp,87268-70901,C,p,Pierre-Luc Dubois,dubois,14.93103448,58,7600,COL@WPG,WPG,COL,,,,,,C/UTIL,dubois7600cp,6500
duhaime3600wb,26.32,Brandon Duhaime,3600,W,0,MIN,TOR-I.Samsonov,4.45,5.7,3.2,-1.84,1.2,3,0,1,0,-4.2,57,2,1,2.5,3.6,171,6,15,126,3.8,-1.7,33,9,43,96,5.2,58,41,16,12,0.08,0.05,0.13,9.57,0.82,1.2,1.68,0.71,0.07,0.25,1.45,7.53,8.29,5.59,0,0,0.06,0,0,0,0.01,0,0.07,0.05,1.25,0,1.44,0.15,0,0.15,10.65,0.84,1.46,2.15,0.68,0.11,0.46,1.92,8.46,10.31,0,0,0.04,0,9.67,2.11,1.67,0.44,2.56,0,11.25,0.06,0,0,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,duhaime,b,duhaime3600wb,87268-103624,W,b,Brandon Duhaime,duhaime,5.314285714,35,3600,MIN@TOR,MIN,TOR,,,,,,W/UTIL,duhaime3600wb,2500
dumba3800dm,42.8,Matt Dumba,3800,D,0,MIN,TOR-I.Samsonov,6.89,8.7,5,-0.26,1.8,2,0,1,0,-3.1,63,2,1,2.5,3.6,171,6,15,126,7.3,-1.1,50,14,30,96,4.9,58,41,0,12,0.1,0.16,0.27,21.57,0.75,1.43,2.18,0.65,0.07,1.51,2.94,16.7,16.7,12.07,0.01,0,0.42,0.07,0.16,0.42,0,0,0.09,0.16,0.95,0,0.98,0,0.08,0.08,22.42,0.21,1,2.15,0.46,0,1.54,2.54,18.77,19.46,0,0,0.09,0,18.78,2.56,1.11,1.44,2.22,0,22.59,0.11,0,0,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,dumba,m,dumba3800dm,87268-23225,D,m,Matt Dumba,dumba,6.514285496,56,3800,MIN@TOR,MIN,TOR,,,,,,D/UTIL,dumba3800dm,2800
durzi5600ds,65.55,Sean Durzi,5600,D,0,LA,NYI-I.Sorokin,9.65,12.1,7.2,-1.37,1.7,2,2,2,0,-4,68,2,1,2.9,3.3,114,6,45,112,10.9,0.7,72,26,23,96,10.3,77,22,11,9,0.1,0.41,0.51,20.7,1.48,1.89,2.63,0.72,0.05,2.02,3.91,15.65,15.03,11.6,0.03,0.22,2.53,0.44,0.69,0.65,0,0.01,0.06,0.18,0.8,0,1.55,0.1,0.5,0.6,19.38,1.86,1.5,2.2,0.68,0.07,1.1,2.6,16.7,12,0,0.2,1.36,0.2,18.33,2.67,1.83,0.83,2.33,0.5,20.12,1.46,0,0.33,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,durzi,s,durzi5600ds,87268-97173,D,s,Sean Durzi,durzi,10.625,56,5600,LA@NYI,LA,NYI,,,,,,D/UTIL,durzi5600ds,4700
dvorak4200cc,60.54,Christian Dvorak,4200,C,0,MTL,PHI-CHart,8.37,10.6,6.1,1.13,2,2,2,5,0,0.7,49,1,3,2.7,3.4,140,6,54,125,8.6,0.8,56,27,33,86,8.9,55,44,33,9,0.16,0.37,0.53,16.93,1.88,1.38,1.82,0.76,0.12,0.9,2.28,10.25,12.88,7.18,0,0.05,2.1,0.33,0.42,0.79,0.01,0,0.15,0.32,0.13,0.03,1.72,0.2,0.3,0.5,16.07,1.87,1,1.4,0.71,0.2,0.9,1.9,9.5,14,0,0,1.5,0.5,11.5,2,1,1,1.5,0.33,16.79,1.04,0,0,45.61,41.22,49.86,47.24,42.98,3.13,0.17,2.79,0.25,39.4,51.18,51.2,44.09,2.7,0.26,2.64,0.28,43.71,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,dvorak,c,dvorak4200cc,87268-59120,C,c,Christian Dvorak,dvorak,7.963157788,57,4200,MON@PHI,MON,PHI,,,,,,C/UTIL,dvorak4200cc,3000
edler3600da,57.55,Alexander Edler,3600,D,0,LA,NYI-I.Sorokin,6.37,8.1,4.7,-0.35,1.8,3,0,1,0,0,44,2,1,2.9,3.3,114,6,45,112,5.8,-1.2,51,12,22,96,3.2,33,33,11,9,0.04,0.2,0.24,16.16,0.89,0.99,1.63,0.6,0.04,1.76,2.75,15.24,14.13,11.68,0,0,0.08,0,0,0,0,0.01,0.04,0.18,0.76,0,0.68,0,0.14,0.14,15.19,0.55,0.57,1.43,0.4,0,1.14,1.71,13.86,13.14,0,0,0.07,0,14.25,1,0,1,1.25,0,14.63,0,0,0,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,edler,a,edler3600da,87268-8709,D,a,Alexander Edler,edler,5.436734569,49,3600,LA@NYI,LA,NYI,,,,,,D/UTIL,edler3600da,2500
ehlers7500wn,79.24,Nikolaj Ehlers,7500,W,0,WPG,COL-A.Georgiev,15.12,18.9,11.3,1.22,2,2,1,17,0,-0.4,96,0,2,3.1,3,-115,6,53,116,16.9,1.3,44,18,8,86,10.4,50,25,0,8,0.4,0.64,1.04,16.95,3.68,3.64,5.13,0.71,0.11,0.34,3.98,14.71,12.38,11.44,0.12,0.16,2.52,0.63,0.9,0.7,0,0,0.28,0.48,0.2,0,3.1,0.1,0.4,0.5,15.94,1.88,3.2,4.75,0.67,0.03,0.1,3.3,13,12.6,0.1,0.1,2.71,0.9,13.17,3.33,3.17,0.17,3.6,1.33,14.71,1.98,0.17,0.17,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,ehlers,n,ehlers7500wn,87268-58907,W,n,Nikolaj Ehlers,ehlers,14.54545455,22,7500,COL@WPG,WPG,COL,,,,,,W/UTIL,ehlers7500wn,7300
ek7300cj,65.07,Joel Eriksson Ek,7300,C,0,MIN,TOR-ISamsonov,12.47,15.7,9.3,-1.13,1.7,2,1,15,0,0.7,5,2,1,2.5,3.6,171,6,15,126,13.6,2.1,70,33,29,96,13.5,75,25,33,12,0.35,0.4,0.74,18.98,2.34,3.01,4.17,0.72,0.12,0.66,3.67,11.77,11.01,8.81,0.13,0.15,3.37,0.82,1.16,0.71,0.02,0.01,0.19,0.23,0.49,0.02,2.82,0.38,0.31,0.69,18.4,2.25,3.46,4.92,0.7,0.11,1.08,4.54,11.62,11.54,0.31,0.23,3.55,1.08,11.78,4.78,3.44,1.33,4.78,1.11,18.29,3.28,0.33,0.22,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,ek,j,ek7300cj,87268-73949,C,j,Joel Eriksson Ek,ek,14.28448276,58,7300,MIN@TOR,MIN,TOR,,,,,,C/UTIL,ek7300cj,5200
ekblad6600da,80.4,Aaron Ekblad,6600,D,0,FLA,BUF-U.Luukkonen,14.79,18.5,11.1,1.62,2.2,1,1,21,0,-1.4,90,0,4,4.2,3,-202,7,60,-205,12.1,-0.5,46,19,23,100,12.3,70,30,30,10,0.16,0.43,0.59,23.92,1.48,2.86,3.84,0.74,0.06,1.23,4.09,17.54,15.12,13.24,0.06,0.19,3.49,0.87,1.23,0.71,0.01,0,0.09,0.25,0.91,0.01,2.64,0.18,0.45,0.64,24.17,1.59,4.27,5.45,0.78,0.04,1.09,5.36,21,17.82,0,0.09,3.13,1.36,19.57,5.14,4.14,1,5.14,1.57,23.53,3.31,0,0,49.36,50.74,42.14,41.46,44.81,3.38,0.23,2.75,0.26,57.45,43.1,48.18,44.7,2.82,0.1,2.5,0.32,46.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,ekblad,a,ekblad6600da,87268-55607,D,a,Aaron Ekblad,ekblad,12.14081682,49,6600,BUF@FLA,FLA,BUF,,,,,,D/UTIL,ekblad6600da,6300
engvall4000wp,74.28,Pierre Engvall,4000,W,0,TOR,MIN-F.Gustavsson,5.58,7.2,4,-1.49,1.4,3,0,1,0,-2.7,33,0,3,3.6,2.5,-210,6,85,-152,7.5,0.3,57,30,38,97,7.4,40,60,30,10,0.21,0.23,0.44,13.69,1.93,1.85,2.6,0.71,0.11,0.13,1.98,11.78,10.09,8.81,0.01,0.01,0.7,0.08,0.11,0.7,0.02,0.01,0.18,0.21,0.47,0.03,1.68,0.3,0.1,0.4,14.39,1.67,1.8,2.6,0.69,0.17,0.1,1.9,12.9,10.5,0,0,1.11,0.1,12.83,2.17,2,0.17,2.5,0.17,14.09,1.13,0,0,48.24,47.06,42.56,42.88,44.51,3.12,0.25,3.22,0.23,50.6,47.92,44.4,49.23,2.5,0.32,2.69,0.06,48.63,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,engvall,p,engvall4000wp,87268-84346,W,p,Pierre Engvall,engvall,6.817856925,56,4000,MIN@TOR,TOR,MIN,,,,,,W/UTIL,engvall4000wp,2600
farabee4500wj,70.62,Joel Farabee,4500,W,0,PHI,MTL-J.Allen,12.06,15.2,9,4.01,2.7,4,2,3,0,-2.4,66,1,3,3.4,2.7,-165,6,46,-145,8.4,-0.2,58,19,40,89,3.7,20,80,0,10,0.17,0.3,0.47,17.13,1.65,1.83,2.25,0.81,0.09,0.61,2.44,11.36,13.86,8.41,0,0.03,2.26,0.34,0.39,0.88,0,0,0.17,0.27,0.71,0.01,1.57,0,0.09,0.09,13.29,0.41,1.27,1.45,0.88,0,0.55,1.82,8.73,10.55,0,0,1.36,0,7.43,2,1.57,0.43,1.86,0,12.02,0.83,0,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,farabee,j,farabee4500wj,87268-103203,W,j,Joel Farabee,farabee,7.832203493,59,4500,MON@PHI,PHI,MON,,,,,,W/UTIL,farabee4500wj,3500
fasching3500wh,49.11,Hudson Fasching,3500,W,0,NYI,LA-J.Quick,4.36,5.6,3.1,-1.74,1.2,3,0,1,0,-2.1,66,0,2,3.3,2.9,-135,6,55,-134,4.6,-0.7,22,9,22,66,4.1,50,25,8,12,0.09,0.09,0.19,12.05,0.95,1.09,1.57,0.7,0.09,0.5,1.59,10.73,11.07,7.57,0,0,0.21,0,0.03,0,0,0.03,0.09,0.06,0.25,0,1.47,0,0.11,0.11,10.97,0.6,1.44,1.75,0.83,0,0.44,1.89,11.11,10.89,0,0,0.15,0,10.71,1.71,1.29,0.43,1.33,0,11.02,0.16,0,0,45.39,44.19,44.46,49.21,47.98,2.7,0.2,3.13,0.25,47.92,45.6,50.58,46.2,2.83,0.15,3.4,0.15,49.33,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,fasching,h,fasching3500wh,87268-53465,W,h,Hudson Fasching,fasching,4.600000109,28,3500,LA@NYI,NYI,LA,,,,,,W/UTIL,fasching3500wh,2500
fast4300wj,67.12,Jesper Fast,4300,W,0,CAR,OTT-C.Talbot,5.69,7.3,4.1,-1.97,1.3,3,0,1,0,-1.1,12,1,3,4.1,2.6,-250,6.5,77,-265,5.7,-1.3,44,19,54,100,3.7,20,80,10,10,0.11,0.25,0.36,15.02,1.44,0.97,1.54,0.63,0.11,0.39,1.36,13.29,9.38,10.06,0,0,0.32,0.01,0.03,0.33,0,0.04,0.11,0.21,0.1,0.01,1.45,0,0.2,0.2,15.12,0.79,1,1.6,0.63,0,0.3,1.3,13.4,8.1,0,0,0.05,0,13.6,1,0.6,0.4,1,0,14.3,0,0,0,51.33,52.18,44.29,36.77,45.61,3.14,0.19,3.41,0.2,53.4,47.4,37.2,43.5,2.2,0.32,4.2,0.14,39,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,fast,j,fast4300wj,87268-23053,W,j,Jesper Fast,fast,5.740740741,54,4300,OTT@CAR,CAR,OTT,,,,,,W/UTIL,fast4300wj,2500
fiala7600wk,75.8,Kevin Fiala,7600,W,0,LA,NYI-I.Sorokin,13.72,17.2,10.2,-0.37,1.8,2,1,15,0,-3.3,57,2,1,2.9,3.3,114,6,45,112,16,3,77,39,22,97,17.8,88,11,44,9,0.37,0.73,1.1,17.71,3.73,3.1,4.11,0.76,0.12,0.26,3.36,13.02,12.04,9.71,0.1,0.22,2.94,0.67,0.98,0.69,0.01,0,0.26,0.51,0.89,0.03,3.01,0.5,0.9,1.4,17.44,4.82,3,4.5,0.67,0.17,0.3,3.3,13.6,13.7,0.1,0.3,2.5,0.5,15.83,3.83,3.5,0.33,5.67,1.5,16.99,2.83,0.17,0.33,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,fiala,k,fiala7600wk,87268-59208,W,k,Kevin Fiala,fiala,15.59491484,59,7600,LA@NYI,LA,NYI,,,,,,W/UTIL,fiala7600wk,6500
foligno3700wm,38.76,Marcus Foligno,3700,W,0,MIN,TOR-I.Samsonov,6.34,8.1,4.6,-0.15,1.7,2,2,3,0,-2.3,49,2,1,2.5,3.6,171,6,15,126,6.4,-0.9,39,17,42,96,4,33,33,0,12,0.12,0.27,0.4,15.55,1.54,1.17,1.87,0.63,0.11,0.54,1.72,11.78,11.04,8.85,0.01,0.04,1.43,0.16,0.2,0.81,0,0,0.11,0.23,1.14,0,1.7,0,0.11,0.11,13.91,0.47,1,1.56,0.64,0,0.67,1.67,12.33,12.33,0,0,0.99,0.11,11.2,2.2,1,1.2,1.8,0.2,12.5,0.95,0,0,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,foligno,m,foligno3700wm,87268-11150,W,m,Marcus Foligno,foligno,5.795652307,46,3700,MIN@TOR,MIN,TOR,,,,,,W/UTIL,foligno3700wm,2500
forsling6100dg,85.45,Gustav Forsling,6100,D,0,FLA,BUF-U.Luukkonen,12.18,15.3,9.1,0.08,2,1,2,13,0,-1.4,63,0,4,4.2,3,-202,7,60,-205,10.7,-0.1,69,27,30,100,9.5,50,50,20,10,0.16,0.35,0.52,22.68,1.38,2.43,3.1,0.78,0.07,1.33,3.77,19.34,15.48,14.53,0.01,0.04,0.93,0.16,0.24,0.67,0,0.01,0.15,0.3,0.46,0.01,1.91,0.09,0.18,0.27,22.52,0.72,2.45,3.45,0.71,0.04,2.27,4.73,22.91,18.64,0,0,0.93,0.09,23.14,4.14,2,2.14,3.14,0.29,22.36,1.06,0,0,49.36,50.74,42.14,41.46,44.81,3.38,0.23,2.75,0.26,57.45,43.1,48.18,44.7,2.82,0.1,2.5,0.32,46.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,forsling,g,forsling6100dg,87268-60674,D,g,Gustav Forsling,forsling,11.24833374,60,6100,BUF@FLA,FLA,BUF,,,,,,D/UTIL,forsling6100dg,5100
frost4700cm,74.3,Morgan Frost,4700,C,0,PHI,MTL-JAllen,11.17,14.1,8.3,2.9,2.4,1,1,8,0,-1.1,65,1,3,3.4,2.7,-165,6,46,-145,8.2,1,57,25,34,89,7.5,60,40,10,10,0.17,0.27,0.43,15.54,1.66,1.81,2.42,0.75,0.09,0.66,2.47,11.4,12.41,8.52,0.02,0.06,2.25,0.33,0.44,0.75,0,0,0.14,0.2,0.24,0.01,2.57,0.09,0.27,0.36,17.16,1.26,1.91,2.27,0.84,0.05,0.91,2.82,11.09,13.73,0.09,0,1.99,0.45,11.29,3,1.86,1.14,2.29,0.29,17.52,1.84,0.14,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,frost,m,frost4700cm,87268-81974,C,m,Morgan Frost,frost,8.245762712,59,4700,MON@PHI,PHI,MON,,,,,,C/UTIL,frost4700cm,3700
