,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
kulak3700db,72.2,Brett Kulak,3700,D,0,EDM,PHI-C.Hart,5.98,7.6,4.3,-0.96,1.6,2,0,1,0,-3.7,78,0,2,4.7,2.6,-342,7,76,-295,6.9,-0.3,74,25,20,105,7,88,22,11,9,0.05,0.23,0.28,17.91,0.94,1.4,1.79,0.78,0.03,1.35,2.75,14.3,14.11,10.78,0,0,0.11,0,0,0,0,0.03,0.05,0.2,0.65,0,1.1,0,0.3,0.3,18.28,0.98,1.2,1.5,0.8,0,1.3,2.5,15.5,13.1,0,0,0.25,0,15.86,2.57,1.29,1.29,1.57,0,18.45,0.02,0,0,50.09,47.36,50.01,44.84,43.18,3.24,0.31,2.74,0.24,49.6,51.42,40.5,44.17,2.8,0.36,2.67,0.19,45.86,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,kulak,b,kulak3700db,87209-42962,D,b,Brett Kulak,kulak,6.638596384,57,3700,PHI@EDM,EDM,PHI,,,,,,D/UTIL,kulak3700db,3000
kulikov4300dd,40.35,Dmitry Kulikov,4300,D,0,ANA,TB-A.Vasilevskiy,5.95,7.6,4.3,-2.28,1.4,1,0,0,0,-0.9,73,2,1,2,4.8,430,6.5,22,365,6.6,-0.9,64,20,28,98,10.8,90,40,10,10,0.06,0.16,0.23,19.71,0.7,1.26,1.71,0.74,0.05,1.56,2.82,14.01,16.78,10.43,0,0,0.1,0,0,0,0,0,0.06,0.16,0.49,0,1.44,0.09,0.36,0.45,20.59,1.31,1.91,2.18,0.87,0.05,1.91,3.82,14.09,20.27,0,0,0.06,0,13.14,3.29,2,1.29,2.43,0,20.7,0.06,0,0,44.12,42.61,43.91,52.27,44.83,2.77,0.17,3.26,0.2,43.09,47.82,59.82,49.27,2.45,0.19,2.64,0.17,54.14,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,kulikov,d,kulikov4300dd,87209-8878,D,d,Dmitry Kulikov,kulikov,6.975438704,57,4300,ANH@TB,ANH,TB,,,,,,D/UTIL,kulikov4300dd,3500
kupari3300cr,37.81,Rasmus Kupari,3300,C,0,LA,MIN-F.Gustavsson,3.01,3.9,2.1,-2.38,0.9,4,0,0,0,-3.5,76,0,3,2.9,3.2,105,6,48,110,3.7,-1.6,30,12,46,79,2.8,22,11,77,9,0.08,0.12,0.2,10.51,1.14,0.73,1.2,0.6,0.1,0.47,1.2,8.28,8.73,6.31,0,0,0.11,0.02,0.02,1,0.02,0.02,0.06,0.11,0.21,0,0.82,0,0.2,0.2,9.67,1.24,0.6,0.9,0.67,0,0.1,0.7,6.5,7.2,0,0,0.01,0,8.25,0.75,0.75,0,1,0,11.58,0,0,0,46.04,47.96,42.15,44.44,44.61,3.24,0.23,3.28,0.23,44.8,45.17,45.9,50.08,3.1,0.35,2.92,0.09,51.5,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,kupari,r,kupari3300cr,87209-113289,C,r,Rasmus Kupari,kupari,4.087805027,41,3300,LA@MIN,LA,MIN,,,,,,C/UTIL,kupari3300cr,2500
kurashev4400wp,46.32,Philipp Kurashev,4400,W,0,CHI,VGK-A.Hill,8.14,10.3,5.9,0.29,1.9,1,2,2,0,-2.9,57,1,2,2.5,4.2,232,6.5,28,235,6.3,-0.5,50,21,40,84,6.6,63,9,36,11,0.13,0.25,0.38,15.73,1.45,1.56,2.09,0.74,0.08,0.48,2.04,10.68,14.2,7.89,0,0.06,1.58,0.12,0.25,0.47,0,0,0.13,0.18,0.13,0.01,2.05,0.08,0.17,0.25,17.92,0.84,1.75,2.08,0.84,0.05,0.67,2.42,12,16.33,0,0,1.88,0.17,13,2.86,2.14,0.71,2.43,0.14,18.03,1.89,0,0,44.87,39.2,47.76,50.17,50.15,2.88,0.18,2.33,0.24,40.08,48.2,50.42,49.5,2.58,0.03,1.9,0.16,49,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,kurashev,p,kurashev4400wp,87209-97022,W,p,Philipp Kurashev,kurashev,7.309090909,55,4400,VGK@CHI,CHI,VGK,,,,,,W/UTIL,kurashev4400wp,3300
kuzmenko6500wa,69.39,Andrei Kuzmenko,6500,W,0,VAN,NAS-J.Saros,11.58,14.6,8.6,-0.37,1.8,1,1,3,0,-1.3,16,0,3,3,3.7,135,6.5,37,140,11.7,0.1,58,30,40,55,11.3,50,30,50,10,0.42,0.44,0.85,15.86,3.21,1.75,2.52,0.69,0.24,0.25,2,11.69,10.88,8.69,0.15,0.04,2.75,0.43,0.67,0.65,0,0,0.27,0.4,0.11,0,2.58,0.55,0.18,0.73,15.39,2.85,2,2.91,0.69,0.27,0.27,2.27,11.82,9.36,0,0,2.55,0.45,12.29,2.14,1.71,0.43,2.57,0.14,15.2,1.64,0,0,44.91,43.44,47.57,46.23,44.95,3.17,0.27,3.33,0.23,44.64,43.89,41.09,49.78,3,0.21,2.56,0.22,47,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,kuzmenko,a,kuzmenko6500wa,87209-171491,W,a,Andrei Kuzmenko,kuzmenko,12.05636319,55,6500,VAN@NSH,VAN,NSH,,,,,,W/UTIL,kuzmenko6500wa,4800
kuznetsov5500ce,82.16,Evgeny Kuznetsov,5500,C,0,WAS,DET-V.Husso,13.35,16.8,9.9,3.44,2.4,1,1,5,0,-1,93,0,3,3.4,2.8,-157,6,48,-160,12.4,0.3,72,23,26,95,9.1,55,33,44,9,0.22,0.65,0.86,18.49,2.79,2.41,3.34,0.72,0.09,0.3,2.71,11.63,12.97,8.8,0.11,0.23,3.27,0.74,1,0.74,0.01,0,0.1,0.42,0.73,0.01,2.48,0.3,0.3,0.6,16.29,2.21,1.8,2.4,0.75,0.17,0.3,2.1,9.8,15.1,0.1,0.1,2,0.3,8.4,2,1.8,0.2,2.4,0.4,15.86,1.88,0.2,0,48.28,46.07,47.62,46.23,39.86,3.19,0.23,2.86,0.24,45.8,50.55,51.3,36.73,3,0.17,2.64,0.1,32.29,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,kuznetsov,e,kuznetsov5500ce,87209-52475,C,e,Evgeny Kuznetsov,kuznetsov,11.2789478,57,5500,DET@WSH,WSH,DET,,,,,,C/UTIL,kuznetsov5500ce,5000
kyrou8400wj,55.27,Jordan Kyrou,8400,W,0,STL,CAR-F.Andersen,15.29,19.2,11.4,-0.36,1.8,1,1,20,0,-2.3,66,0,2,2.1,4.1,287,6,16,215,15.4,2.8,63,37,28,96,17.4,87,37,0,8,0.44,0.56,1,17.51,3.43,3.04,3.8,0.8,0.14,0.38,3.43,11.98,13.9,9.06,0.14,0.16,2.55,0.59,0.73,0.8,0,0.01,0.3,0.39,0.23,0,2.93,0.4,0.7,1.1,18.73,3.52,3.7,5.22,0.71,0.11,0.3,4,13.4,11.9,0.1,0.2,3.58,1.2,14,3.6,3.2,0.4,5,2,18.73,4.13,0,0.2,40.35,40.76,36.82,47.61,51.96,2.94,0.26,3.3,0.19,42.8,37.2,42.9,51.8,3.2,0.16,2.7,0.11,56,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,kyrou,j,kyrou8400wj,87209-73940,W,j,Jordan Kyrou,kyrou,16.61509388,53,8400,STL@CAR,STL,CAR,,,,,,W/UTIL,kyrou8400wj,7400
lafferty4200cs,48.48,Sam Lafferty,4200,C,0,CHI,VGK-A.Hill,7.82,9.9,5.7,0.58,1.9,3,2,1,0,-2.2,76,1,2,2.5,4.2,232,6.5,28,235,7,0.4,55,27,36,84,9.8,63,45,36,11,0.18,0.22,0.39,14.87,1.57,1.49,1.93,0.77,0.12,0.43,1.92,9.53,11.94,7.05,0,0,0.38,0.03,0.08,0.33,0.05,0.01,0.13,0.2,0.59,0,1.63,0.42,0.25,0.67,16.4,2.45,2.17,2.75,0.79,0.19,0.5,2.67,11.25,12.42,0,0,1.56,0.17,12.71,2.14,1.86,0.29,2.71,0.57,16.98,1.93,0,0,44.87,39.2,47.76,50.17,50.15,2.88,0.18,2.33,0.24,40.08,48.2,50.42,49.5,2.58,0.03,1.9,0.16,49,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,lafferty,s,lafferty4200cs,87209-82796,C,s,Sam Lafferty,lafferty,7.518367222,49,4200,VGK@CHI,CHI,VGK,,,,,,C/UTIL,lafferty4200cs,3400
larkin7700cd,69.62,Dylan Larkin,7700,C,0,DET,WAS-D.Kuemper,13.47,16.9,10,-0.95,1.7,1,1,10,0,-3.1,65,0,3,2.8,3.4,132,6,52,132,14.6,-0.6,68,23,20,86,22.1,100,50,0,10,0.34,0.58,0.92,20.04,2.75,3.09,4.23,0.73,0.11,0.42,3.51,12.73,13.66,9.86,0.15,0.15,3.36,0.77,1.08,0.72,0.01,0.01,0.18,0.42,0.33,0.01,3.24,0.64,0.73,1.36,19.97,4.09,3.64,5.36,0.68,0.17,0.36,4,11.73,14.55,0.36,0.36,3.46,1.18,10.14,4,3.57,0.43,5,1.43,19.8,3.93,0.57,0.43,43.53,39.86,46.23,47.62,46.07,3.22,0.2,2.69,0.18,36.73,51.3,50.55,45.8,3.27,0.25,2,0.2,44.8,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,larkin,d,larkin7700cd,87209-62788,C,d,Dylan Larkin,larkin,15.93518519,54,7700,DET@WSH,DET,WSH,,,,,,C/UTIL,larkin7700cd,6700
laughton5600cs,57,Scott Laughton,5600,C,0,PHI,EDM-S.Skinner,10.71,13.5,7.9,0.6,1.9,2,2,6,0,-1.5,65,2,1,2.6,4.7,262,7,24,245,9.5,0.6,48,24,33,89,8.8,54,18,45,11,0.19,0.36,0.55,18.25,1.81,1.92,2.52,0.76,0.1,0.67,2.59,12.93,14.22,9.49,0.07,0.05,1.92,0.24,0.41,0.6,0.04,0.05,0.08,0.25,0.43,0,2.12,0.17,0.42,0.58,20.77,1.68,2,2.5,0.8,0.08,0.75,2.75,16.75,18.75,0,0.08,1.57,0.17,17.29,2,1.43,0.57,2.14,0.29,20.08,1.14,0,0.14,43.23,43.18,44.84,50.01,47.36,2.91,0.13,3.44,0.23,44.17,40.5,51.42,49.6,2.08,0.16,3.2,0.25,47.57,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,laughton,s,laughton5600cs,87209-37880,C,s,Scott Laughton,laughton,10.84629652,54,5600,PHI@EDM,PHI,EDM,,,,,,C/UTIL,laughton5600cs,4600
lauzon3800dj,64.75,Jeremy Lauzon,3800,D,0,NAS,VAN-C.Delia,5.22,6.7,3.8,-1.93,1.4,2,0,0,0,-2.5,29,0,2,3.7,3,-160,6.5,63,-165,4.9,-1.6,54,12,24,86,4.8,62,25,37,8,0.05,0.07,0.12,17.02,0.42,1.3,1.77,0.73,0.04,1.11,2.41,13.2,14.39,10.07,0,0,0.05,0.01,0.03,0.5,0,0.01,0.05,0.05,1.15,0,0.87,0,0.11,0.11,18.2,0.36,1,1.78,0.56,0,1.22,2.22,14.11,14.56,0,0,0.08,0,15.17,1.83,0.83,1,1.83,0.17,17.88,0.12,0,0,45.65,44.95,46.23,47.57,43.44,3.28,0.21,2.86,0.29,49.78,41.09,43.89,44.64,2.33,0.24,2.82,0.35,44.86,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,lauzon,j,lauzon3800dj,87209-66608,D,j,Jeremy Lauzon,lauzon,5.19999987,47,3800,VAN@NSH,NSH,VAN,,,,,,D/UTIL,lauzon3800dj,2600
leddy3800dn,32.25,Nick Leddy,3800,D,0,STL,CAR-F.Andersen,5.75,7.3,4.2,-1.4,1.5,1,2,4,0,-5.4,82,0,2,2.1,4.1,287,6,16,215,6.2,-1.1,56,24,34,95,7.9,87,37,12,8,0.06,0.3,0.36,21.4,1.01,1.07,1.55,0.69,0.05,1.07,2.13,14.93,18.44,11.19,0,0.03,0.87,0.03,0.07,0.5,0,0,0.06,0.27,0.27,0,1.03,0.2,0.2,0.4,21.35,1.12,1.4,1.89,0.74,0.14,1.2,2.6,14,16.3,0,0,0.85,0.1,13.6,2.8,1.4,1.4,2,0.2,22.05,0.98,0,0,40.35,40.76,36.82,47.61,51.96,2.94,0.26,3.3,0.19,42.8,37.2,42.9,51.8,3.2,0.16,2.7,0.11,56,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,leddy,n,leddy3800dn,87209-11170,D,n,Nick Leddy,leddy,6.246153611,52,3800,STL@CAR,STL,CAR,,,,,,D/UTIL,leddy3800dn,3200
leivo4300wj,26.51,Josh Leivo,4300,W,0,STL,CAR-F.Andersen,7.11,9.1,5.2,-0.55,1.7,2,2,6,0,-2.5,12,0,2,2.1,4.1,287,6,16,215,6.3,-0.4,20,9,17,93,4.8,12,0,12,8,0.11,0.21,0.32,12.22,1.57,1.87,2.75,0.68,0.06,0.26,2.13,10.47,8.83,7.81,0,0,0.75,0.08,0.08,1,0,0,0.11,0.21,0.55,0,2.05,0,0.2,0.2,10.07,1.19,2.4,3.25,0.74,0,0.2,2.6,10.2,6.4,0,0,0.44,0,14,2,2,0,4,0,10.57,0.93,0,0,40.35,40.76,36.82,47.61,51.96,2.94,0.26,3.3,0.19,42.8,37.2,42.9,51.8,3.2,0.16,2.7,0.11,56,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,leivo,j,leivo4300wj,87209-15255,W,j,Josh Leivo,leivo,6.320000076,40,4300,STL@CAR,STL,CAR,,,,,,W/UTIL,leivo4300wj,2500
lizotte4400cb,60.64,Blake Lizotte,4400,C,0,LA,MIN-F.Gustavsson,5.78,7.4,4.2,-1.87,1.3,3,0,0,0,-2.2,17,0,3,2.9,3.2,105,6,48,110,6.8,0.2,56,29,35,95,12.7,88,66,11,9,0.14,0.29,0.43,12.76,2.02,1.32,1.7,0.78,0.11,0.38,1.7,11.1,9.83,8.13,0,0,0.11,0.02,0.05,0.5,0,0.03,0.14,0.26,0.7,0.01,1.61,0.2,0.7,0.9,14.72,3.67,1.5,2.3,0.65,0.13,0.4,1.9,12.7,11.9,0,0,0.01,0,14,2.5,2.25,0.25,3,0,14.34,0.03,0,0,46.04,47.96,42.15,44.44,44.61,3.24,0.23,3.28,0.23,44.8,45.17,45.9,50.08,3.1,0.35,2.92,0.09,51.5,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,lizotte,b,lizotte4400cb,87209-103276,C,b,Blake Lizotte,lizotte,7.410526209,57,4400,LA@MIN,LA,MIN,,,,,,C/UTIL,lizotte4400cb,2700
lundestrom3600ci,23.11,Isac Lundestrom,3600,C,0,ANA,TB-A.Vasilevskiy,5.3,6.8,3.8,-0.71,1.5,3,0,0,0,-3.4,65,2,1,2,4.8,430,6.5,22,365,4.9,-1.1,36,13,36,87,6.3,70,20,30,10,0.09,0.16,0.25,14.46,1.04,0.98,1.41,0.7,0.1,0.58,1.56,8.79,12.29,6.65,0,0,0.5,0.03,0.05,0.67,0.02,0,0.08,0.16,0.06,0,1.46,0.09,0.18,0.27,15.32,1.06,1.09,1.36,0.8,0.08,0.91,2,9.82,15.18,0,0,0.42,0.09,9.57,2.14,1,1.14,1.43,0.29,15.86,0.59,0,0,44.12,42.61,43.91,52.27,44.83,2.77,0.17,3.26,0.2,43.09,47.82,59.82,49.27,2.45,0.19,2.64,0.17,54.14,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,lundestrom,i,lundestrom3600ci,87209-97096,C,i,Isac Lundestrom,lundestrom,5.477777693,36,3600,ANH@TB,ANH,TB,,,,,,C/UTIL,lundestrom3600ci,2600
luukkonen7800gu,43.25,U. Luukkonen,7800,G,0,BUF,TOR-ISamsonov,14.6,18.4,10.8,-2.28,1.9,1,0,4,0,-3.1,40,0,0,3.1,4,145,7,50,136,17.5,0.6,26,20,7,68,14.9,44,33,11,9,3.43,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.07,47.33,0,0,0,0,0,0,44.1,53.09,0,0,0,0,53.8,2/21/2023,0,29.9,0.61,0.3,60.13,0,31.2,3.5,0.5,0.5,48.12,3.58,32.57,2.73,0.26,3.12,0.24,3.45,35.18,2.2,0.32,2.45,0.3,36,TOR,luukkonen,u,luukkonen7800gu,87209-97029,G,u,Ukko-Pekka Luukkonen,luukkonen,17.46086983,23,7800,TOR@BUF,BUF,TOR,,,,,,G,luukkonen7800gu,7500
lycksell3100wo,23.78,Olle Lycksell,3100,W,0,PHI,EDM-S.Skinner,4.46,5.7,3.2,-0.86,1.4,4,0,0,0,-2.5,86,2,1,2.6,4.7,262,7,24,245,4.3,-0.1,11,0,0,26,4.8,18,0,0,11,0,0,0,8.66,0,1,1,1,0,1,2,4.25,13.25,2.75,0,0,0,0,0,0,0,0,0,0,0.5,0,0.99,0,0,0,7.97,0,1,1,1,0,2,3,3.5,16,0,0,0,0,3.5,3,1,2,1,0,7.97,0,0,0,43.23,43.18,44.84,50.01,47.36,2.91,0.13,3.44,0.23,44.17,40.5,51.42,49.6,2.08,0.16,3.2,0.25,47.57,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,lycksell,o,lycksell3100wo,87209-149733,W,o,Olle Lycksell,lycksell,3.2,5,3100,PHI@EDM,PHI,EDM,,,,,,W/UTIL,lycksell3100wo,2500
lyubushkin3700di,51.55,Ilya Lyubushkin,3700,D,0,BUF,TOR-I.Samsonov,3.56,4.6,2.5,-3.38,1,3,0,0,0,-3.8,29,0,3,3.1,4,145,7,49,136,4.5,-2.1,46,11,36,94,2.8,66,0,33,9,0.03,0.17,0.19,15.19,0.75,0.55,0.72,0.76,0.05,1.21,1.76,12.11,12.54,8.92,0,0,0.01,0,0,0,0,0.01,0.03,0.15,0.99,0,0.64,0,0.3,0.3,15.19,1.19,0.6,0.8,0.75,0,1.3,1.9,9.9,13.5,0,0,0.06,0,10.25,2,0.25,1.75,0.5,0,15.19,0.04,0,0,45.22,44.77,42.7,42.07,47.33,3.19,0.25,3.12,0.22,45,44.82,44.1,53.09,2.8,0.18,2.91,0.06,53.8,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,lyubushkin,i,lyubushkin3700di,87209-84404,D,i,Ilya Lyubushkin,lyubushkin,4.213953417,43,3700,TOR@BUF,BUF,TOR,,,,,,D/UTIL,lyubushkin3700di,2500
maatta4100do,50.2,Olli Maatta,4100,D,0,DET,WAS-D.Kuemper,4.74,6.1,3.4,-3.06,1.2,3,0,0,0,-2.7,17,0,3,2.8,3.4,132,6,52,132,5.8,-2,58,14,36,94,6.6,60,20,40,10,0.06,0.19,0.25,18.29,0.82,0.85,1.21,0.71,0.07,1.45,2.3,14.43,14.17,10.61,0,0,0.09,0.01,0.03,0.33,0,0,0.06,0.19,0.13,0.01,0.82,0.09,0.09,0.18,17.04,0.63,1,1.27,0.79,0.09,1.73,2.73,11.45,16.55,0,0,0.02,0,10.43,3.14,1.14,2,1.29,0,18.25,0.02,0,0,43.53,39.86,46.23,47.62,46.07,3.22,0.2,2.69,0.18,36.73,51.3,50.55,45.8,3.27,0.25,2,0.2,44.8,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,maatta,o,maatta4100do,87209-42862,D,o,Olli Maatta,maatta,6.949019488,51,4100,DET@WSH,DET,WSH,,,,,,D/UTIL,maatta4100do,2800
mantha4500wa,74.5,Anthony Mantha,4500,W,0,WAS,DET-V.Husso,10.46,13.2,7.7,2.41,2.3,2,2,4,0,-4,50,0,3,3.4,2.8,-157,6,48,-160,9,0.2,59,20,31,94,3.4,44,0,44,9,0.19,0.34,0.52,15.04,2.07,2.1,2.73,0.77,0.09,0.41,2.51,12.74,11.48,9.46,0.01,0.05,1.17,0.15,0.21,0.72,0,0,0.17,0.29,0.6,0,2,0,0.11,0.11,14.79,0.45,1.22,1.67,0.73,0,0.33,1.56,11.56,12.11,0,0,0.58,0.22,11.5,2.5,1.75,0.75,2.75,0.5,15.33,1.3,0,0,48.28,46.07,47.62,46.23,39.86,3.19,0.23,2.86,0.24,45.8,50.55,51.3,36.73,3,0.17,2.64,0.1,32.29,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,mantha,a,mantha4500wa,87209-43134,W,a,Anthony Mantha,mantha,7.883018638,53,4500,DET@WSH,WSH,DET,,,,,,W/UTIL,mantha4500wa,3300
marchessault7000wj,88.53,J. Marchessault,7000,W,0,VGK,CHI-P.Mrazek,14.02,17.6,10.5,1.1,2,1,1,9,0,-2.2,86,0,3,4.2,2.5,-295,6.5,72,-280,13.6,1.2,61,31,29,88,11.8,55,22,44,9,0.34,0.5,0.84,17.41,2.9,3.34,4.46,0.75,0.1,0.19,3.53,14.89,12,11.26,0.09,0.18,2.53,0.67,0.91,0.73,0,0,0.25,0.33,0.39,0.04,3.07,0.2,0.5,0.7,17.11,2.46,2.9,4.2,0.69,0.07,0.3,3.2,14.6,11.6,0,0.1,2.57,0.3,14.6,3.6,3.2,0.4,3.6,0.6,16.16,2.74,0,0,49.85,50.15,50.17,47.76,39.2,2.61,0.21,2.81,0.24,49.5,50.42,48.2,40.08,2.6,0.04,2.75,0.18,44,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,marchessault,j,marchessault7000wj,87209-37968,W,j,Jonathan Marchessault,marchessault,12.91400024,50,7000,VGK@CHI,VGK,CHI,,,,,,W/UTIL,marchessault7000wj,6400
marner8100wm,91.02,Mitch Marner,8100,W,0,TOR,BUF-U.Luukkonen,16.67,20.9,12.5,1.6,2.1,2,1,6,0,-1.9,21,0,2,4,3.1,-175,7,51,-164,17.7,1.8,82,28,14,98,13.6,80,0,20,10,0.42,0.88,1.3,21.24,3.67,2.73,3.91,0.7,0.15,0.54,3.28,15.15,11.63,11.13,0.08,0.34,3.67,0.73,0.97,0.76,0.03,0.02,0.31,0.52,0.29,0.01,2.43,0.27,0.73,1,21.17,2.83,2.64,3.36,0.78,0.1,0.45,3.09,15.73,15.36,0.09,0.36,2.98,0.55,14.4,2,2,0,2.6,1,20.48,2.86,0,0.4,48.12,47.33,42.07,42.7,44.77,3.12,0.24,2.73,0.26,53.09,44.1,44.82,45,2.45,0.3,2.2,0.32,45.25,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,marner,m,marner8100wm,87209-66683,W,m,Mitchell Marner,marner,15.72456119,57,8100,TOR@BUF,TOR,BUF,,,,,,W/UTIL,marner8100wm,6500
maroon3300wp,63.67,Pat Maroon,3300,W,0,TB,ANA-L.Dostal,4.06,5.2,2.9,-1.65,1.2,3,0,1,0,3,77,0,3,4.8,2,-580,6.5,78,-490,3.9,-2.1,42,14,56,103,2.2,40,0,60,10,0.08,0.15,0.23,10.42,1.32,0.97,1.46,0.67,0.08,0.14,1.12,8.65,8.59,6.53,0.01,0.03,0.55,0.06,0.08,0.67,0,0,0.07,0.13,1.54,0,1.55,0,0.18,0.18,10.87,0.99,0.64,1.09,0.58,0,0.18,0.82,10.36,10,0,0,0.1,0,11.43,1.29,1,0.29,1.43,0,10.75,0.01,0,0,54.15,44.83,52.27,43.91,42.61,3.42,0.27,3.19,0.26,49.27,59.82,47.82,43.09,3.64,0.15,3.27,0.22,37.43,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,maroon,p,maroon3300wp,87209-9354,W,p,Pat Maroon,maroon,3.034545344,55,3300,ANH@TB,TB,ANH,,,,,,W/UTIL,maroon3300wp,2500
