entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3071787061","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-73949:Joel Eriksson Ek,87112-73949,C,Joel,Joel Eriksson Ek,Eriksson Ek,14.800000226056135,54,7400,DAL@MIN,MIN,DAL,,,,,,C/UTIL
"3071787062","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8612:Marc-Andre Fleury,87112-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,14.742857142857142,35,7400,DAL@MIN,MIN,DAL,,,,,,G
"3071787064","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82752:Filip Gustavsson,87112-82752,G,Filip,Filip Gustavsson,Gustavsson,16.923076923076923,26,7400,DAL@MIN,MIN,DAL,,,,,,G
"3071787065","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-59208:Kevin Fiala,87112-59208,W,Kevin,Kevin Fiala,Fiala,14.8345458984375,55,7400,LA@ANH,LA,ANH,,,,,,W/UTIL
"3071787066","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-21897:Brock Nelson,87112-21897,C,Brock,Brock Nelson,Nelson,14.626316003632127,57,7300,PIT@NYI,NYI,PIT,,,,,,C/UTIL
"3071787067","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-62429:Adrian Kempe,87112-62429,W,Adrian,Adrian Kempe,Kempe,13.616364080255682,55,7300,LA@ANH,LA,ANH,,,,,,W/UTIL
"3071787068","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-21927:Chris Kreider,87112-21927,W,Chris,Chris Kreider,Kreider,13.382352941176471,51,7200,NYR@EDM,NYR,EDM,,,,,,W/UTIL
"3071787069","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-9252:Alex Stalock,87112-9252,G,Alex,Alex Stalock,Stalock,16.266666666666666,15,7100,CHI@OTT,CHI,OTT,IR,Head,,,,G
"3071787070","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-15400:Petr Mrazek,87112-15400,G,Petr,Petr Mrazek,Mrazek,10.466666539510092,24,7100,CHI@OTT,CHI,OTT,,,,,,G
"3071787071","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-168022:Jaxson Stauber,87112-168022,G,Jaxson,Jaxson Stauber,Stauber,20.600000381469727,4,7100,CHI@OTT,CHI,OTT,,,,,,G
"3071787072","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8556:Claude Giroux,87112-8556,W,Claude,Claude Giroux,Giroux,13.786792683151534,53,7100,CHI@OTT,OTT,CHI,,,,,,W/UTIL
"3071787073","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8595:Evgeni Malkin,87112-8595,C,Evgeni,Evgeni Malkin,Malkin,15.0339620338296,53,7100,PIT@NYI,PIT,NYI,,,,,,C/UTIL
"3071787074","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-103940:Adam Fox,87112-103940,D,Adam,Adam Fox,Fox,14.061110885054976,54,7100,NYR@EDM,NYR,EDM,,,,,,D/UTIL
"3071787075","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8394:Anze Kopitar,87112-8394,C,Anze,Anze Kopitar,Kopitar,13.149091131036931,55,7000,LA@ANH,LA,ANH,,,,,,C/UTIL
"3071787076","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82190:Drake Batherson,87112-82190,W,Drake,Drake Batherson,Batherson,13.369810860112029,53,7000,CHI@OTT,OTT,CHI,,,,,,W/UTIL
