entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3030376326","85626-262044136","$1K Thu NHL Save (Single Entry)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3030376783","85626-262044152","$700 Thu NHL Slapshot (2 Entries Max)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3030376784","85626-262044152","$700 Thu NHL Slapshot (2 Entries Max)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3030376815","85626-262044099","$1K Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","4) You can not use this form to create new entries"
"3030376837","85626-262044086","$500 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","","","","",85626-80369:Jesper Bratt,85626-80369,W,Jesper,Jesper Bratt,Bratt,14.344736199629935,38,7300,STL@NJ,NJ,STL,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-103103:Elvis Merzlikins,85626-103103,G,Elvis,Elvis Merzlikins,Merzlikins,7.093333435058594,15,7300,WSH@CBJ,CBJ,WSH,,,,,,G
"","","","","","","","","","","","","",85626-54065:Joonas Korpisalo,85626-54065,G,Joonas,Joonas Korpisalo,Korpisalo,14.211765064912683,17,7300,WSH@CBJ,CBJ,WSH,,,,,,G
"","","","","","","","","","","","","",85626-9015:John Carlson,85626-9015,D,John,John Carlson,Carlson,15.454838906565021,31,7300,WSH@CBJ,WSH,CBJ,IR,Face,,,,D/UTIL
"","","","","","","","","","","","","",85626-66601:Jake DeBrusk,85626-66601,W,Jake,Jake DeBrusk,DeBrusk,14.119444105360243,36,7300,BOS@LA,BOS,LA,O,Lower body,,,,W/UTIL
"","","","","","","","","","","","","",85626-104028:Daniil Tarasov,85626-104028,G,Daniil,Daniil Tarasov,Tarasov,12,13,7300,WSH@CBJ,CBJ,WSH,DTD,Upper body,,,,G
"","","","","","","","","","","","","",85626-12410:Taylor Hall,85626-12410,W,Taylor,Taylor Hall,Hall,12.75945962441934,37,7200,BOS@LA,BOS,LA,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-73938:Carter Hart,85626-73938,G,Carter,Carter Hart,Hart,14.89655172413793,29,7200,ARI@PHI,PHI,ARI,,,,,,G
"","","","","","","","","","","","","",85626-152483:Samuel Ersson,85626-152483,G,Samuel,Samuel Ersson,Ersson,19,4,7200,ARI@PHI,PHI,ARI,,,,,,G
"","","","","","","","","","","","","",85626-82914:Felix Sandstrom,85626-82914,G,Felix,Felix Sandstrom,Sandstrom,6.533333460489909,12,7200,ARI@PHI,PHI,ARI,,,,,,G
