entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3083603775","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-12697:Philipp Grubauer,88061-12697,G,Philipp,Philipp Grubauer,Grubauer,11.483870967741936,31,7700,SEA@SJ,SEA,SJ,,,,,,G
"3083603776","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-9278:Martin Jones,88061-9278,G,Martin,Martin Jones,Jones,13.866667247953869,42,7700,SEA@SJ,SEA,SJ,,,,,,G
"3083603777","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8655:Steven Stamkos,88061-8655,C,Steven,Steven Stamkos,Stamkos,15.640298871851678,67,7600,TB@NJ,TB,NJ,DTD,Lower body,,,,C/UTIL
"3083603778","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-148103:Spencer Knight,88061-148103,G,Spencer,Spencer Knight,Knight,14.545454545454545,22,7600,MON@FLA,FLA,MON,O,Personal,,,,G
"3083603779","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-15356:Dougie Hamilton,88061-15356,D,Dougie,Dougie Hamilton,Hamilton,15.852238441581157,67,7600,TB@NJ,NJ,TB,,,,,,D/UTIL
"3083603780","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-68665:Alex Lyon,88061-68665,G,Alex,Alex Lyon,Lyon,14.666666666666666,6,7600,MON@FLA,FLA,MON,,,,,,G
"3083603781","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70905:Clayton Keller,88061-70905,W,Clayton,Clayton Keller,Keller,15.044117647058824,68,7600,VAN@ARI,ARI,VAN,,,,,,W/UTIL
"3083603784","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-12163:Sergei Bobrovsky,88061-12163,G,Sergei,Sergei Bobrovsky,Bobrovsky,14.842552672041224,47,7600,MON@FLA,FLA,MON,,,,,,G
"3083603785","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-82115:Stuart Skinner,88061-82115,G,Stuart,Stuart Skinner,Skinner,16.427907544513083,43,7500,DAL@EDM,EDM,DAL,,,,,,G
"3083603786","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-12619:Jack Campbell,88061-12619,G,Jack,Jack Campbell,Campbell,12.164706061868106,34,7500,DAL@EDM,EDM,DAL,,,,,,G
"3083603787","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8556:Claude Giroux,88061-8556,W,Claude,Claude Giroux,Giroux,14.299999635611007,67,7500,COL@OTT,OTT,COL,,,,,,W/UTIL
"3083603788","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-15360:J.T. Miller,88061-15360,C,J.T.,J.T. Miller,Miller,15.083077298677885,65,7500,VAN@ARI,VAN,ARI,,,,,,C/UTIL
"3083603789","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70914:Jakob Chychrun,88061-70914,D,Jakob,Jakob Chychrun,Chychrun,14.574418888535611,43,7500,COL@OTT,OTT,COL,,,,,,D/UTIL
"3083603790","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-82007:Jiri Patera,88061-82007,G,Jiri,Jiri Patera,Patera,24,1,7400,CGY@VGK,VGK,CGY,,,,,,G
"3083603791","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8412:Jonathan Quick,88061-8412,G,Jonathan,Jonathan Quick,Quick,11.308107943148226,37,7400,CGY@VGK,VGK,CGY,,,,,,G
"3083603792","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-66612:Adin Hill,88061-66612,G,Adin,Adin Hill,Hill,15.706667073567708,30,7400,CGY@VGK,VGK,CGY,DTD,Lower body,,,,G
