,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
tennessee4200,14.92,Tennessee,4200,TEN,PIT,,,5,12.7,-0.9,-1.32,1.2,1,6,6.32,1,0.78,0,0,1,0,0.14,-4.3,0,26,25,0.5,-1,51,40,0,0,0,0,0,0,0,0,0,0,0,0,2.78,5.74,0,0,0,0,0,0,0,0,0,60,0.88,0.02,3.5,-100,0,0,50,0.5,0.5,20,7.8,0.6,200,0,0,84,0.52,0.15,19,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5333,0.5066,0.0164,0.0489,7.46,9.64,5.64,3.64,0.2444,tennessee,tennessee,t,tennessee4200,51091-12534:Tennessee Titans,51091-12534,D,t,Tennessee Titans,titans,4.2,5,4200,PIT@TEN,TEN,PIT,,,,Titans,Titans,tennessee,tennessee4200
washington3800,51.6,Washington,3800,WAS,DAL,,,7.1,13.7,-0.5,2.07,1.9,15,17,5.03,-5,0.4,0,0,1,0,0.42,2.9,0,21.8,22.8,-1,1,44.5,39,0,0,0,0,0,0,0,0,0,0,0,0,2.66,9.53,0,0,0,0,0,0,0,0,0,45,0.95,0.54,2.8,-100,0,0,100,0,0,40,5.6,0.6,400,0,0,92,0.28,0.07,14,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4945,0.5059,0.0138,0.0539,7.53,10.14,4.93,2.54,0.2324,washington,washington,w,washington3800,51091-12552:Washington Football Team,51091-12552,D,w,Washington Football Team,footballteam,5,6,3800,DAL@WAS,WAS,DAL,,,,Football,Football,washington,washington3800
allen6700qbk,87,Kyle Allen,6700,WAS,DAL,,,16.8,28.1,6.1,2.19,2.5,1,16.86,14.61,-3,0.52,1,1.9,1,0,0.67,4.4,66,21.8,22.8,-1,1,44.5,39,23,38,252,62,6.6,4.21,1.1,32,21.3,56.9,16.4,2.9,3.9,8.9,2,6,10,4.1,0.3,0.429,4.13,2.5,1.44,45,0.95,0.54,13.3,700,0.42,0.27,50,0.25,0,40,13.6,-0.1,700,0.31,0.21,62,0.31,0.12,16,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,kyle allen,k,allen6700qbk,51091-53095:Kyle Allen,51091-53095,QB,k,Kyle Allen,allen,13.32999992,2,6700,DAL@WAS,WAS,DAL,,,,ryland,ryland,kyle,allen6700qbk
allen8800qbj,97.3,Josh Allen,8800,BUF,@NYJ,,,23.2,34,12.5,4.47,2.6,11,16.38,18.73,0,0.78,0.95,5.6,2,0,0.92,2.1,62,28.3,18.8,-1,-9.5,47,65,18,30,217,61,7.1,6.92,1.8,34,15.8,72.1,13.1,6,1.3,6.5,5,11,27,4.6,0.5,0.614,5.89,2.89,1.61,53,0.49,0.02,24.8,700,0.63,0.43,100,0.75,0,40,22,4.4,900,0.57,0.35,94,0.68,0.05,19,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen8800qbj,51091-62239:Josh Allen,51091-62239,QB,j,Josh Allen,allen,25.79000092,6,8800,BUF@NYJ,BUF,NYJ,,,,ryland,ryland,josh,allen8800qbj
brees7700qbd,80.85,Drew Brees,7700,NO,CAR,,,17.7,31.4,5,1.13,2.3,3,23.68,16.57,-3,0.52,0.45,3.1,1,0,0.58,-2.2,63,28.3,21.3,-1,-7,49.5,49,26,36,278,73,7.7,8.02,2.4,39,28.9,51.8,17,6.7,1.1,3.5,1,0,0,-0.4,0.1,0.2,6.79,3,1.79,0,0,0,20.7,-300,0.53,0.31,100,0.66,0,30,20.4,2.4,-400,0.53,0.32,76,0.58,0.23,17,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brees,drew brees,d,brees7700qbd,51091-6504:Drew Brees,51091-6504,QB,d,Drew Brees,brees,18.40800018,5,7700,CAR@NO,NO,CAR,,,,ryland,ryland,drew,brees7700qbd
bridgewater6800qbt,88.85,Teddy Bridgewater,6800,CAR,@NO,,,17.2,28.3,8.7,2.4,2.5,3,19.16,14.8,-7,0.27,0.94,5.3,1,0,0.96,7.2,47,21.3,28.3,-0.5,7,49.5,51,21,29,241,70,8.1,7.01,0.9,40,25,63.9,7.7,3.1,2.4,6.1,3,5,12,3.6,0.1,0.323,2.6,1.2,0.47,0,0,0,18.5,100,0.48,0.29,100,0.75,0,40,6.5,0.9,0,0.19,0.14,37,0.25,0.62,16,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater6800qbt,51091-33259:Teddy Bridgewater,51091-33259,QB,t,Teddy Bridgewater,bridgewater,17.35666656,6,6800,CAR@NO,CAR,NO,,,,ryland,ryland,teddy,bridgewater6800qbt
burrow7100qbj,91.7,Joe Burrow,7100,CIN,CLE,,,18.1,28.5,9.7,2.71,2.5,3,34.64,15.39,-6,0.33,1,9.1,1,0,0.58,3.8,74,22.8,27.3,-1.5,4.5,50,38,26,41,269,65,6.6,5.1,1,34,18.7,65,13.4,2.4,1.7,8.9,4,8,14,3.3,0.3,0.538,5.14,2.86,1.43,50,0.78,0.04,14.9,-300,0.33,0.21,75,0.5,0.25,40,16.9,1.5,500,0.34,0.23,83,0.66,0.16,60,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow7100qbj,51091-63336:Joe Burrow,51091-63336,QB,j,Joe Burrow,burrow,16.89666621,6,7100,CLE@CIN,CIN,CLE,,,,ryland,ryland,joe,burrow7100qbj
dalton7200qba,79.8,Andy Dalton,7200,DAL,@WAS,,,16.7,28.6,6.5,1.11,2.3,1,3.6,15.59,-1,0.68,0,0.6,1,0,0.87,4.2,62,22.8,21.8,-2,-1,44.5,61,20,34,216,60,6.3,5.11,1,27,15.3,58.8,19.8,2.9,2.6,5.3,2,2,2,1.2,0.1,0.318,3.93,2.13,1.13,45,0.95,0.54,7.7,1200,0.22,0.14,25,0,0.25,40,10.4,0.3,1200,0.27,0.17,46,0.26,0.26,15,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dalton,andy dalton,a,dalton7200qba,51091-14225:Andy Dalton,51091-14225,QB,a,Andy Dalton,dalton,5.159999847,3,7200,DAL@WAS,DAL,WAS,,,,ryland,ryland,andy,dalton7200qba
darnold6700qbs,65.1,Sam Darnold,6700,NYJ,BUF,,,14.2,23.2,4.1,-0.41,2.1,1,2.8,14.61,-6,0.33,0,0.9,0,0,0.49,4.7,65,18.8,28.3,2,9.5,47,35,20,33,229,61,6.8,5.56,1.4,37,17.9,61.8,13.9,4.2,2.7,7.6,2,8,12,4.6,0.2,0.462,3.33,1.33,0.72,53,0.49,0.02,16.7,100,0.37,0.25,50,0.25,0,40,16.4,0.2,-100,0.42,0.25,88,0.29,0,17,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,darnold,sam darnold,s,darnold6700qbs,51091-63589:Sam Darnold,51091-63589,QB,s,Sam Darnold,darnold,11.47600021,5,6700,BUF@NYJ,NYJ,BUF,Q,Shoulder - ac joint,,ryland,ryland,sam,darnold6700qbs
garoppolo6600qbj,84.35,Jimmy Garoppolo,6600,SF,@NE,,,16.5,26,4.4,2.09,2.5,1,9.48,14.41,-4,0.45,0,0.6,1,0,0.82,0.3,60,20.5,23.5,-0.5,3,44,47,20,29,244,68,8.3,7.7,2,42,24.3,48.3,27.2,6.9,2.1,7.3,2,3,3,1.9,0,0.367,4.59,2.41,1.12,47,0.64,0,12.3,-400,0.39,0.21,25,0.25,0.25,40,15.8,-1.1,-700,0.47,0.26,65,0.34,0.26,23,QB,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,garoppolo,jimmy garoppolo,j,garoppolo6600qbj,51091-54604:Jimmy Garoppolo,51091-54604,QB,j,Jimmy Garoppolo,garoppolo,14.27499962,4,6600,SF@NE,SF,NE,,,,ryland,ryland,jimmy,garoppolo6600qbj
