RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
tampa bay4200,40.49,Tampa Bay,4200,TB,@CAR,,,6.6,13.6,-0.4,0.28,1.6,3,5,6.32,1,0.78,0,0,1,0,0.85,-0.8,0,27.8,21.8,0.8,-6,49.5,61,0,0,0,0,0,0,0,0,0,0,0,0,2.75,8.89,0,0,0,0,0,0,0,0,0,69,0.79,0.05,8.3,200,0,0,75,0.5,0.25,40,9.8,3.5,400,0,0,82,0.58,0.17,17,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4459,0.4427,0.0172,0.0372,6.67,11.06,4.6,2.46,0.1695,bay,tampa bay,t,tampa bay4200,51566-12551:Tampa Bay Buccaneers,51566-12551,D,t,Tampa Bay Buccaneers,buccaneers,8.555555556,9,4200,TB@CAR,TB,CAR,,,,Bay,Bay,tampa bay,tampa bay4200
washington3800,48.57,Washington,3800,WAS,@DET,,,6.8,13.7,-0.1,1.77,1.8,10.5,0,5.03,-4,0.45,0,0,1,0,0.94,0.7,0,21.8,24.3,1,2.5,46,44,0,0,0,0,0,0,0,0,0,0,0,0,2.67,10.68,0,0,0,0,0,0,0,0,0,0,0,0,8.7,-800,0,0,100,0.33,0,30,6.6,1.3,400,0,0,93,0.33,0.06,15,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4867,0.5034,0.014,0.0494,7.31,9.2,4.21,2.08,0.2319,washington,washington,w,washington3800,51566-12552:Washington Football Team,51566-12552,D,w,Washington Football Team,footballteam,6.5,8,3800,WAS@DET,WAS,DET,,,,Football,Football,washington,washington3800
allen8700qbj,98,Josh Allen,8700,BUF,@ARI,,,23.26,32.4,14.1,4.73,2.7,14.5,28.86,18.53,-1,0.68,1,10,2,0,0.87,4,63,26.5,29.5,1,3,56,49,19,30,234,64,7.6,7.37,1.8,35,14.4,71.1,10.8,6,1.3,7.1,6,12,29,4.4,0.5,0.523,6.35,3,1.82,0,0,0,20.5,100,0.48,0.33,100,0.25,0,40,22.3,4.6,800,0.56,0.35,94,0.63,0.05,19,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen8700qbj,51566-62239:Josh Allen,51566-62239,QB,j,Josh Allen,allen,24.50888909,9,8700,BUF@ARI,BUF,ARI,,,,ryland,ryland,josh,allen8700qbj
brady7800qbt,92.9,Tom Brady,7800,TB,@CAR,,,19.52,32.4,6.7,2.75,2.5,6.5,31.84,16.77,-5,0.39,1,1.5,1,0,0.67,0.9,68,27.8,21.8,0.8,-6,49.5,61,23,37,244,61,6.5,6.35,1.9,36,24.7,53.5,18,5.1,1.6,4.1,1,2,2,1.3,0.1,0.276,6.56,3.25,1.75,69,0.79,0.05,19,300,0.48,0.31,75,0.5,0.25,40,17,0.1,200,0.41,0.25,76,0.38,0.23,21,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7800qbt,51566-6498:Tom Brady,51566-6498,QB,t,Tom Brady,brady,19.94666714,9,7800,TB@CAR,TB,CAR,,,,ryland,ryland,tom,brady7800qbt
brees7600qbd,93.75,Drew Brees,7600,NO,SF,,,19.4,32.9,5.9,3.03,2.6,3,6.94,16.37,4,0.94,1,1,1,0,0.87,1.7,63,29.5,20,-0.5,-9.5,49.5,57,26,35,268,74,7.6,8.32,2.6,40,28.7,52.8,16.5,7.4,0.9,2.8,1,0,0,-0.1,0.2,0.261,6.73,2.4,1.73,0,0,0,22,-100,0.55,0.33,100,1,0,30,20.8,3.1,-500,0.55,0.33,83,0.66,0.16,18,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brees,drew brees,d,brees7600qbd,51566-6504:Drew Brees,51566-6504,QB,d,Drew Brees,brees,19.75,8,7600,SF@NO,NO,SF,,,,ryland,ryland,drew,brees7600qbd
bridgewater7000qbt,91.85,Teddy Bridgewater,7000,CAR,TB,,,18.18,28.9,7.5,2.98,2.6,3,20.04,15.2,-7,0.27,0.5,1,1,0,0.97,-0.4,54,21.8,27.8,0.8,6,49.5,39,22,30,243,71,7.9,7.12,1.1,43,24.7,63,7.5,3.7,2,6,3,7,15,4.6,0.2,0.421,3.19,1.56,0.5,69,0.79,0.05,18,100,0.46,0.29,100,0.5,0,40,9.7,1.7,200,0.27,0.18,52,0.35,0.47,17,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater7000qbt,51566-33259:Teddy Bridgewater,51566-33259,QB,t,Teddy Bridgewater,bridgewater,18.29333327,9,7000,TB@CAR,CAR,TB,,,,ryland,ryland,teddy,bridgewater7000qbt
burrow7200qbj,85.1,Joe Burrow,7200,CIN,@PIT,,,17.58,27,8.1,1.99,2.4,0.5,12.52,15.59,-1,0.68,0.8,1.2,1,0,0.67,-3,74,19.5,26,0.5,6.5,45.5,46,27,41,284,66,6.9,5.84,1.4,32,17,67.6,12.4,3.4,1.5,7.9,4,8,16,3.7,0.4,0.571,6.56,3.22,1.67,50,0.68,0.31,23.7,100,0.51,0.33,100,1,0,30,19.4,3.9,600,0.39,0.26,87,0.75,0.12,80,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow7200qbj,51566-63336:Joe Burrow,51566-63336,QB,j,Joe Burrow,burrow,19.36000061,8,7200,CIN@PIT,CIN,PIT,,,,ryland,ryland,joe,burrow7200qbj
carr6900qbd,96.15,Derek Carr,6900,LV,DEN,,,18.82,31.3,6.4,3.82,2.7,3,7.16,15,3,0.91,1,3.4,1,0,0.67,3.6,65,27,23.5,-0.8,-3.5,50.5,55,22,32,256,69,7.9,7.51,1.5,42,24.3,38.2,31.2,4.7,1.3,6.2,2,7,10,4.3,0.1,0.514,6.13,2.8,2,0,0,0,15.6,0,0.47,0.25,100,0.33,0,30,17.4,1.7,-200,0.47,0.27,93,0.62,0.06,16,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr6900qbd,51566-45859:Derek Carr,51566-45859,QB,d,Derek Carr,carr,17.86000061,8,6900,DEN@LV,LV,DEN,,,,ryland,ryland,derek,carr6900qbd
goff7400qbj,96,Jared Goff,7400,LA,SEA,,,19.78,30.9,8.6,3.8,2.7,10.5,10.48,15.98,-6,0.33,0.97,8.8,1,0,0.97,8.7,69,29,26,0.5,-3,55,49,24,37,278,65,7.5,6.86,1.6,37,11.4,61.1,22.7,4.3,2.4,2.9,2,4,4,1.6,0.1,0.41,5.33,2.6,1.2,0,0,0,15,-300,0.32,0.2,100,0,0,30,17.8,10,0,0.44,0.26,87,0.56,0.12,16,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goff,jared goff,j,goff7400qbj,51566-38435:Jared Goff,51566-38435,QB,j,Jared Goff,goff,18.22500038,8,7400,SEA@LAR,LAR,SEA,,,,ryland,ryland,jared,goff7400qbj
herbert8000qbj,92.45,Justin Herbert,8000,LAC,@MIA,,,19.96,30.3,9.7,2.8,2.5,6.5,21.48,17.16,-1,0.68,1,4.4,1,0,0.74,-0.4,75,23.5,25,0.2,1.5,48.5,41,25,38,306,67,8,7.79,2.4,50,25.3,50.6,20.1,6.3,1.8,5,4,12,23,5,0.3,0.485,5.25,1.75,1.13,80,0.79,0,28.4,500,0.57,0.35,100,1,0,30,25.1,7.1,1900,0.56,0.33,87,0.75,0,80,QB,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,herbert,justin herbert,j,herbert8000qbj,51566-69189:Justin Herbert,51566-69189,QB,j,Justin Herbert,herbert,25.06285749,7,8000,LAC@MIA,LAC,MIA,,,,ryland,ryland,justin,herbert8000qbj
