RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
tennessee4100,68.59,Tennessee,4100,TEN,@IND,,,6.3,16.1,1,0.3,1.5,0.5,20,6,11,0.98,0,0,2,0,0.73,0,0,21.3,20.3,1.3,-1,41.5,52,0,0,0,0,0,0,0,0,0,0,0,0,2.35,7.05,0,0,0,0,0,0,0,0,0,0,0,0,6.8,-300,0,0,100,0.25,0,40,8.5,1.6,-1900,0,0,83,0.54,0.16,24,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4849,0.4374,0.0138,0.0333,6.78,7.81,4.6,2.69,0.208,tennessee,tennessee,t,tennessee4100,40932-12534,D,t,Tennessee Titans,titans,8.363636364,11,4100,TEN@IND,TEN,IND,,,,,,Titans,Titans,tennessee,tennessee4100
washington3200,75,Washington,3200,WAS,@CAR,,,7.3,14.1,0.9,4.19,2.3,3,11,3.11,-7,0.43,0,0,2,0,0.82,3.3,0,14,24.5,-1.3,10.5,38.5,35,0,0,0,0,0,0,0,0,0,0,0,0,3.27,8.78,0,0,0,0,0,0,0,0,0,64,0.55,0.07,9.3,200,0,0,100,0.33,0,30,60,0.5,-2800,0,0,87,0.37,0.12,24,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5082,0.5088,0.0161,0.041,7.58,10.8,6.07,3.27,0.2037,washington,washington,w,washington3200,40932-12552,D,w,Washington Redskins,redskins,6.636363636,11,3200,WAS@CAR,WAS,CAR,,,,,,Redskins,Redskins,washington,washington3200
allen7200qbk,61.29,Kyle Allen,7200,CAR,WAS,,,16.5,24.8,8.6,0.91,2.3,0.5,24.32,15.59,1,0.78,1,3.5,1,0,0.33,-2.1,63,24.5,14,-0.8,-10.5,38.5,65,19,31,222,62,7,5.6,1.4,37,23.6,54.1,16.8,4.5,2.6,8.6,1,3,4,2.5,0.1,0.25,4.38,2.31,1.23,64,0.55,0.07,15.8,400,0.34,0.22,100,0.5,0,40,10.7,0.2,1200,0.29,0.17,44,0.27,0.33,18,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,kyle allen,k,allen7200qbk,40932-53095,QB,k,Kyle Allen,allen,13.68444485,9,7200,WAS@CAR,CAR,WAS,,,,,,ryland,ryland,kyle,allen7200qbk
brissett7200qbj,63.35,Jacoby Brissett,7200,IND,TEN,,,15,23.5,8.3,-0.59,2.1,0.5,14.66,15.59,-3,0.61,0.5,1.5,1,0,0.62,1.4,65,20.3,21.3,-2.7,1,41.5,48,18,28,192,64,6.8,6.55,1.5,28,18.9,48.4,27.4,5.4,1.4,5.4,4,7,14,3.3,0.3,0.512,3.13,1.5,1.13,0,0,0,8,-100,0.36,0.16,50,0,0.5,40,90,0.1,1200,0.26,0.14,45,0.22,0.4,22,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brissett,jacoby brissett,j,brissett7200qbj,40932-30231,QB,j,Jacoby Brissett,brissett,15.92400055,10,7200,TEN@IND,IND,TEN,,,,,,ryland,ryland,jacoby,brissett7200qbj
carr7200qbd,52.08,Derek Carr,7200,OAK,@KC,,,14.8,23.4,7.3,-0.79,2.1,0.5,11.58,15.59,-6,0.6,1,1.2,1,0,0.33,0.5,63,19,30.5,-3.3,11.5,49.5,45,22,31,240,70,7.6,7.02,1.3,31,19,46.8,29.8,4.2,1.6,6.1,1,3,2,1.9,0.1,0.24,4.31,2.38,0.94,33,0.61,0.05,14.4,-100,0.43,0.24,80,0.4,0.2,50,13.8,-1,1200,0.39,0.22,73,0.39,0.08,23,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7200qbd,40932-45859,QB,d,Derek Carr,carr,14.83090904,11,7200,OAK@KC,OAK,KC,,,,,,ryland,ryland,derek,carr7200qbd
dalton6000qba,78.24,Andy Dalton,6000,CIN,NYJ,,,16.2,25.3,8.4,2.97,2.7,6.5,13.32,13.23,-2,0.5,1,9.2,1,0,0.62,0.3,70,20.3,22.8,2.3,2.5,43,28,25,42,281,60,6.7,5.15,1.1,43,14.8,65.7,15.7,2.6,2.4,7.9,1,4,6,3.9,0.4,0.571,4.58,2.08,1.33,42,0.69,0.23,0,0,0,0,0,0,1,30,10.4,-0.6,0,0.22,0.15,38,0.33,0.38,18,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dalton,andy dalton,a,dalton6000qba,40932-14225,QB,a,Andy Dalton,dalton,16.95999908,8,6000,NYJ@CIN,CIN,NYJ,,,,,,ryland,ryland,andy,dalton6000qba
darnold7600qbs,70.13,Sam Darnold,7600,NYJ,@CIN,,,17.8,25.8,8.8,1.43,2.3,3,10.46,16.37,0,0.69,1,10,1,0,0.5,5.4,63,22.8,20.3,1.3,-2.5,43,72,20,32,237,63,7.3,6.1,1.6,38,19.6,60.3,14.9,5,2.8,7.8,2,7,9,3.4,0.2,0.353,4.38,1.69,1.06,42,0.69,0.23,22.5,300,0.61,0.34,100,0.75,0,40,12.4,1.2,1600,0.33,0.2,50,0.36,0.31,22,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,darnold,sam darnold,s,darnold7600qbs,40932-63589,QB,s,Sam Darnold,darnold,17.04999924,8,7600,NYJ@CIN,NYJ,CIN,,,,,,ryland,ryland,sam,darnold7600qbs
fitzpatrick7100qbr,57.64,Ryan Fitzpatrick,7100,MIA,PHI,,,15.4,22.6,8.8,0.01,2.2,0.5,27.8,15.39,-7,0.53,1,0.4,1,0,0.33,-2.2,51,17.3,27.8,-2,10.5,45,32,18,29,190,61,6.5,4.75,1,30,20.2,62,15.8,3.4,3.4,8.8,3,7,11,4,0.3,0.533,2.5,0.69,0.44,81,0.59,0.02,18.9,100,0.41,0.29,100,0.5,0,40,8.7,0.2,1100,0.25,0.17,42,0.19,0.38,21,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fitzpatrick,ryan fitzpatrick,r,fitzpatrick7100qbr,40932-7659,QB,r,Ryan Fitzpatrick,fitzpatrick,13.39400024,10,7100,PHI@MIA,MIA,PHI,,,,,,ryland,ryland,ryan,fitzpatrick7100qbr
foles7500qbn,61.82,Nick Foles,7500,JAX,TB,,,17.3,24.7,9.4,1.12,2.3,6.5,-0.98,16.18,-4,0.45,1,9.2,1,0,0.24,6.2,61,21.8,24.8,-3.2,3,46.5,37,26,36,267,72,7.4,6.84,1.5,42,24.1,51.9,21.3,4.2,1.9,4,1,3,5,3.8,0,0.5,3.25,1.5,0.5,78,0.65,0.1,16.2,1500,0.31,0.22,75,0.25,0,40,13.5,0.2,1500,0.35,0.22,46,0.07,0.07,26,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foles,nick foles,n,foles7500qbn,40932-22027,QB,n,Nick Foles,foles,13.57333374,3,7500,TB@JAC,JAC,TB,,,,,,ryland,ryland,nick,foles7500qbn
garoppolo8000qbj,40.83,Jimmy Garoppolo,8000,SF,@BAL,,,15,23.1,7.7,-2.16,1.9,0.5,9.1,17.16,-5,0.57,0,0.8,0,0,0.03,-5.8,71,19.8,25.3,-0.2,5.5,45,39,21,30,248,68,8.1,7.2,1.8,38,22.6,49.6,25.5,6,3,6.3,3,3,3,1.2,0.1,0.303,5.55,2.64,1.45,43,1,0.91,18,200,0.43,0.25,80,0.4,0.2,50,17.2,0.8,2000,0.48,0.24,72,0.27,0.11,18,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,garoppolo,jimmy garoppolo,j,garoppolo8000qbj,40932-54604,QB,j,Jimmy Garoppolo,garoppolo,16.84909058,11,8000,SF@BAL,SF,BAL,,,,,,ryland,ryland,jimmy,garoppolo8000qbj
goff7900qbj,60.35,Jared Goff,7900,LA,@ARI,,,17.5,25.7,9.5,0.54,2.2,3,24.96,16.96,2,0.68,1,4.6,0,0,0.19,7.6,67,24.8,22.3,0.3,-2.5,47,62,22,36,258,60,7,5.8,1.1,35,12.7,63.4,21.4,3.1,3.1,4.5,1,2,2,1.3,0.2,0.267,5.06,2.13,1,0,0,0,6.1,-200,0.17,0.1,0,0,1,30,13.3,-3.1,1900,0.33,0.2,48,0.25,0.37,27,QB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goff,jared goff,j,goff7900qbj,40932-38435,QB,j,Jared Goff,goff,14.1454551,11,7900,LAR@ARI,LAR,ARI,,,,,,ryland,ryland,jared,goff7900qbj
