rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
79.63,Miles Sanders,5900,PHI,@LV,,,12.1,15.6,8.6,3.17,2.1,18.6,3.2,8.93,-2,0.75,1,0,6,0,0.28,2.8,46,24.8,23.8,2.5,-1,48.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,4.7,0.2,0.553,1.8,0.87,0.6,0,0,0,7.2,-200,0.64,0.17,100,0,0,50,10,-0.7,-100,0.65,0.22,61,0.11,0.16,18,RB,37,0.231,0.427,0.707,11,3,2,17,11,6.7,0,0,0.083,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,sanders,miles sanders,m,sanders5900rbm
79.47,Damien Harris,6800,NE,NYJ,,,11.89,15.6,8.2,0.72,1.7,7,24.3,11.17,6,0.96,1,0,7,0,0.11,1.4,27,25,17.5,0.2,-7.5,42.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,64,4.6,0.4,0.492,1.88,1.18,0.59,56,0.37,0,8.2,600,0.7,0.32,75,0.25,0.25,40,8.4,0.1,800,0.56,0.31,70,0.35,0.15,20,RB,37,0.313,0.564,0.442,13,1,0,6,5,7.6,0,0,0.097,0.548,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,harris,damien harris,d,harris6800rbd
78.08,Myles Gaskin,5600,MIA,ATL,,,8.04,10.5,5.6,-0.14,1.4,5,15.7,8.18,-3,0.71,1,0,3,0,0.93,1.2,38,23.5,22,-1,-1.5,45.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,4.2,0.2,0.414,1.5,1.06,0.5,84,0.78,0.07,9.6,-300,0.82,0.33,50,0.25,0.5,40,14,30,-400,0.94,0.37,50,0.35,0.15,20,RB,37,0.333,0.544,0.603,9,5,3,34,19,90,0.4,0,0.105,0.368,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,gaskin,myles gaskin,m,gaskin5600rbm
76.24,Josh Jacobs,6900,LV,PHI,,,12.52,16.2,8.9,1.1,1.8,19.4,14.3,11.42,-2,0.75,1,0,3,0,0.34,0.9,39,23.8,24.8,-1.5,1,48.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,61,3.9,0.8,0.471,3.29,1.71,1.24,0,0,0,12.5,-300,0.68,0.32,50,0.25,0.25,40,13,0.3,900,0.7,0.33,45,0.27,0.27,22,RB,37,0.611,0.566,0.6,15,2,2,14,9,6.9,0,0,0.173,0.538,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,jacobs,josh jacobs,j,jacobs6900rbj
74.42,AJ Dillon,5400,GB,WAS,,,8.37,10.9,5.8,0.69,1.5,2.2,-0.7,7.68,0,0.84,0,0,5,0,0.28,0.3,18,27,21,-2.5,-6,48,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,4.9,0.2,0.561,0.76,0.29,0.06,50,0.56,0,8.9,400,0.76,0.39,100,0.5,0,40,5.6,0,-600,0.66,0.31,45,0.13,0.27,22,RB,37,0.2,0.293,0.299,7,1,1,9,7,9.9,0.1,0,0.1,0.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,dillon,aj dillon,a,dillon5400rba
72.94,Leonard Fournette,7000,TB,CHI,,,14.09,18.2,10,2.42,2,27.6,16,11.67,-2,0.75,1,0,10,0,0.43,-2,38,29.8,17.3,-1.2,-12.5,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,3.8,0.5,0.49,2.63,1.5,0.88,82,0.72,0.18,18.9,1200,0.98,0.42,100,0.8,0,50,12,3.1,1000,0.82,0.32,73,0.39,0.17,23,RB,37,0.467,0.453,0.571,10,4,3,27,13,7.6,0,0,0.226,0.581,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,fournette,leonard fournette,l,fournette7000rbl
72.62,Brandon Bolden,5000,NE,NYJ,,,5.26,6.9,3.6,-1.42,1.1,0.5,16.9,6.68,-7,0.58,0,0,6,0,0.16,1.4,17,25,17.5,0.2,-7.5,42.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3.5,0,0.125,0.35,0.12,0.06,56,0.37,0,4.4,500,0.8,0.21,75,0.25,0.25,40,3.6,-0.3,-1000,0.79,0.21,15,0.05,0.1,19,RB,37,0,0.067,0.275,1,3,2,16,7,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,bolden,brandon bolden,b,bolden5000rbb
72.49,JD McKissic,5700,WAS,@GB,,,8.76,11.4,6.1,0.33,1.5,1.7,7.6,8.43,2,0.9,0,0,4,0,0.34,1.3,38,21,27,1.5,6,48,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,4.2,0.1,0.554,1.63,0.5,0.31,50,0.56,0,8.9,400,0.86,0.3,75,0.5,0.25,40,9.4,2.4,-300,0.79,0.25,75,0.45,0.2,20,RB,37,0.125,0.199,0.57,5,6,4,39,15,8.2,0.2,0,0.143,0.643,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,mckissic,jd mckissic,j,mckissic5700rbj
72.33,Kenneth Gainwell,5200,PHI,@LV,,,5.09,6.7,3.5,-2.09,1,0.5,12.1,7.18,-9,0.52,0,0,5,0,0.16,2.8,19,24.8,23.8,2.5,-1,48.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,4.8,0.3,0.571,1.33,0.33,0,0,0,0,5.3,0,0.92,0.29,50,0.16,0.5,60,6.7,-1.1,-800,0.92,0.35,60,0.3,0.4,10,RB,37,0.286,0.147,0.313,3,3,2,20,10,8.2,0,0,0.667,0.667,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,gainwell,kenneth gainwell,k,gainwell5200rbk
71.89,Kenyan Drake,5500,LV,PHI,,,5.15,6.7,3.6,-2.78,0.9,0.5,15.4,7.93,-9,0.52,1,0,1,0,0.43,0.9,33,23.8,24.8,-1.5,1,48.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,3.5,0.5,0.438,2.94,1.56,1.06,0,0,0,7.2,-200,1.2,0.36,50,0.25,0.5,40,10.3,0.8,-500,0.75,0.31,68,0.27,0.09,22,RB,37,0.438,0.361,0.478,10,2,2,19,10,8.6,0.1,0,0.159,0.455,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,drake,kenyan drake,k,drake5500rbk
