entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"2945898829","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-56250:Terry McLaurin,82292-56250,WR,Terry,Terry McLaurin,McLaurin,10.185714721679688,7,6800,WAS@IND,WAS,IND,,,,,,WR/FLEX
"2945898831","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-21948:Ryan Tannehill,82292-21948,QB,Ryan,Ryan Tannehill,Tannehill,11.963333129882812,6,6700,TEN@HOU,TEN,HOU,Q,Ankle,,,,QB
"2945898832","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-73273:David Montgomery,82292-73273,RB,David,David Montgomery,Montgomery,9.84999974568685,6,6700,CHI@DAL,CHI,DAL,,,,,,RB/FLEX
"2945898834","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-87691:Malik Willis,82292-87691,QB,Malik,Malik Willis,Willis,-0.1599999964237213,1,6700,TEN@HOU,TEN,HOU,,,,,,QB
"2945898836","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-72412:Khalil Herbert,82292-72412,RB,Khalil,Khalil Herbert,Herbert,11.37142835344587,7,6700,CHI@DAL,CHI,DAL,,,,,,RB/FLEX
"2945898838","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-85798:Brandon Aiyuk,82292-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,10.700000217982701,7,6700,SF@LAR,SF,LAR,,,,,,WR/FLEX
"2945898839","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-63634:Jakobi Meyers,82292-63634,WR,Jakobi,Jakobi Meyers,Meyers,12.240000152587891,5,6600,NE@NYJ,NE,NYJ,,,,,,WR/FLEX
"2945898841","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-93539:Michael Carter,82292-93539,RB,Michael,Michael Carter,Carter,8.557143075125557,7,6600,NE@NYJ,NYJ,NE,,,,,,RB/FLEX
"2945898842","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-90575:Najee Harris,82292-90575,RB,Najee,Najee Harris,Harris,9.5,7,6600,PIT@PHI,PIT,PHI,,,,,,RB/FLEX
"2945898844","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-90584:Mac Jones,82292-90584,QB,Mac,Mac Jones,Jones,11.015000343322754,4,6600,NE@NYJ,NE,NYJ,,,,,,QB
"2945898847","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-139985:Bailey Zappe,82292-139985,QB,Bailey,Bailey Zappe,Zappe,10.53499984741211,4,6600,NE@NYJ,NE,NYJ,,,,,,QB
"2945898849","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-38628:Mitch Trubisky,82292-38628,QB,Mitch,Mitch Trubisky,Trubisky,10.555999755859375,5,6600,PIT@PHI,PIT,PHI,,,,,,QB
"2945898852","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-92020:Kenny Pickett,82292-92020,QB,Kenny,Kenny Pickett,Pickett,12.484999656677246,4,6600,PIT@PHI,PIT,PHI,,,,,,QB
"2945898854","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-91591:Justin Fields,82292-91591,QB,Justin,Justin Fields,Fields,14.617142813546318,7,6500,CHI@DAL,CHI,DAL,,,,,,QB
"2945898855","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-45565:Taysom Hill,82292-45565,TE,Taysom,Taysom Hill,Hill,12.09000015258789,6,6500,LV@NO,NO,LV,,,,,,TE/FLEX
"2945898856","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-70157:Darrell Henderson Jr.,82292-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,7.466666539510091,6,6500,SF@LAR,LAR,SF,,,,,,RB/FLEX
"2945898858","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-89628:Davis Mills,82292-89628,QB,Davis,Davis Mills,Mills,12.533332824707031,6,6500,TEN@HOU,HOU,TEN,,,,,,QB
"2945898859","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-53097:Josh Reynolds,82292-53097,WR,Josh,Josh Reynolds,Reynolds,9.716666539510092,6,6500,MIA@DET,DET,MIA,,,,,,WR/FLEX
"2945898860","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-53331:Taylor Heinicke,82292-53331,QB,Taylor,Taylor Heinicke,Heinicke,15.4399995803833,1,6400,WAS@IND,WAS,IND,,,,,,QB
"2945898862","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-63589:Sam Darnold,82292-63589,QB,Sam,Sam Darnold,Darnold,14.18999989827474,12,6400,CAR@ATL,CAR,ATL,IR,Ankle,,,,QB
"2945898863","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-90406:Zach Wilson,82292-90406,QB,Zach,Zach Wilson,Wilson,11.654999732971191,4,6400,NE@NYJ,NYJ,NE,,,,,,QB
"2945898864","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-55830:D'Onta Foreman,82292-55830,RB,D'Onta,D'Onta Foreman,Foreman,3.2000001271565757,6,6400,CAR@ATL,CAR,ATL,,,,,,RB/FLEX
"2945898865","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-41535:Baker Mayfield,82292-41535,QB,Baker,Baker Mayfield,Mayfield,11.695999908447266,5,6400,CAR@ATL,CAR,ATL,Q,Ankle,,,,QB
"2945898868","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-69333:Jacob Eason,82292-69333,QB,Jacob,Jacob Eason,Eason,1.3600000143051147,1,6400,CAR@ATL,CAR,ATL,,,,,,QB
"2945898870","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-41827:P.J. Walker,82292-41827,QB,P.J.,P.J. Walker,Walker,6.593333562215169,3,6400,CAR@ATL,CAR,ATL,,,,,,QB
"2945898873","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-71706:T.J. Hockenson,82292-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.5,6,6300,MIA@DET,DET,MIA,,,,,,TE/FLEX
"2945898874","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-63759:Tony Pollard,82292-63759,RB,Tony,Tony Pollard,Pollard,9.357142857142858,7,6300,CHI@DAL,DAL,CHI,,,,,,RB/FLEX
"2945898875","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-66008:Diontae Johnson,82292-66008,WR,Diontae,Diontae Johnson,Johnson,8.12857164655413,7,6300,PIT@PHI,PIT,PHI,,,,,,WR/FLEX
"2945898876","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-33259:Teddy Bridgewater,82292-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,7.994999885559082,4,6300,MIA@DET,MIA,DET,,,,,,QB
"2945898877","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-70324:Carson Wentz,82292-70324,QB,Carson,Carson Wentz,Wentz,17.24333318074544,6,6300,WAS@IND,WAS,IND,IR,Finger,,,,QB
