Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Vincent Trocheck (26923833),Vincent Trocheck,26923833,C/UTIL,5400,NYR@MON 03/09/2023 07:00PM ET,NYR,10.82
LW,Brandon Hagel (26924143),Brandon Hagel,26924143,W/UTIL,5400,VGK@TB 03/09/2023 07:00PM ET,TB,9.89
LW,Artturi Lehkonen (26924147),Artturi Lehkonen,26924147,W/UTIL,5300,LA@COL 03/09/2023 09:00PM ET,COL,9.66
C,Logan Couture (26923835),Logan Couture,26923835,C/UTIL,5300,SJ@STL 03/09/2023 08:00PM ET,SJ,10.62
D,Justin Faulk (26924659),Justin Faulk,26924659,D/UTIL,5300,SJ@STL 03/09/2023 08:00PM ET,STL,10.02
RW,Mark Stone (26924149),Mark Stone,26924149,W/UTIL,5300,VGK@TB 03/09/2023 07:00PM ET,VGK,11.13
D,Shayne Gostisbehere (26924661),Shayne Gostisbehere,26924661,D/UTIL,5200,PHI@CAR 03/09/2023 07:00PM ET,CAR,9.84
C,J.T. Compher (26923837),J.T. Compher,26923837,C/UTIL,5200,LA@COL 03/09/2023 09:00PM ET,COL,9.33
LW,Anders Lee (26924151),Anders Lee,26924151,W/UTIL,5200,NYI@PIT 03/09/2023 07:00PM ET,NYI,10.04
D,Devon Toews (26924663),Devon Toews,26924663,D/UTIL,5100,LA@COL 03/09/2023 09:00PM ET,COL,9.20
D,Drew Doughty (26924665),Drew Doughty,26924665,D/UTIL,5100,LA@COL 03/09/2023 09:00PM ET,LA,8.78
C,Nick Suzuki (26923839),Nick Suzuki,26923839,C/UTIL,5100,NYR@MON 03/09/2023 07:00PM ET,MON,9.39
RW,Vladimir Tarasenko (26924155),Vladimir Tarasenko,26924155,W/UTIL,5100,NYR@MON 03/09/2023 07:00PM ET,NYR,9.86
RW,Bryan Rust (26924153),Bryan Rust,26924153,W/UTIL,5100,NYI@PIT 03/09/2023 07:00PM ET,PIT,9.10
C,Kevin Hayes (26923841),Kevin Hayes,26923841,C/UTIL,5000,PHI@CAR 03/09/2023 07:00PM ET,PHI,9.92
LW,Evan Rodrigues (26924157),Evan Rodrigues,26924157,W/UTIL,5000,LA@COL 03/09/2023 09:00PM ET,COL,9.46
RW,Dawson Mercer (26924159),Dawson Mercer,26924159,W/UTIL,5000,NJ@WAS 03/09/2023 07:00PM ET,NJ,9.40
LW,Taylor Hall (26924161),Taylor Hall,26924161,W/UTIL,4900,EDM@BOS 03/09/2023 07:30PM ET,BOS,9.13
RW,Owen Tippett (26924163),Owen Tippett,26924163,W/UTIL,4900,PHI@CAR 03/09/2023 07:00PM ET,PHI,10.02
D,Bowen Byram (26924667),Bowen Byram,26924667,D/UTIL,4900,LA@COL 03/09/2023 09:00PM ET,COL,8.88
C,Kirby Dach (26923843),Kirby Dach,26923843,C/UTIL,4900,NYR@MON 03/09/2023 07:00PM ET,MON,8.10
RW,Mathew Barzal (26924165),Mathew Barzal,26924165,W/UTIL,4900,NYI@PIT 03/09/2023 07:00PM ET,NYI,10.24
LW,Jason Zucker (26924167),Jason Zucker,26924167,W/UTIL,4900,NYI@PIT 03/09/2023 07:00PM ET,PIT,8.99
D,Jeff Petry (26924669),Jeff Petry,26924669,D/UTIL,4900,NYI@PIT 03/09/2023 07:00PM ET,PIT,9.22
C,Filip Chytil (26923847),Filip Chytil,26923847,C/UTIL,4800,NYR@MON 03/09/2023 07:00PM ET,NYR,9.00
C,Matty Beniers (26923845),Matty Beniers,26923845,C/UTIL,4800,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.84
D,Vince Dunn (26924673),Vince Dunn,26924673,D/UTIL,4800,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.62
LW,Reilly Smith (26924171),Reilly Smith,26924171,W/UTIL,4800,VGK@TB 03/09/2023 07:00PM ET,VGK,9.34
RW,T.J. Oshie (26924169),T.J. Oshie,26924169,W/UTIL,4800,NJ@WAS 03/09/2023 07:00PM ET,WAS,8.77
D,Ryan Graves (26924671),Ryan Graves,26924671,D/UTIL,4800,NJ@WAS 03/09/2023 07:00PM ET,NJ,8.29
D,Dmitry Orlov (26924675),Dmitry Orlov,26924675,D/UTIL,4700,EDM@BOS 03/09/2023 07:30PM ET,BOS,8.83
D,Hampus Lindholm (26924677),Hampus Lindholm,26924677,D/UTIL,4700,EDM@BOS 03/09/2023 07:30PM ET,BOS,9.14
LW,Scott Laughton (26924173),Scott Laughton,26924173,W/UTIL,4700,PHI@CAR 03/09/2023 07:00PM ET,PHI,9.44
D,Tony DeAngelo (26924679),Tony DeAngelo,26924679,D/UTIL,4700,PHI@CAR 03/09/2023 07:00PM ET,PHI,9.37
C,Phillip Danault (26923849),Phillip Danault,26923849,C/UTIL,4700,LA@COL 03/09/2023 09:00PM ET,LA,8.76
