,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
brady8000qbt,52.52,Tom Brady,8000,TB,@NO,,,18.2,28.8,7.6,-2.56,2.3,3.5,20.76,3,0.91,1.7,0.75,1,0,0.52,-8.7,67,23,20.5,-2,-2.5,43.5,56,28,41,308,67,7.4,7.55,2.4,39,160.9,333.1,19,55.6,23.8,5.9,1.5,3.3,1,4,5,2.9,0.1,0.536,7.88,4,1.82,0,0,0,6.6,200,0,0,33,0,0.33,30,20.1,-0.1,2000,0.45,0.3,79,0.45,0.12,24,QB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady8000qbt,80468-6498,QB,t,Tom Brady,brady,11.38000011,1,8000,TB@NO,TB,NO,,,,,,QB,ryland,ryland,tom,brady8000qbt
brate4900tec,75.67,Cameron Brate,4900,TB,@NO,,,5.1,6.9,3.3,-0.9,1,0.8,6,1,0.91,0,0,2,0,0.82,-3.9,28,23,20.5,-2,-2.5,43.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.53,0.24,0,0,0,1.6,0,0,0,0,0,0.33,30,3.8,-1.3,-1100,1.08,0.14,73,0.17,0.08,23,TE,9.14.22,0,0,0,0,3,1,15,9,8.2,0.3,0,0.2,0,0.085,0.103,0.049,10.1,7.5,0,0,0,0,0,0,0,0,0,0,brate,cameron brate,c,brate4900tec,80468-54782,TE,c,Cameron Brate,brate,1.200000048,1,4900,TB@NO,TB,NO,,,,,,TE/FLEX,ryland,ryland,cameron,brate4900tec
breida5100rbm,52.18,Matt Breida,5100,NYG,CAR,,,2.6,3.4,1.8,-4.33,0.5,0.1,6.93,10,0.98,0,0,3,0,0.3,0.5,8,22.3,21.3,0.5,-1,43.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5.5,0.1,0.727,0.41,0.12,0,80,0.59,0,1.3,-300,0,0,0,0,0.66,30,4.4,-1.2,-900,1.14,0.55,13,0.08,0.3,23,RB,9.14.22,0.1,0.115,0.138,2,1,0,9,7,10.3,0.3,0,0.333,0.667,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,breida,matt breida,m,breida5100rbm,80468-53303,RB,m,Matt Breida,breida,2.400000095,1,5100,CAR@NYG,NYG,CAR,,,,,,RB/FLEX,ryland,ryland,matt,breida5100rbm
brissett6600qbj,59.12,Jacoby Brissett,6600,CLE,NYJ,,,14.34,24.1,4.5,-3.67,2.2,0.6,18.01,5,0.96,0,1,1,0,0.74,0.1,37,23,16.5,-0.8,-6.5,39.5,64,20,32,183,62,5.7,4.38,0.7,31,84.7,203.8,17.8,50.7,27.6,2.2,1.9,7.8,1,4,6,3.9,0.1,0.588,1.53,0.88,0.82,80,0.61,0,7.1,300,0,0,50,0,0.5,20,90,-1.4,600,0.25,0.24,36,0.15,0.15,19,QB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,brissett,jacoby brissett,j,brissett6600qbj,80468-30231,QB,j,Jacoby Brissett,brissett,10.88000011,1,6600,NYJ@CLE,CLE,NYJ,,,,,,QB,ryland,ryland,jacoby,brissett6600qbj
brown4300tep,52.34,Pharaoh Brown,4300,HOU,@DEN,,,2.1,3.1,1.1,-2.5,0.5,0.1,4.6,1,0.91,0,0,0,0,0.35,-0.7,39,17.8,27.8,1.8,10,45.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.1,0,2.2,0,0,0,33,0,0,30,20,-1.3,-1700,1.01,0.05,42,0,0.04,21,TE,9.14.22,0,0,0,0,2,1,7,4,5.5,0,0,0,0,0.067,0,0.037,2.1,2.5,0,0,0,0,0,0,0,0,0,0,brown,pharaoh brown,p,brown4300tep,80468-29411,TE,p,Pharaoh Brown,brown,2.200000048,1,4300,HOU@DEN,HOU,DEN,,,,,,TE/FLEX,ryland,ryland,pharaoh,brown4300tep
brown5200wrn,50.64,Noah Brown,5200,DAL,CIN,,,6.58,9.3,3.8,-1.4,1.3,1.7,7.98,-5,0.67,0,0,1,0,0.62,-1.4,23,17.3,24.3,-8.7,7,41.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,9.3,400,0,0,33,0.33,0,30,4.5,0.1,-800,2.32,0.19,33,0.09,0,21,WR,9.14.22,0,0,0,0,1,1,14,8,11.5,0,0,0,0,0.054,0,0.049,13.5,6,0,0,0,0,0,0,0,0,0,0,brown,noah brown,n,brown5200wrn,80468-56248,WR,n,Noah Brown,brown,9.300000191,1,5200,CIN@DAL,DAL,CIN,,,,,,WR/FLEX,ryland,ryland,noah,brown5200wrn
brown7400wrm,63.06,Marquise Brown,7400,ARI,@LV,,,10.92,15.2,6.6,-2.08,1.5,9.3,13,1,0.84,2.5,1,3,0,0.66,-3,58,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.35,0.29,0,0,0,12.3,500,0,0,33,0.33,0,30,10.8,-0.9,1400,1.16,0.19,42,0.19,0.38,21,WR,9.14.22,0,0,0,0,9,5,62,23,11,0.3,0,0.067,0,0.264,0.25,0.246,38.7,34.1,0,0,0,0,0,0,0,0,0,0,brown,marquise brown,m,brown7400wrm,80468-86687,WR,m,Marquise Brown,brown,12.30000019,1,7400,ARI@LV,ARI,LV,,,,,,WR/FLEX,ryland,ryland,marquise,brown7400wrm
bryant4700teh,54.93,Harrison Bryant,4700,CLE,NYJ,,,3.57,5,2.1,-1.97,0.8,0.1,5.54,11,0.99,0,0,1,0,0.35,-1.7,25,23,16.5,-0.8,-6.5,39.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.22,0.11,80,0.61,0,2.7,100,0,0,50,0,0.5,20,4.1,-0.4,-1300,2.49,0.16,60,0.25,0.1,20,TE,9.14.22,0,0,0,0,1,1,13,10,10.8,0.2,0,0.571,0,0.059,0.158,0.069,12,6.7,0,0,0,0,0,0,0,0,0,0,bryant,harrison bryant,h,bryant4700teh,80468-70601,TE,h,Harrison Bryant,bryant,2.799999952,1,4700,NYJ@CLE,CLE,NYJ,,,,,,TE/FLEX,ryland,ryland,harrison,bryant4700teh
burkhead5800rbr,41.1,Rex Burkhead,5800,HOU,@DEN,,,8.71,11.4,6.1,0.03,1.5,5.1,8.68,-6,0.58,2.5,0.67,2,0,0.18,-3.9,24,17.8,27.8,1.8,10,45.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,3.5,0.2,0.443,1.18,0.88,0.47,87,0.1,0,4.7,700,0,0,33,0,0.66,30,70,0.6,-200,0.63,0.29,50,0.15,0.25,20,RB,9.14.22,0.5,0.357,0.673,8,2,1,12,6,7.5,0,0,0.118,0.471,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,burkhead,rex burkhead,r,burkhead5800rbr,80468-27338,RB,r,Rex Burkhead,burkhead,9.5,1,5800,HOU@DEN,HOU,DEN,,,,,,RB/FLEX,ryland,ryland,rex,burkhead5800rbr
burrow7900qbj,59.7,Joe Burrow,7900,CIN,@DAL,,,19.4,31.4,7.4,-1.16,2.5,5,20.56,6,0.97,1.7,1,1,0,0.69,-9.2,62,24.3,17.3,0.3,-7,41.5,83,23,32,290,70,8.8,7.73,2.1,47,155.5,278.1,17.2,65.1,15,6.6,2.8,8.6,2,5,7,3,0.1,0.385,4.35,2.12,1.12,0,0,0,22.2,200,0,0,33,0.33,0,30,20.3,0.7,1900,0.53,0.33,79,0.58,0.04,24,QB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow7900qbj,80468-63336,QB,j,Joe Burrow,burrow,22.21999931,1,7900,CIN@DAL,CIN,DAL,,,,,,QB,ryland,ryland,joe,burrow7900qbj
