,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
eskridge5000wrd,40.9,Dee Eskridge,5000,SEA,@SF,,,2.94,4.2,1.7,-4.59,0.6,0.2,7.53,10,0.96,0,0,0,0,0.66,-1.6,19,15.8,24.8,-1.7,9,40.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.06,0,66,0.73,0.28,0.8,300,0,0,0,0,1,30,2.8,-1,-1000,1.2,0.15,20,0.05,0.2,20,WR,9.14.22,0,0,0,0,2,1,6,4,6.4,0.1,0,0.2,0,0.071,0.067,0.03,4.3,9.8,0,0,0,0,0,0,0,0,0,0,eskridge,dee eskridge,d,eskridge5000wrd,80468-72182,WR,d,Dee Eskridge,eskridge,0.5,1,5000,SEA@SF,SEA,SF,,,,,,WR/FLEX,ryland,ryland,dee,eskridge5000wrd
etienne5800rbt,68.77,T. Etienne Jr.,5800,JAX,IND,,,8.2,10.7,5.7,-0.48,1.4,1.9,8.68,-3,0.69,0,1,1,0,0.95,0,0,20.5,23.5,0,3,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0.42,5.2,-400,0,0,50,0,0.5,20,4.7,-0.1,-200,0,0,5,0,0.1,19,RB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,etienne,t. etienne jr.,t,etienne5800rbt,80468-89956,RB,t,Travis Etienne Jr.,etienne,7.5,1,5800,IND@JAC,JAC,IND,,,,,,RB/FLEX,ryland,ryland,travis,etienne5800rbt
evans8300wrm,66.23,Mike Evans,8300,TB,@NO,,,12.42,17.3,7.5,-2.63,1.5,7.4,15.05,12,0.97,2.5,1,4,0,0.6,-2.4,56,23,20.5,-2,-2.5,43.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0.65,0.41,0,0,0,15.6,300,0,0,33,0,0,30,15.1,1.7,2300,2.1,0.27,66,0.29,0.16,24,WR,9.14.22,0,0,0,0,7,4,67,28,14.2,0.9,0,0.526,0,0.166,0.368,0.212,52.5,28,0,0,0,0,0,0,0,0,0,0,evans,mike evans,m,evans8300wrm,80468-32384,WR,m,Mike Evans,evans,15.60000038,1,8300,TB@NO,TB,NO,Q,Calf,,,,WR/FLEX,ryland,ryland,mike,evans8300wrm
fant5000ten,71.81,Noah Fant,5000,SEA,@SF,,,4.73,6.4,3.1,-1.51,0.9,1.1,6.24,-6,0.56,0,0,3,0,0.82,-1.4,52,15.8,24.8,-1.7,9,40.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.24,0.18,66,0.73,0.28,3.1,-100,0,0,0,0,0.66,30,6.9,-0.6,-1000,1.26,0.13,57,0.19,0.33,21,TE,9.14.22,0,0,0,0,5,4,40,16,9.8,0.3,0,0.286,0,0.179,0.235,0.182,21.5,11.7,0,0,0,0,0,0,0,0,0,0,fant,noah fant,n,fant5000ten,80468-71705,TE,n,Noah Fant,fant,3.099999905,1,5000,SEA@SF,SEA,SF,,,,,,TE/FLEX,ryland,ryland,noah,fant5000ten
fehoko4900wrs,47.92,Simi Fehoko,4900,DAL,CIN,,,2.83,4.3,1.3,-4.47,0.6,0.1,7.3,17,0.98,0,0,1,0,0.62,-1.4,3,17.3,24.3,-8.7,7,41.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,66,0,0.33,30,5.1,-0.2,-1100,0,1.7,14,0,0.04,21,WR,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fehoko,simi fehoko,s,fehoko4900wrs,80468-89613,WR,s,Simi Fehoko,fehoko,2.200000048,1,4900,CIN@DAL,DAL,CIN,,,,,,WR/FLEX,ryland,ryland,simi,fehoko4900wrs
flacco6400qbj,40.71,Joe Flacco,6400,NYJ,@CLE,,,12.88,21.7,4,-4.74,2,0.5,17.62,-2,0.55,0,1,1,0,0.69,-8.4,33,16.5,23,-1.8,6.5,39.5,36,13,21,169,64,8,8.77,1.5,43,80.5,144,9.5,71.4,9.5,7.1,0,4.5,1,1,1,1.5,0,0.5,0.37,0.16,0.16,80,0.61,0,8.7,200,0,0,50,0.5,0.5,20,10.3,0,400,0.45,0.31,14,0.09,0.04,21,QB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,flacco,joe flacco,j,flacco6400qbj,80468-6714,QB,j,Joe Flacco,flacco,15.35999966,1,6400,NYJ@CLE,NYJ,CLE,,,,,,QB,ryland,ryland,joe,flacco6400qbj
foreman4700rbd,62.12,D'Onta Foreman,4700,CAR,@NYG,,,3.15,4.1,2.2,-2.78,0.7,0.1,5.93,14,0.98,0,0,0,0,0.89,-0.9,25,21.3,22.3,0.5,1,43.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,62,4.3,0.3,0.489,1.41,0.65,0.35,80,0.59,0,3.6,-200,0,0,33,0,0.66,30,7.7,0.2,-1300,0.48,0.31,47,0.19,0.19,21,RB,9.14.22,0.3,0.463,0.695,14,1,1,13,11,13.7,0,0,0.091,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,foreman,d'onta foreman,d,foreman4700rbd,80468-55830,RB,d,D'Onta Foreman,foreman,0.5,1,4700,CAR@NYG,CAR,NYG,,,,,,RB/FLEX,ryland,ryland,d'onta,foreman4700rbd
fournette7800rbl,52.24,Leonard Fournette,7800,TB,@NO,,,14.13,18.3,10,0.47,1.8,16.2,13.66,1,0.86,2.5,0.8,4,0,0.1,-2.3,44,23,20.5,-2,-2.5,43.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,59,4.6,0.6,0.556,3.24,1.76,1.06,0,0,0,6.8,600,0,0,33,0,0.66,30,15.7,4.1,1800,0.78,0.36,66,0.37,0.12,24,RB,9.14.22,0.571,0.593,0.883,13,5,4,32,14,6.7,0.2,0,0.162,0.595,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,fournette,leonard fournette,l,fournette7800rbl,80468-52922,RB,l,Leonard Fournette,fournette,14.69999981,1,7800,TB@NO,TB,NO,Q,Hamstring,,,,RB/FLEX,ryland,ryland,leonard,fournette7800rbl
freiermuth5400tep,69.07,Pat Freiermuth,5400,PIT,NE,,,7.35,9.9,4.8,0.18,1.4,2.6,7.17,1,0.91,5,1,4,0,0.82,-1.6,42,18.8,21.8,-1.7,3,40.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.53,0.35,77,0.63,0,6.8,100,0,0,66,0.33,0.33,30,8.2,1.8,-600,1.69,0.2,82,0.39,0.08,23,TE,9.14.22,0,0,0,0,4,3,29,12,80,0.4,0,0.35,0,0.126,0.318,0.124,16.3,9.5,0,0,0,0,0,0,0,0,0,0,freiermuth,pat freiermuth,p,freiermuth5400tep,80468-86244,TE,p,Pat Freiermuth,freiermuth,10,1,5400,NE@PIT,PIT,NE,,,,,,TE/FLEX,ryland,ryland,pat,freiermuth5400tep
gage6100wrr,63.61,Russell Gage,6100,TB,@NO,,,8.27,11.6,4.9,-1.77,1.4,2.7,10.04,-3,0.72,0,0,2,0,0.65,-2.4,43,23,20.5,-2,-2.5,43.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.18,0.06,0,0,0,2.3,200,0,0,0,0,0.33,30,10.7,0.8,100,1.54,0.25,52,0.28,0.09,21,WR,9.14.22,0,0,0,0,7,5,59,19,11.7,0.3,0,0.231,0,0.228,0.333,0.261,42.1,28.8,0,0,0,0,0,0,0,0,0,0,gage,russell gage,r,gage6100wrr,80468-52916,WR,r,Russell Gage,gage,2.299999952,1,6100,TB@NO,TB,NO,Q,Hamstring,,,,WR/FLEX,ryland,ryland,russell,gage6100wrr
gesicki5200tem,76.91,Mike Gesicki,5200,MIA,@BAL,,,4.33,5.9,2.7,-2.37,0.8,0.9,6.7,-7,0.53,0,0,4,0,0.82,1,50,20.3,23.8,-0.7,3.5,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.24,0.12,79,0.58,0,2.4,-300,0,0,0,0,1,30,7.2,-0.2,-800,0.93,0.14,61,0.19,0.28,21,TE,9.14.22,0,0,0,0,6,4,48,19,10.7,0.1,0,0.167,0,0.191,0.1,0.209,34.1,21.8,0,0,0,0,0,0,0,0,0,0,gesicki,mike gesicki,m,gesicki5200tem,80468-56265,TE,m,Mike Gesicki,gesicki,0.600000024,1,5200,MIA@BAL,MIA,BAL,,,,,,TE/FLEX,ryland,ryland,mike,gesicki5200tem
gibson7400rba,58.52,Antonio Gibson,7400,WAS,@DET,,,13.24,17.1,9.4,0.57,1.8,9.2,12.67,3,0.91,3.3,1,5,0,0.08,1.2,37,23.8,24.8,1,1,48.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,62,3.9,0.5,0.489,3.35,1.82,1.24,0,0,0,11,600,0,0,66,0.33,0,30,13.2,2.6,1400,0.68,0.36,72,0.48,0.12,25,RB,9.14.22,0.636,0.501,0.702,16,3,2,19,13,7.4,0.2,0,0.16,0.42,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,gibson,antonio gibson,a,gibson7400rba,80468-90933,RB,a,Antonio Gibson,gibson,16.5,1,7400,WAS@DET,WAS,DET,,,,,,RB/FLEX,ryland,ryland,antonio,gibson7400rba
goff6700qbj,68.64,Jared Goff,6700,DET,WAS,,,16.46,26.5,6.4,-1.75,2.5,3.1,18.21,1,0.83,0,0.67,1,0,0.69,1.1,63,24.8,23.8,3,-1,48.5,64,22,33,223,67,6.7,5.79,1.2,34,99.4,218.9,21.7,51.7,20.4,3.6,1.5,7,1,4,5,5.2,0,0.214,3.35,1.24,0.53,0,0,0,16.5,-100,0,0,33,0.33,0,30,13.2,-3.2,700,0.35,0.21,57,0.42,0.19,21,QB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,goff,jared goff,j,goff6700qbj,80468-38435,QB,j,Jared Goff,goff,16.5,1,6700,WAS@DET,DET,WAS,,,,,,QB,ryland,ryland,jared,goff6700qbj
golladay5400wrk,56.66,Kenny Golladay,5400,NYG,CAR,,,6.62,9.5,3.7,-1.82,1.2,1.6,8.44,-3,0.72,0,1,0,0,0.66,-1.4,46,22.3,21.3,0.5,-1,43.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.06,0.06,80,0.59,0,3.2,-200,0,0,0,0,0.33,30,4.8,-2.4,-600,0.97,0.11,35,0.05,0.3,20,WR,9.14.22,0,0,0,0,5,2,34,14,14,0,0,0,0,0.158,0,0.187,26.2,28.7,0,0,0,0,0,0,0,0,0,0,golladay,kenny golladay,k,golladay5400wrk,80468-54244,WR,k,Kenny Golladay,golladay,3.200000048,1,5400,CAR@NYG,NYG,CAR,,,,,,WR/FLEX,ryland,ryland,kenny,golladay5400wrk
goodwin4700wrm,47.52,Marquise Goodwin,4700,SEA,@SF,,,2.17,3.3,1,-4.67,0.5,0.1,6.84,9,0.95,0,0,0,0,0.68,-1.6,28,15.8,24.8,-1.7,9,40.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.11,66,0.73,0.28,2.8,0,0,0,50,0,0.5,20,40,-1.7,-1300,1.4,0.14,50,0.05,0.15,20,WR,9.14.22,0,0,0,0,2,1,20,14,16.8,0.1,0,0,0,0.096,0.091,0.1,15.8,14.8,0,0,0,0,0,0,0,0,0,0,goodwin,marquise goodwin,m,goodwin4700wrm,80468-32243,WR,m,Marquise Goodwin,goodwin,3.200000048,1,4700,SEA@SF,SEA,SF,,,,,,WR/FLEX,ryland,ryland,marquise,goodwin4700wrm
gordon6000rbm,90.47,Melvin Gordon III,6000,DEN,HOU,,,10.82,13.9,7.7,1.65,1.8,1,9.17,30,0.99,0.8,1,7,0,0.98,2,32,27.8,17.8,1.3,-10,45.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,54,4.3,0.5,0.552,2.82,1.41,0.65,87,0.1,0,6.2,-200,0,0,50,0,0,40,10.3,0.5,0,0.67,0.32,72,0.27,0.09,22,RB,9.14.22,0.467,0.479,0.617,12,2,1,13,10,7.8,0.1,0,0.175,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,gordon,melvin gordon iii,m,gordon6000rbm,80468-28900,RB,m,Melvin Gordon III,gordon,6.199999809,1,6000,HOU@DEN,DEN,HOU,,,,,,RB/FLEX,ryland,ryland,melvin,gordon6000rbm
granson4700tek,45.4,Kylen Granson,4700,IND,@JAX,,,4.92,6.9,2.9,-0.62,1,0.8,5.54,1,0.91,2.5,1,1,0,0.03,-2.6,13,23.5,20.5,-1.5,-3,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.18,0.06,75,1,0.42,2.5,300,0,0,33,0,0.66,30,2.2,0,-1300,2.34,0.17,33,0,0.33,21,TE,9.14.22,0,0,0,0,0,0,6,5,9.6,0,0,0,0,0.032,0,0.032,2.9,1.4,0,0,0,0,0,0,0,0,0,0,granson,kylen granson,k,granson4700tek,80468-71143,TE,k,Kylen Granson,granson,3.700000048,1,4700,IND@JAC,IND,JAC,,,,,,TE/FLEX,ryland,ryland,kylen,granson4700tek
green5400wra,71.75,A.J. Green,5400,ARI,@LV,,,7.23,10.2,4.3,-1.21,1.3,0,8.44,96,0.99,1.3,0,2,0,0.68,-3,55,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.59,0.24,0,0,0,2.3,-300,0,0,0,0,1,10,80,-0.8,-300,1.4,0.15,66,0.33,0.22,18,WR,9.14.22,0,0,0,0,5,3,54,27,15.8,0.2,0,0.125,0,0.168,0.136,0.203,0,0,0,0,0,0,0,0,0,0,0,0,green,a.j. green,a,green5400wra,80468-14187,WR,a,A.J. Green,green,2.299999952,1,5400,ARI@LV,ARI,LV,,,,,,WR/FLEX,ryland,ryland,a.j.,green5400wra
hall5900rbb,50.55,Breece Hall,5900,NYJ,@CLE,,,7.83,10.2,5.5,-1.1,1.3,1.5,8.93,-5,0.62,0,0.5,1,0,0.3,-1.1,0,16.5,23,-1.8,6.5,39.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.61,0,4.2,-500,0,0,50,0,0.5,20,3.3,-1,-100,0,0,33,0,0.66,30,RB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,hall,breece hall,b,hall5900rbb,80468-103064,RB,b,Breece Hall,hall,7.099999905,1,5900,NYJ@CLE,NYJ,CLE,,,,,,RB/FLEX,ryland,ryland,breece,hall5900rbb
harris6000rbd,76.63,Damien Harris,6000,NE,@PIT,,,10.16,13.2,7.1,0.99,1.7,2.4,9.17,2,0.89,0.8,1,2,0,0.89,-0.2,26,21.8,18.8,-0.2,-3,40.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,59,4.6,1.1,0.542,2.71,1.76,1,77,0.63,0,4.3,-300,0,0,33,0,0.33,30,12,1.6,0,0.85,0.46,69,0.3,0.13,23,RB,9.14.22,0.682,0.471,0.536,12,1,1,8,6,7.2,0,0,0.295,0.682,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,harris,damien harris,d,harris6000rbd,80468-64576,RB,d,Damien Harris,harris,6.800000191,1,6000,NE@PIT,NE,PIT,,,,,,RB/FLEX,ryland,ryland,damien,harris6000rbd
harris7200rbn,61.84,Najee Harris,7200,PIT,NE,,,11.25,14.5,8,-0.92,1.6,9,12.17,-2,0.73,0,1,6,0,0.14,1.6,56,18.8,21.8,-1.7,3,40.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,72,4,0.4,0.502,2.41,1.12,0.76,77,0.63,0,6.6,-1000,0,0,0,0,0.66,30,14.4,0,1200,0.6,0.26,63,0.27,0.27,22,RB,9.14.22,0.7,0.766,0.815,18,5,4,28,12,6.3,0.2,0,0.222,0.556,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,harris,najee harris,n,harris7200rbn,80468-90575,RB,n,Najee Harris,harris,9.600000381,1,7200,NE@PIT,PIT,NE,,,,,,RB/FLEX,ryland,ryland,najee,harris7200rbn
henderson6200rbd,75.1,D. Henderson Jr.,6200,LA,ATL,,,12.87,16.6,9.2,3.2,2.1,23.8,9.67,-11,0.44,10,1,7,0,0.89,-1.6,41,28.3,18.3,-2.2,-10,46.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,56,4.6,0.4,0.564,1.72,0.83,0.44,0,0,0,9.8,800,0,0,33,0.33,0,30,11.4,0.5,200,0.73,0.28,33,0.29,0.25,24,RB,9.14.22,0.571,0.524,0.795,12,3,2,14,10,5.7,0.3,0,0.182,0.682,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,henderson,d. henderson jr.,d,henderson6200rbd,80468-70157,RB,d,Darrell Henderson Jr.,henderson,9.800000191,1,6200,ATL@LAR,LAR,ATL,,,,,,RB/FLEX,ryland,ryland,darrell,henderson6200rbd
henry5100teh,79.85,Hunter Henry,5100,NE,@PIT,,,6.13,8.4,3.8,-0.34,1.2,2.2,6.47,-3,0.68,0,0,4,0,0.75,-1.1,43,21.8,18.8,-0.2,-3,40.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0.59,0.35,77,0.63,0,3.2,-300,0,0,0,0,0.66,30,7.8,0.5,-900,1.73,0.18,65,0.21,0.17,23,TE,9.14.22,0,0,0,0,4,2,35,18,12.2,0.6,0,0.474,0,0.149,0.391,0.15,31.1,18,0,0,0,0,0,0,0,0,0,0,henry,hunter henry,h,henry5100teh,80468-40845,TE,h,Hunter Henry,henry,3,1,5100,NE@PIT,NE,PIT,,,,,,TE/FLEX,ryland,ryland,hunter,henry5100teh
higbee5300tet,84.13,Tyler Higbee,5300,LA,ATL,,,7.63,10.2,5.1,0.69,1.4,11.3,6.94,-3,0.68,10,1,6,0,0.81,-0.5,59,28.3,18.3,-2.2,-10,46.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.5,0.22,0,0,0,6.4,0,0,0,33,0,0,30,7.3,-0.1,-700,1.29,0.12,66,0.12,0.12,24,TE,9.14.22,0,0,0,0,5,4,35,14,8.8,0.4,0,0.25,0,0.153,0.152,0.122,17.9,9.4,0,0,0,0,0,0,0,0,0,0,higbee,tyler higbee,t,higbee5300tet,80468-47870,TE,t,Tyler Higbee,higbee,6.400000095,1,5300,ATL@LAR,LAR,ATL,,,,,,TE/FLEX,ryland,ryland,tyler,higbee5300tet
higgins7000wrt,71.9,Tee Higgins,7000,CIN,@DAL,,,10.84,15,6.7,-1.25,1.5,7.7,12.09,2,0.87,1.3,1,2,0,0.68,-2.8,50,24.3,17.3,0.3,-7,41.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.35,0.18,0,0,0,3.7,0,0,0,0,0,0.33,30,11.8,0.5,1000,1.46,0.24,52,0.3,0.21,23,WR,9.14.22,0,0,0,0,8,5,79,25,14.8,0.4,0,0.273,0,0.242,0.179,0.265,60.2,36.3,0,0,0,0,0,0,0,0,0,0,higgins,tee higgins,t,higgins7000wrt,80468-89981,WR,t,Tee Higgins,higgins,3.700000048,1,7000,CIN@DAL,CIN,DAL,Q,Concussion,,,,WR/FLEX,ryland,ryland,tee,higgins7000wrt
hill6200tet,55.21,Taysom Hill,6200,NO,TB,,,3.52,5.1,2,-5.52,0.6,0.5,9.04,1,0.91,0,0,2,0,0.13,0,37,20.5,23,-1.5,2.5,43.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0.47,0.12,0,0,0,8.2,0,0,0,33,0.33,0.33,30,11.8,-1.8,200,0.48,0.32,42,0.23,0.23,21,TE,9.14.22,0,0,0,0,0,0,4,3,13,0,0,0,0,0.02,0,0.022,0.8,2.1,0,0,0,0,0,0,0,0,0,0,hill,taysom hill,t,hill6200tet,80468-45565,TE,t,Taysom Hill,hill,14.80000019,1,6200,TB@NO,NO,TB,,,,,,TE/FLEX,ryland,ryland,taysom,hill6200tet
hill8000wrt,74.17,Tyreek Hill,8000,MIA,@BAL,,,13.63,18.6,8.6,-0.74,1.7,12.9,14.37,0,0.82,5,1,5,0,0.72,1.7,51,20.3,23.8,-0.7,3.5,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0.59,0.35,79,0.58,0,10.7,300,0,0,66,0,0,30,14.3,-0.5,2000,1.51,0.28,50,0.25,0.41,24,WR,9.14.22,0,0,0,0,9,6,65,20,10.4,0.5,0,0.292,0,0.238,0.235,0.227,44.8,34.2,0,0,0,0,0,0,0,0,0,0,hill,tyreek hill,t,hill8000wrt,80468-53681,WR,t,Tyreek Hill,hill,14,1,8000,MIA@BAL,MIA,BAL,,,,,,WR/FLEX,ryland,ryland,tyreek,hill8000wrt
hines5500rbn,68.3,Nyheim Hines,5500,IND,@JAX,,,8.3,10.9,5.7,0.37,1.5,1.2,7.93,3,0.91,0,0,3,0,0.95,-1.6,19,23.5,20.5,-1.5,-3,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5.1,0.1,0.447,0.59,0.18,0,75,1,0.42,8.4,100,0,0,33,0,0,30,60,-1.1,-500,1,0.31,47,0.14,0.42,21,RB,9.14.22,0.091,0.1,0.447,2,3,2,16,9,7.7,0.1,0,0.2,0.6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,hines,nyheim hines,n,hines5500rbn,80468-63625,RB,n,Nyheim Hines,hines,8.399999619,1,5500,IND@JAC,IND,JAC,,,,,,RB/FLEX,ryland,ryland,nyheim,hines5500rbn
hockenson5700tet,83.05,T.J. Hockenson,5700,DET,WAS,,,8.26,11.1,5.4,0.39,1.4,12.1,7.87,-2,0.73,2.5,1,6,0,0.82,2.4,52,24.8,23.8,3,-1,48.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.18,0,0,0,0,3.9,0,0,0,33,0,0.33,30,90,0.3,-300,1.36,0.17,47,0.19,0.14,21,TE,9.14.22,0,0,0,0,6,4,44,18,9.2,0.3,0,0.375,0,0.212,0.3,0.208,29.8,25.6,0,0,0,0,0,0,0,0,0,0,hockenson,t.j. hockenson,t,hockenson5700tet,80468-71706,TE,t,T.J. Hockenson,hockenson,5.800000191,1,5700,WAS@DET,DET,WAS,,,,,,TE/FLEX,ryland,ryland,t.j.,hockenson5700tet
hollins4800wrm,49.67,Mack Hollins,4800,LV,ARI,,,4.82,7.2,2.5,-2.25,1,0.4,7.07,9,0.95,0,0,1,0,0.13,0.5,20,28.5,23,1.7,-5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.29,0.24,0,0,0,2.1,200,0,0,33,0,0,30,6.9,0.2,-1200,3.96,0.35,42,0.21,0,19,WR,9.14.22,0,0,0,0,1,0,13,9,15.9,0.3,0,0.375,0,0.049,0.2,0.06,16.6,11.1,0,0,0,0,0,0,0,0,0,0,hollins,mack hollins,m,hollins4800wrm,80468-25267,WR,m,Mack Hollins,hollins,2.099999905,1,4800,ARI@LV,LV,ARI,,,,,,WR/FLEX,ryland,ryland,mack,hollins4800wrm
homer5400rbt,27.69,Travis Homer,5400,SEA,@SF,,,2.06,2.8,1.3,-5.62,0.4,0.1,7.68,8,0.97,0,0,1,0,0.4,-4.3,13,15.8,24.8,-1.7,9,40.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,8.4,0.1,0.571,0.33,0.17,0.06,66,0.73,0.28,1,700,0,0,0,0,1,30,3.9,-1.3,-600,1.25,0.3,50,0.09,0.31,22,RB,9.14.22,0.071,0.11,0.385,1,1,1,12,9,10.1,0,0,0,0.667,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,homer,travis homer,t,homer5400rbt,80468-71444,RB,t,Travis Homer,homer,0.200000003,1,5400,SEA@SF,SEA,SF,,,,,,RB/FLEX,ryland,ryland,travis,homer5400rbt
houston3300,40.61,Houston,3300,HOU,@DEN,,,4.66,9.9,-0.6,0.53,1.4,1.8,4.13,-10,0.13,0,0,1,0,0.3,0.5,0,17.8,27.8,1.8,10,45.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,6.68,0,0,0,0,0,0,0,0,0,87,0.1,0,11,0,0,0,100,0.66,0,30,60,0.2,-2700,0,0,80,0.47,0.19,21,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.2,0.5587,0.4802,0.0151,0.051,8.12,11.06,5.56,3.79,0.226,houston,houston,h,houston3300,80468-12556,D,h,Houston Texans,texans,7,1,3300,HOU@DEN,HOU,DEN,,,,,,DEF,Texans,Texans,houston,houston3300
houston5400wrd,33.49,Dennis Houston,5400,DAL,CIN,,,3.92,5.7,2.2,-4.52,0.7,0.1,8.44,25,0.99,0,0,1,0,0,-1.4,0,17.3,24.3,-8.7,7,41.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,900,0,0,33,0,0.33,30,2.8,-1,-600,0,0,25,0,0.5,40,WR,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houston,dennis houston,d,houston5400wrd,80468-170214,WR,d,Dennis Houston,houston,2.599999905,1,5400,CIN@DAL,DAL,CIN,,,,,,WR/FLEX,ryland,ryland,dennis,houston5400wrd
