RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
philadelphia4900,82.15,Philadelphia,4900,PHI,@WAS,,,9.2,15.3,2,0.63,1.9,6.5,9,8.57,0,0.54,0,0,4,0,0.53,0.7,0,22.5,15.5,0.2,-7,38,55,0,0,0,0,0,0,0,0,0,0,0,0,2.26,7.81,0,0,0,0,0,0,0,0,0,48,0.52,0.04,4,1700,0,0,60,0.2,0.4,50,6.2,0.2,-1100,0,0,76,0.38,0.23,26,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.4688,0.4315,0.0142,0.0457,7.09,9.07,4.21,3.27,0.2059,philadelphia,philadelphia,p,philadelphia4900,41460-12545,D,p,Philadelphia Eagles,eagles,6.692307692,13,4900,PHI@WAS,PHI,WAS,,,,,,Eagles,Eagles,philadelphia,philadelphia4900
san francisco4500,84.59,San Francisco,4500,SF,ATL,,,8.6,15.5,1.4,1.31,1.9,10.5,3,7.29,-1,0.39,0,0,5,0,0.82,2.8,0,30.3,19.8,1.5,-10.5,50,61,0,0,0,0,0,0,0,0,0,0,0,0,2.28,10.56,0,0,0,0,0,0,0,0,0,56,0.54,0,7.6,-400,0,0,80,0.6,0.2,50,10.2,4.1,-1500,0,0,83,0.66,0.16,24,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.4369,0.5,0.0122,0.0404,6.24,7.8,4.71,3.17,0.1966,francisco,san francisco,s,san francisco4500,41460-12549,D,s,San Francisco 49ers,49ers,11.61538462,13,4500,ATL@SF,SF,ATL,,,,,,Francisco,Francisco,san francisco,san francisco4500
seattle4700,80.41,Seattle,4700,SEA,@CAR,,,8.1,15.2,1.2,0.17,1.7,3,7,7.93,8,0.78,0,0,1,0,0.8,5.4,0,27.3,21.3,0.3,-6,48.5,82,0,0,0,0,0,0,0,0,0,0,0,0,2.13,5.41,0,0,0,0,0,0,0,0,0,55,0.57,0.01,10.2,600,0,0,100,0.8,0,50,7.6,1.1,-1300,0,0,96,0.4,0.03,27,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4918,0.4808,0.0136,0.04,7.17,8.13,3.87,2.27,0.2231,seattle,seattle,s,seattle4700,41460-12550,D,s,Seattle Seahawks,seahawks,8.538461538,13,4700,SEA@CAR,SEA,CAR,,,,,,Seahawks,Seahawks,seattle,seattle4700
tampa bay3800,78.73,Tampa Bay,3800,TB,@DET,,,8.7,14.4,1.2,3.67,2.3,10.5,15,5.03,-15,0.22,0,0,2,0,0.5,1.5,0,25.8,20.3,0.8,-5.5,46,63,0,0,0,0,0,0,0,0,0,0,0,0,1.59,6.03,0,0,0,0,0,0,0,0,0,0,0,0,10.3,500,0,0,75,0.5,0.25,40,7.1,2.1,-2200,0,0,85,0.5,0.15,20,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4683,0.422,0.0099,0.0451,7.25,10.56,5.79,2.77,0.2012,bay,tampa bay,t,tampa bay3800,41460-12551,D,t,Tampa Bay Buccaneers,buccaneers,7.538461538,13,3800,TB@DET,TB,DET,,,,,,Bay,Bay,tampa bay,tampa bay3800
tennessee4100,62.9,Tennessee,4100,TEN,HOU,,,7,14,1.3,1,1.7,0.5,5,6,1,0.65,0,0,2,0,0.69,0.2,0,26.5,23.5,0.7,-3,50,50,0,0,0,0,0,0,0,0,0,0,0,0,2.51,6.87,0,0,0,0,0,0,0,0,0,48,0.64,0.02,10.5,-600,0,0,100,0.5,0,40,9.1,2.3,-1900,0,0,82,0.56,0.17,23,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4975,0.433,0.0149,0.0384,7.13,7.69,4.31,2.71,0.2276,tennessee,tennessee,t,tennessee4100,41460-12534,D,t,Tennessee Titans,titans,9.384615385,13,4100,HOU@TEN,TEN,HOU,,,,,,Titans,Titans,tennessee,tennessee4100
washington3500,72.64,Washington,3500,WAS,PHI,,,6.6,12.8,0.8,2.53,1.9,10.5,3,4.07,-24,0.06,0,0,2,0,0.81,2.6,0,15.5,22.5,-2.3,7,38,45,0,0,0,0,0,0,0,0,0,0,0,0,3.01,10.44,0,0,0,0,0,0,0,0,0,48,0.52,0.04,11,-500,0,0,100,0.75,0,40,6.8,1.6,-2500,0,0,91,0.47,0.08,23,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.502,0.5143,0.0153,0.0395,7.4,10.33,5.53,2.93,0.2065,washington,washington,w,washington3500,41460-12552,D,w,Washington Redskins,redskins,7,13,3500,PHI@WAS,WAS,PHI,,,,,,Redskins,Redskins,washington,washington3500
allen7000qbk,57.3,Kyle Allen,7000,CAR,SEA,,,16.3,22.8,8.5,1.1,2.3,0.5,14.58,15.2,-2,0.54,1,0.8,1,0,0.39,-0.1,64,21.3,27.3,-0.2,6,48.5,18,21,33,232,62,6.9,5.23,1.4,37,24.7,52.7,17.6,4.2,2.7,9.3,2,5,7,3.2,0.2,0.333,4.67,2.4,1.47,55,0.57,0.01,19.3,-200,0.38,0.26,100,0.75,0,40,12.1,0.9,1000,0.31,0.19,50,0.35,0.3,20,QB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,kyle allen,k,allen7000qbk,41460-53095,QB,k,Kyle Allen,allen,15.23636419,11,7000,SEA@CAR,CAR,SEA,,,,,,ryland,ryland,kyle,allen7000qbk
blough7300qbd,47.8,David Blough,7300,DET,TB,,,15.4,23.5,7.8,-0.39,2.1,0.5,10.3,15.79,0,0.61,1,3.6,1,0,0.16,2.4,73,20.3,25.8,-1.2,5.5,46,37,23,39,242,58,6.2,4.06,1.5,49,9,62.8,23.1,3.8,3.8,8.2,0,0,0,1,0,0,0.85,0.54,0,0,0,0,7.1,1300,0.17,0.1,50,0.25,0.5,40,2.2,0,1300,0.05,0.03,11,0.05,0.61,18,QB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blough,david blough,d,blough7300qbd,41460-52606,QB,d,David Blough,blough,14.25,2,7300,TB@DET,DET,TB,,,,,,ryland,ryland,david,blough7300qbd
brady7600qbt,74.9,Tom Brady,7600,NE,@CIN,,,17.6,26.6,10.2,1.23,2.3,3,12.92,16.37,-4,0.8,0,1.2,1,0,0.39,0.8,71,26.3,15.8,1,-10.5,42,82,23,38,255,61,6.7,6.27,1.6,37,27.3,58.4,8.9,4.2,1.6,4.3,1,1,2,1.6,0.2,0.4,7.25,3.19,1.75,38,0.54,0.03,15.6,-200,0.34,0.21,66,0.33,0.33,60,16.8,-0.1,1600,0.41,0.24,73,0.33,0.13,30,QB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7600qbt,41460-6498,QB,t,Tom Brady,brady,17.35999944,13,7600,NE@CIN,NE,CIN,Q,Elbow,,,,ryland,ryland,tom,brady7600qbt
carr7300qbd,77,Derek Carr,7300,OAK,JAX,,,16.5,27.2,9.4,0.71,2.3,3,15.88,15.79,4,0.83,1,1.2,1,0,0.33,4.9,61,27,20,1.5,-7,47,72,21,31,232,69,7.5,6.65,1.2,32,21.3,43.4,30.1,3.9,1.9,5.5,1,3,4,2.3,0.1,0.25,4.25,2.25,1.19,55,0.55,0,14.4,-100,0.42,0.24,75,0.5,0.25,40,13.2,-1.6,1300,0.38,0.22,73,0.34,0.08,23,QB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7300qbd,41460-45859,QB,d,Derek Carr,carr,14.9953848,13,7300,JAC@OAK,OAK,JAC,,,,,,ryland,ryland,derek,carr7300qbd
