RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
oakland3300,0,Oakland,3300,OAK,@MIN,,,5.9,13.6,0.9,2.47,1.8,0.5,-1,3.43,0,0.49,0,0,2,0,0.83,0.5,0,17.3,25.8,-0.5,8.5,43,39,0,0,0,0,0,0,0,0,0,0,0,0,2.67,2.26,0,0,0,0,0,0,0,0,0,0,0,0,4,-300,0,0,66,0,0.33,30,40,-0.4,-2700,0,0,76,0.19,0.23,21,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5092,0.4777,0.0136,0.0564,8.51,10.75,6.29,4.17,0.2035,oakland,oakland,o,oakland3300,38547-12537:Oakland Raiders,38547-12537,D,o,Oakland Raiders,raiders,3.5,2,3300,OAK@MIN,OAK,MIN,,,,Raiders,Raiders,oakland,oakland3300
philadelphia4500,0,Philadelphia,4500,PHI,DET,,,6.8,15.1,0.8,-0.49,1.5,0.5,2,7.29,0,0.92,0,0,2,0,0.8,-0.1,0,24.5,20.5,-3.5,-4,45,48,0,0,0,0,0,0,0,0,0,0,0,0,1.33,5.47,0,0,0,0,0,0,0,0,0,86,0.45,0,7,-100,0,0,66,0.66,0.33,30,5.7,-0.5,-1500,0,0,84,0.42,0.15,26,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5081,0.4773,0.0088,0.0379,7.34,10.07,4.93,3.58,0.1788,philadelphia,philadelphia,p,philadelphia4500,38547-12545:Philadelphia Eagles,38547-12545,D,p,Philadelphia Eagles,eagles,4,2,4500,DET@PHI,PHI,DET,,,,Eagles,Eagles,philadelphia,philadelphia4500
pittsburgh3500,0,Pittsburgh,3500,PIT,@SF,,,7,12.9,0.6,2.93,2,0.5,11,4.07,0,0.35,0,0,2,0,0.73,-0.4,0,19.3,25.3,1,6,44.5,51,0,0,0,0,0,0,0,0,0,0,0,0,1.23,7.72,0,0,0,0,0,0,0,0,0,81,0.36,0,8.3,0,0,0,66,0.66,0.33,30,8.3,2.4,-2500,0,0,92,0.6,0.08,25,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5053,0.4592,0.0075,0.0426,7.37,7.63,4.07,30,0.2213,pittsburgh,pittsburgh,p,pittsburgh3500,38547-12547:Pittsburgh Steelers,38547-12547,D,p,Pittsburgh Steelers,steelers,3.5,2,3500,PIT@SF,PIT,SF,,,,Steelers,Steelers,pittsburgh,pittsburgh3500
san francisco3700,0,San Francisco,3700,SF,PIT,,,8.5,14.3,1,3.79,2.3,6.5,7,4.71,0,0.34,0,0,3,0,1,2.7,0,25.3,19.3,-0.5,-6,44.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0.38,6.21,0,0,0,0,0,0,0,0,0,81,0.36,0,11.3,0,0,0,75,0.5,0.25,40,5.3,0.4,-2300,0,0,68,0.36,0.32,25,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4727,0.468,0.0021,0.0505,7.29,10.75,5.67,3.43,0.2267,francisco,san francisco,s,san francisco3700,38547-12549:San Francisco 49ers,38547-12549,D,s,San Francisco 49ers,49ers,17,2,3700,PIT@SF,SF,PIT,,,,Francisco,Francisco,san francisco,san francisco3700
seattle3400,0,Seattle,3400,SEA,NO,,,7.4,14.9,1.5,3.65,2.2,18.5,2,3.75,0,0.1,0,0,4,0,0.5,-0.1,0,24.5,19.5,-0.5,-5,44,66,0,0,0,0,0,0,0,0,0,0,0,0,1.25,7.17,0,0,0,0,0,0,0,0,0,64,0.77,0.41,6.3,-1100,0,0,75,0.25,0.25,40,7.3,1.4,-2600,0,0,92,0.4,0.08,25,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5018,0.4688,0.008,0.0401,7.49,8.19,4.46,2.9,0.1832,seattle,seattle,s,seattle3400,38547-12550:Seattle Seahawks,38547-12550,D,s,Seattle Seahawks,seahawks,7.5,2,3400,NO@SEA,SEA,NO,,,,Seahawks,Seahawks,seattle,seattle3400
tampa bay4300,0,Tampa Bay,4300,TB,NYG,,,7.1,13.8,1,0.46,1.7,3,8,6.64,0,0.37,0,0,1,0,0.61,-1.1,0,26.5,21.5,-0.8,-5,48,41,0,0,0,0,0,0,0,0,0,0,0,0,1.73,6.55,0,0,0,0,0,0,0,0,0,87,0.49,0,11,800,0,0,100,0.75,0,40,5.4,0.8,-1700,0,0,81,0.4,0.18,22,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5241,0.4841,0.0094,0.049,7.92,9.25,4.73,30,0.2635,bay,tampa bay,t,tampa bay4300,38547-12551:Tampa Bay Buccaneers,38547-12551,D,t,Tampa Bay Buccaneers,buccaneers,10.5,2,4300,NYG@TB,TB,NYG,,,,Bay,Bay,tampa bay,tampa bay4300
allen6000qbk,0,Kyle Allen,6000,CAR,@ARI,,,16,25.4,8.9,2.77,2.7,3,24.34,13.23,0,0.67,1,6,1,0,0.16,4.4,34,21.8,24.3,-2.2,2.5,46,34,10,15,133,64,8.6,10.2,1,38,22.6,54.8,19.4,6.7,0,0,2,5,9,3.8,0.5,0.6,1.75,1.25,0.25,0,0,0,0,0,0,0,0,0,0.75,40,5.3,1.3,0,0.29,0.16,11,0.11,0.44,90,QB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,kyle allen,k,allen6000qbk,38547-53095:Kyle Allen,38547-53095,QB,k,Kyle Allen,allen,13.27000046,2,6000,CAR@ARI,CAR,ARI,,,,ryland,ryland,kyle,allen6000qbk
allen7500qbj,0,Joshua Allen,7500,BUF,CIN,,,20,29,11,3.82,2.7,10.5,19.32,16.18,0,0.75,0.97,6.3,2,0,0.39,1.3,64,24.5,19,1,-5.5,43.5,51,15,28,188,55,6.7,4.87,0.9,41,16.2,62.5,15.9,3.2,3.6,6.7,7,18,52,6.7,0.8,0.574,3.33,1.27,0.87,81,0.56,0.02,20.1,600,0.46,0.28,50,0.5,0,40,15,2.8,1500,0.39,0.23,52,0.38,0.23,21,QB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,joshua allen,j,allen7500qbj,38547-62239:Josh Allen,38547-62239,QB,j,Josh Allen,allen,20.09000015,2,7500,CIN@BUF,BUF,CIN,,,,ryland,ryland,josh,allen7500qbj
brady7800qbt,0,Tom Brady,7800,NE,NYJ,,,19.1,27.8,12.5,2.33,2.4,6.5,20.14,16.77,0,0.76,0.8,2.8,1,0,0.65,6.9,68,31.8,11.3,-1.2,-20.5,43,70,23,35,278,65,7.9,7.69,1.8,40,29.3,54.8,12.5,5.1,1.7,3.6,1,1,1,1.1,0.2,0.381,6.13,3.19,1.31,83,0.41,0,25.2,500,0.73,0.35,66,0.66,0,30,18.1,0.5,1800,0.48,0.27,76,0.33,0.1,30,QB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7800qbt,38547-6498:Tom Brady,38547-6498,QB,t,Tom Brady,brady,25.14999962,2,7800,NYJ@NE,NE,NYJ,,,,ryland,ryland,tom,brady7800qbt
bridgewater6800qbt,0,Teddy Bridgewater,6800,NO,@SEA,,,12.7,22.1,5.8,-2.1,1.9,0.5,16.28,14.8,0,0.48,0.33,1.4,1,0,0.06,0.5,21,19.5,24.5,0,5,44,34,10,17,94,58,5.3,4.29,0.3,15,15.1,50.9,18.9,1.8,1.8,7.1,2,1,1,0.8,0,0.154,0.56,0.19,0,64,0.77,0.41,3.6,800,0.1,0.06,25,0,0.25,40,0.8,-0.3,800,0.04,0.04,4,0,0.73,23,QB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater6800qbt,38547-33259:Teddy Bridgewater,38547-33259,QB,t,Teddy Bridgewater,bridgewater,7.099999905,1,6800,NO@SEA,NO,SEA,,,,ryland,ryland,teddy,bridgewater6800qbt
brissett6800qbj,0,Jacoby Brissett,6800,IND,ATL,,,17.3,26,7.8,2.5,2.5,3,20.8,14.8,0,0.73,0.8,1.4,1,0,0.39,0.8,25,24.5,23.5,-0.3,-1,48,42,8,11,67,67,5.7,5.83,1,9,16.9,54.2,23.7,9.1,1.8,8.3,2,1,4,1.6,0,0.353,0.69,0.25,0.19,0,0,0,16.9,800,0.48,0.25,50,0.5,0,40,1.7,0.3,800,0.11,0.07,9,0.09,0.72,22,QB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brissett,jacoby brissett,j,brissett6800qbj,38547-30231:Jacoby Brissett,38547-30231,QB,j,Jacoby Brissett,brissett,16.92000008,2,6800,ATL@IND,IND,ATL,,,,ryland,ryland,jacoby,brissett6800qbj
