entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3036657669,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-59261,85900-62445,85900-15280,85900-55375,85900-14178,85900-70199,85900-8655,85900-97069,85900-15339,,85900-142017:Tim Stuetzle,85900-142017,C,Tim,Tim Stuetzle,Stuetzle,16.32500034,36,8300,OTT@ARI,OTT,ARI,,,,,,C/UTIL
3036657670,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41592,85900-70279,85900-171491,85900-66737,85900-135674,85900-66759,85900-70483,85900-84346,85900-97029,,85900-97147:Brady Tkachuk,85900-97147,W,Brady,Brady Tkachuk,Tkachuk,16.77250061,40,8300,OTT@ARI,OTT,ARI,,,,,,W/UTIL
3036657671,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-142017,85900-73940,85900-97147,85900-103032,85900-103523,85900-148101,85900-97152,85900-66693,,85900-83213:Pavel Francouz,85900-83213,G,Pavel,Pavel Francouz,Francouz,15.68000031,10,8300,COL@CHI,COL,CHI,,,,,,G
3036657673,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15287,85900-15360,85900-15280,85900-55375,85900-169056,85900-61246,85900-84409,85900-9266,85900-97232,,85900-73940:Jordan Kyrou,85900-73940,W,Jordan,Jordan Kyrou,Kyrou,16.96923046,39,8200,CGY@STL,STL,CGY,,,,,,W/UTIL
3036657674,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-23041,85900-14151,85900-85470,85900-62195,85900-70199,85900-58332,85900-97147,85900-11301,,85900-8453:Jaroslav Halak,85900-8453,G,Jaroslav,Jaroslav Halak,Halak,9.88571385,14,8200,DAL@NYR,NYR,DAL,,,,,,G
3036657677,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41391,85900-70279,85900-151490,85900-73894,85900-113276,85900-70907,85900-97140,85900-97022,85900-97232,,85900-66683:Mitchell Marner,85900-66683,W,Mitchell,Mitchell Marner,Marner,16.29523868,42,8200,TOR@DET,TOR,DET,,,,,,W/UTIL
3036657678,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-82006,85900-161390,85900-43214,85900-61246,85900-61859,85900-59117,85900-66611,85900-15339,,85900-58926:Brayden Point,85900-58926,C,Brayden,Brayden Point,Point,16.24102627,39,8200,VAN@TB,TB,VAN,,,,,,C/UTIL
3036657679,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-142017,85900-42833,85900-66737,85900-70199,85900-79924,85900-59120,85900-84346,85900-9278,,85900-104015:Igor Shesterkin,85900-104015,G,Igor,Igor Shesterkin,Shesterkin,18.3030303,33,8200,DAL@NYR,NYR,DAL,,,,,,G
3036657680,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-73946,85900-21523,85900-66617,85900-103523,85900-80398,85900-70483,85900-70513,85900-66693,,85900-12439:Jeff Skinner,85900-12439,W,Jeff,Jeff Skinner,Skinner,16.5,36,8100,WPG@BUF,BUF,WPG,,,,,,W/UTIL
3036657681,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-65970,85900-66622,85900-74155,85900-101277,85900-169056,85900-85470,85900-97147,85900-11301,,85900-149700:Pyotr Kochetkov,85900-149700,G,Pyotr,Pyotr Kochetkov,Kochetkov,18,18,8100,CAR@CBJ,CAR,CBJ,,,,,,G
