,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,buzz,sr,leverage,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
baltimore5000,62.27,Baltimore,5000,BAL,@WAS,,,8.2,16.8,-0.4,-0.69,1.6,18.5,8.89,6,0,0,0,0.72,3,0,0.62,2.4,0,29.8,15.3,-0.2,-14.5,45,77,0,0,0,0,0,0,0,0,0,0,0,0,2.3,6.53,0,0,0,0,0,0,0,0,0,66,0.47,0.01,12.3,200,0,0,100,1,0,30,11.1,2.6,200,0,0,95,0.75,0.05,20,DEF,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.453,0.4572,0.0141,0.0348,6.07,7.86,3.92,30,0.1636,baltimore,baltimore,b,baltimore5000,50456-12555:Baltimore Ravens,50456-12555,D,b,Baltimore Ravens,ravens,12.33333333,3,5000,BAL@WAS,BAL,WAS,,,,Ravens,Ravens,baltimore,baltimore5000
beasley5100wrc,86.25,Cole Beasley,5100,BUF,@LV,,,7.95,11.2,4.7,2.39,1.6,0.5,5.56,10.7,-7,0.7,1,0.65,5,0,0.94,0,48,28,25,1.7,-3,53,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.53,0.27,0,0,0,10.1,-300,1.51,0.23,100,0.33,0,30,9.3,2.3,-300,1.46,0.19,84,0.36,0.15,19,WR,420,0,0,0,0,6,4,54,19,13.1,0.4,7.5,0.417,0,0.212,0.214,0.234,0,0,0,0,0,0,0,0,0,0,beasley,cole beasley,c,beasley5100wrc,50456-22288:Cole Beasley,50456-22288,WR,c,Cole Beasley,beasley,10.09999975,3,5100,BUF@LV,BUF,LV,,,,ryland,ryland,cole,beasley5100wrc
beckham6600wro,94.5,Odell Beckham,6600,CLE,@DAL,,,12.22,17,7.5,3.24,1.9,10.5,8.98,35.9,3,5.9,1,0.89,5,0,0.59,2.8,59,26.5,30,0.7,3.5,56.5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.33,0.33,0,0,0,9,-300,1.23,0.19,66,0.33,0.33,30,9.2,-1.3,-300,1.01,0.16,64,0.17,0.35,17,WR,420,0,0,0,0,7,4,58,27,13.8,0.3,80,0.154,0,0.257,0.174,0.27,0,0,0,0,0,0,0,0,0,0,beckham,odell beckham,o,beckham6600wro,50456-31360:Odell Beckham Jr.,50456-31360,WR,o,Odell Beckham Jr.,beckham,9,3,6600,CLE@DAL,CLE,DAL,Q,Back,,ryland,ryland,odell,beckham6600wro
beebe4500wrc,51.6,Chad Beebe,4500,MIN,@HOU,,,3.06,4.5,1.6,-1.13,0.7,0.5,4.19,0,-43,0,0,0.16,1,0,0.35,-1.5,22,24.5,28,0.5,3.5,52.5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.2,0.05,0,0,0,30,1.2,0,0,1.2,0.05,0,0,0,17,WR,420,0,0,0,0,1,1,7,7,70,0,0,0,0,0.04,0,0.028,0,0,0,0,0,0,0,0,0,0,beebe,chad beebe,c,beebe4500wrc,50456-43912:Chad Beebe,50456-43912,WR,c,Chad Beebe,beebe,1.200000048,1,4500,MIN@HOU,MIN,HOU,,,,ryland,ryland,chad,beebe4500wrc
bernard4800rbg,71.6,Giovani Bernard,4800,CIN,JAX,,,5.94,8.3,3.5,0.26,1.2,0.5,5.68,1.9,-10,0.2,1,0.5,5,0,0.94,1.5,27,25.5,24.5,1.5,-1,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3.8,0,0.395,1.27,0.4,0.13,63,0.59,0.28,5.4,-100,0.95,0.21,100,0.25,0,40,3.7,-2.1,-100,0.68,0.14,81,0.06,0.12,16,RB,420,0,0.093,0.385,2,2,2,17,11,7.9,0,4.9,0,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,bernard,giovani bernard,g,bernard4800rbg,50456-25290:Giovani Bernard,50456-25290,RB,g,Giovani Bernard,bernard,5.599999746,3,4800,JAC@CIN,CIN,JAC,,,,ryland,ryland,giovani,bernard4800rbg
board4500wrc,54.6,CJ Board,4500,NYG,@LA,,,3.35,4.9,1.8,-0.84,0.7,0.5,4.19,0.3,-38,0,0,0.21,0,0,0.35,1.5,13,18.3,31.8,0,13.5,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,2.9,0,1.26,0.16,75,0,0,40,10,-0.4,0,0.63,0.08,31,0,0.5,16,WR,420,0,0,0,0,1,1,12,8,11.1,0,3.9,0,0,0.045,0,0.051,0,0,0,0,0,0,0,0,0,0,board,cj board,c,board4500wrc,50456-80281:C.J. Board,50456-80281,WR,c,C.J. Board,board,2.933333397,3,4500,NYG@LAR,NYG,LAR,,,,ryland,ryland,c.j.,board4500wrc
bonnafon4600rbr,52.05,Reggie Bonnafon,4600,CAR,ARI,,,3.07,4.2,2,-2.11,0.7,0.5,5.18,14.1,-32,0,0,0.11,2,0,0.66,0.2,6,24.8,27.8,1.3,3,52.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,7.9,0.1,0.438,0.07,0,0,67,0.47,0,1.6,0,0.8,0.8,25,0,0,40,2.1,-0.4,-200,0.84,0.35,31,0.06,0.37,16,RB,420,0.091,0.117,0.096,1,0,0,5,4,9.5,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bonnafon,reggie bonnafon,r,bonnafon4600rbr,50456-55224:Reggie Bonnafon,50456-55224,RB,r,Reggie Bonnafon,bonnafon,1.600000024,1,4600,ARI@CAR,CAR,ARI,,,,ryland,ryland,reggie,bonnafon4600rbr
booker4800rbd,53.65,Devontae Booker,4800,LV,BUF,,,3.6,5.2,2,-2.08,0.8,0.5,5.68,0,-25,0,0,0.2,2,0,0.61,-0.5,4,25,28,1.7,3,53,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5.7,0,0.5,0.4,0.07,0,0,0,0,3,200,0.63,0.42,50,0.25,0.5,40,1.3,-0.8,200,0.54,0.33,31,0.06,0.68,16,RB,420,0,0.063,0.077,1,1,1,8,7,8.6,0,5.1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,booker,devontae booker,d,booker4800rbd,50456-39580:Devontae Booker,50456-39580,RB,d,Devontae Booker,booker,3.600000064,3,4800,BUF@LV,LV,BUF,,,,ryland,ryland,devontae,booker4800rbd
boyd6000wrt,94.45,Tyler Boyd,6000,CIN,JAX,,,11.21,15.3,7.1,3.6,1.9,6.5,7.61,12.9,-4,4.4,1,0.72,4,0,0.98,-0.5,63,25.5,24.5,1.5,-1,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.4,0.33,63,0.59,0.28,13.2,-100,1.52,0.21,100,0.66,0,30,11.7,3.6,-100,1.27,0.19,80,0.46,0.2,15,WR,420,0,0,0,0,9,5,66,21,11.8,0.4,6.6,0.308,0,0.238,0.333,0.268,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd6000wrt,50456-40669:Tyler Boyd,50456-40669,WR,t,Tyler Boyd,boyd,13.16666667,3,6000,JAC@CIN,CIN,JAC,,,,ryland,ryland,tyler,boyd6000wrt
boykin4700wrm,80.25,Miles Boykin,4700,BAL,@WAS,,,6.3,9,3.6,1.66,1.3,0.5,4.64,3.8,-18,0,0,0.46,1,0,0.61,0,31,29.8,15.3,-0.2,-14.5,45,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.13,0.07,66,0.47,0.01,4.1,-200,1.12,0.09,100,0,0,30,2.8,-1.6,-200,1.7,0.09,58,0.23,0.41,17,WR,420,0,0,0,0,1,1,15,11,14.6,0.1,6.4,0.25,0,0.069,0.032,0.084,0,0,0,0,0,0,0,0,0,0,boykin,miles boykin,m,boykin4700wrm,50456-64827:Miles Boykin,50456-64827,WR,m,Miles Boykin,boykin,4.100000064,3,4700,BAL@WAS,BAL,WAS,,,,ryland,ryland,miles,boykin4700wrm
boyle4300ten,70.9,Nick Boyle,4300,BAL,@WAS,,,3.19,4.7,1.7,-0.11,0.7,0.5,3.3,1.4,-15,0,0,0.32,2,0,0.57,2.4,48,29.8,15.3,-0.2,-14.5,45,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.4,0.4,66,0.47,0.01,3.3,-300,1.98,0.09,100,0.33,0,30,30,-1.5,-300,1.26,0.06,55,0.22,0.38,18,TE,420,0,0,0,0,2,1,15,9,90,0.2,6.5,0.429,0,0.099,0.097,0.084,0,0,0,0,0,0,0,0,0,0,boyle,nick boyle,n,boyle4300ten,50456-62510:Nick Boyle,50456-62510,TE,n,Nick Boyle,boyle,3.299999873,3,4300,BAL@WAS,BAL,WAS,,,,ryland,ryland,nick,boyle4300ten
brady7300qbt,91.05,Tom Brady,7300,TB,LAC,,,18.26,31.2,5.3,2.47,2.5,3,15.79,33.46,-2,0.7,0,0.6,1,0,0.72,3.2,70,25,17.5,-1,-7.5,42.5,70,23,38,249,61,6.5,5.88,1.5,37,26.2,55.8,12.7,3.9,1.8,4.8,1,2,3,1.6,0.2,0.357,7.6,3.4,1.93,76,0.86,0.52,19.6,-300,0.48,0.3,100,0.75,0,40,16.2,-1,-300,0.38,0.23,83,0.37,0.16,24,QB,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7300qbt,50456-6498:Tom Brady,50456-6498,QB,t,Tom Brady,brady,18.67333349,3,7300,LAC@TB,TB,LAC,,,,ryland,ryland,tom,brady7300qbt
brees7700qbd,82.4,Drew Brees,7700,NO,@DET,,,17.9,30.6,5.2,1.33,2.3,0.5,16.57,16.54,3,2,0.75,0.91,1,0,0.31,5.3,63,27.3,24.3,-2,-3,51.5,68,26,36,277,73,7.7,8.27,2.6,39,29.3,49.5,18.7,7.2,0.8,3.2,0,0,0,-0.4,0.1,0.182,5.47,2.33,1.27,0,0,0,17.8,-400,0.49,0.29,100,0.33,0,30,17.1,20,-400,0.45,0.27,61,0.5,0.38,18,QB,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brees,drew brees,d,brees7700qbd,50456-6504:Drew Brees,50456-6504,QB,d,Drew Brees,brees,17.80000051,3,7700,NO@DET,NO,DET,,,,ryland,ryland,drew,brees7700qbd
breida4800rbm,54.65,Matt Breida,4800,MIA,SEA,,,3.77,5.5,2.1,-1.91,0.8,0.5,5.68,6.3,-24,0,0,0.22,2,0,0.61,-3.1,18,25.3,29.8,1.5,4.5,55,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,4.7,0.1,0.402,0.63,0.19,0.13,86,0.72,0.07,2.3,-400,0.41,0.18,33,0,0.66,30,5.2,-1.2,-400,0.54,0.29,42,0.19,0.57,21,RB,420,0.056,0.276,0.266,8,1,1,7,5,5.4,0.1,50,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,breida,matt breida,m,breida4800rbm,50456-53303:Matt Breida,50456-53303,RB,m,Matt Breida,breida,2.333333333,3,4800,SEA@MIA,MIA,SEA,,,,ryland,ryland,matt,breida4800rbm
bridgewater6800qbt,96.7,Teddy Bridgewater,6800,CAR,ARI,,,18.78,29.8,7.8,3.98,2.8,0.5,14.8,27.24,1,1.3,1,0.84,1,0,0.72,1.1,46,24.8,27.8,1.3,3,52.5,22,21,30,245,70,8.1,7.59,1.3,40,28.2,56.8,11.3,4.3,1.3,6,2,3,4,1.7,0,0.308,3,1.13,0.27,67,0.47,0,14.9,0,0.38,0.24,100,0.66,0,30,6.6,0.8,0,0.19,0.14,37,0.25,0.62,16,QB,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater6800qbt,50456-33259:Teddy Bridgewater,50456-33259,QB,t,Teddy Bridgewater,bridgewater,14.8799998,3,6800,ARI@CAR,CAR,ARI,,,,ryland,ryland,teddy,bridgewater6800qbt
brown5300rbm,76.75,Malcolm Brown,5300,LA,NYG,,,7.74,10.3,5.2,0.81,1.5,0.5,6.93,8.1,-6,0,0,0.61,7,0,0.66,3,20,31.8,18.3,1.5,-13.5,50,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,3.6,0.4,0.481,1.07,0.79,0.64,0,0,0,10.4,300,0.74,0.27,66,0.33,0.33,30,4.6,-0.5,300,0.63,0.23,50,0.28,0.5,14,RB,420,0.313,0.213,0.307,6,0,0,3,2,9.3,0,0.7,0.357,0.643,0,0,0,0,0,0,0,0,0,0,0,0,0,brown,malcolm brown,m,brown5300rbm,50456-32234:Malcolm Brown,50456-32234,RB,m,Malcolm Brown,brown,10.36666679,3,5300,NYG@LAR,LAR,NYG,,,,ryland,ryland,malcolm,brown5300rbm
brown6100wrj,79.8,John Brown,6100,BUF,@LV,,,9.27,13.2,5.4,1.43,1.5,3,7.84,6.2,-10,0.2,1,0.6,6,0,0.54,0,59,28,25,1.7,-3,53,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.33,0.13,0,0,0,16.1,0,2.68,0.29,66,0.66,0,30,11.7,3.4,0,1.44,0.2,77,0.38,0.16,18,WR,420,0,0,0,0,7,4,64,26,15.2,0.5,9.6,0.25,0,0.236,0.25,0.276,0,0,0,0,0,0,0,0,0,0,brown,john brown,j,brown6100wrj,50456-54606:John Brown,50456-54606,WR,j,John Brown,brown,10.73333359,3,6100,BUF@LV,BUF,LV,Q,Calf,,ryland,ryland,john,brown6100wrj
brown6300wrm,84.8,Marquise Brown,6300,BAL,@WAS,,,10.19,14.5,5.9,1.9,1.6,10.5,8.29,10.6,-13,2.4,0.67,0.55,2,0,0.98,0,39,29.8,15.3,-0.2,-14.5,45,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.27,0,66,0.47,0.01,8.6,500,1.43,0.21,75,0.5,0.25,40,8.1,1.9,400,1.91,0.21,57,0.47,0.42,19,WR,420,0,0,0,0,4,3,33,18,10.9,0.4,70,0.4,0,0.175,0.161,0.182,0,0,0,0,0,0,0,0,0,0,brown,marquise brown,m,brown6300wrm,50456-86687:Marquise Brown,50456-86687,WR,m,Marquise Brown,brown,7.200000127,3,6300,BAL@WAS,BAL,WAS,,,,ryland,ryland,marquise,brown6300wrm
bryant4400teh,72.9,Harrison Bryant,4400,CLE,@DAL,,,3.59,5.2,1.9,0.05,0.8,0.5,3.54,5.7,-12,0,0,0.4,1,0,0.16,0.5,33,26.5,30,0.7,3.5,56.5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,3.2,400,1.62,0.1,66,0.33,0.33,30,3.2,10,400,1.62,0.1,66,0.33,0.33,30,TE,420,0,0,0,0,2,1,7,7,7.3,0.3,0,1,0,0.077,0.2,0.039,0,0,0,0,0,0,0,0,0,0,bryant,harrison bryant,h,bryant4400teh,50456-70601:Harrison Bryant,50456-70601,TE,h,Harrison Bryant,bryant,3.23333327,3,4400,CLE@DAL,CLE,DAL,,,,ryland,ryland,harrison,bryant4400teh
buffalo4400,24.38,Buffalo,4400,BUF,@LV,,,5.7,12.4,0,-1.26,1.3,0.5,6.96,6,0,0,0,0.72,1,0,0.78,-2,0,28,25,1.7,-3,53,66,0,0,0,0,0,0,0,0,0,0,0,0,2.17,8.89,0,0,0,0,0,0,0,0,0,0,0,0,5,-300,0,0,100,0.33,0,30,8.7,0.1,-300,0,0,100,0.63,0,19,DEF,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4743,0.496,0.0126,0.0341,6.84,9.79,5.29,4.27,0.1898,buffalo,buffalo,b,buffalo4400,50456-12526:Buffalo Bills,50456-12526,D,b,Buffalo Bills,bills,5,3,4400,BUF@LV,BUF,LV,,,,Bills,Bills,buffalo,buffalo4400
burrow7400qbj,97.85,Joe Burrow,7400,CIN,JAX,,,20.92,31.3,10.5,4.94,2.8,3,15.98,16.1,1,7.8,1,0.84,2,0,0.73,5.3,77,25.5,24.5,1.5,-1,50,55,30,47,273,64,5.8,5,1.7,28,17,63.1,16.3,3.6,0.6,9.1,5,9,21,4,0.3,0.688,7,3.5,1.5,63,0.59,0.28,20.7,800,0.36,0.27,100,1,0,30,20.7,5.7,800,0.36,0.27,100,1,0,30,QB,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow7400qbj,50456-63336:Joe Burrow,50456-63336,QB,j,Joe Burrow,burrow,20.74666723,3,7400,JAC@CIN,CIN,JAC,,,,ryland,ryland,joe,burrow7400qbj
carolina3600,27.21,Carolina,3600,CAR,ARI,,,5.5,11.1,-0.1,1.11,1.5,3,4.39,3,-3,0,0,0.51,1,0,0.68,-1.2,0,24.8,27.8,1.3,3,52.5,22,0,0,0,0,0,0,0,0,0,0,0,0,2.32,7.16,0,0,0,0,0,0,0,0,0,67,0.47,0,4.3,200,0,0,66,0.33,0.33,30,4.7,-0.7,200,0,0,73,0.26,0.26,15,DEF,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5164,0.5362,0.013,0.058,7.84,10.33,4.53,2.83,0.2774,carolina,carolina,c,carolina3600,50456-12553:Carolina Panthers,50456-12553,D,c,Carolina Panthers,panthers,4.333333333,3,3600,ARI@CAR,CAR,ARI,,,,Panthers,Panthers,carolina,carolina3600
