,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
brate5200tec,10.4,Cameron Brate,5200,TB,@TEN,,,5.8,11.6,0.3,0.4,1.1,3,4.7,5.4,-5,0.74,1,0.7,3,0,0.03,1.6,31,21.8,23.8,-0.2,2,45.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.31,0.13,62,0.73,0.02,8.1,700,3.05,0.41,100,0.66,0,30,4.6,0,-800,1.65,0.15,66,0.19,0.14,21,TE,8,0,0,0,0,2,2,19,12,9.6,0.3,5.9,0.417,0,0.081,0.156,0.063,0,0,0,0,0,0,0,0,0,0,brate,cameron brate,c,brate5200tec,39577-54782,TE,c,Cameron Brate,brate,4.98333327,6,5200,TB@TEN,TB,TEN,,,,,,ryland,ryland,cameron,brate5200tec
brees7200qbd,0,Drew Brees,7200,NO,ARI,,,18.7,27.2,11.9,3.11,2.6,10.5,25.92,15.59,-7,0.54,0.8,3.8,1,0,0.7,6.2,58,30,17.5,0,-12.5,47.5,45,20,28,230,72,8,8.19,1.9,34,33.4,66.6,18.3,6.8,2.1,2.8,1,1,1,0.8,0.2,0.353,4.06,1.76,1.24,0,0,0,0,1200,0,0,0,0,1,40,12,-1.5,1200,0.39,0.21,39,0.17,0.46,28,QB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brees,drew brees,d,brees7200qbd,39577-6504,QB,d,Drew Brees,brees,11.15999985,2,7200,ARI@NO,NO,ARI,Q,Thumb,,,,ryland,ryland,drew,brees7200qbd
breida5300rbm,0,Matt Breida,5300,SF,CAR,,,8.6,15.7,2.7,1.67,1.6,3,5.5,6.93,-17,0.68,0,0.6,6,0,0.92,-1.1,27,22.8,18.3,-1.2,-4.5,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,4.9,0.2,0.468,1,0.4,0.33,69,0.09,0.01,16.3,-900,1.22,0.71,100,0.5,0,40,11.1,2.9,-700,0.78,0.41,72,0.36,0.13,22,RB,8,0.2,0.442,0.395,12,2,2,18,11,9.1,0.2,5.7,0.077,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,breida,matt breida,m,breida5300rbm,39577-53303,RB,m,Matt Breida,breida,11,6,5300,CAR@SF,SF,CAR,,,,,,ryland,ryland,matt,breida5300rbm
brissett7500qbj,0,Jacoby Brissett,7500,IND,DEN,,,16.8,27.2,8.7,0.62,2.2,3,9.48,16.18,1,0.83,0.86,2.4,1,0,0.19,-7.7,56,23.5,17.5,-1.5,-6,41,77,17,26,173,65,6.7,6.84,1.8,22,17.7,50.2,26.8,6.9,1.5,3.3,4,4,8,2.2,0.1,0.406,2.8,1.33,1,0,0,0,18.8,200,0.43,0.24,100,0.5,0,40,7.2,1.2,1500,0.23,0.13,33,0.23,0.52,21,QB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brissett,jacoby brissett,j,brissett7500qbj,39577-30231,QB,j,Jacoby Brissett,brissett,19.6200002,6,7500,DEN@IND,IND,DEN,,,,,,ryland,ryland,jacoby,brissett7500qbj
brown4500wrf,0,Fred Brown,4500,DEN,@IND,,,3,6.1,0,-1.19,0.7,0.5,2.1,4.19,-41,0.31,0,0,0,0,0.4,-0.1,6,17.5,23.5,-1,6,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0.04,0,0,1,40,0.3,0,-1500,1,0.04,0,0,0.4,10,WR,8,0,0,0,0,0,0,1,1,50,0,1.3,0,0,0.009,0,0.006,0,0,0,0,0,0,0,0,0,0,brown,fred brown,f,brown4500wrf,39577-31602,WR,f,Fred Brown,brown,0.5,2,4500,DEN@IND,DEN,IND,,,,,,ryland,ryland,fred,brown4500wrf
brown5100wrj,0,Jaron Brown,5100,SEA,@ATL,,,6.5,14.7,0.1,0.94,1.3,0.5,0,5.56,-2,0.88,1,0.6,1,0,0.54,3.1,29,28,20.5,-1.3,-7.5,48.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.35,0.12,0,0,0,7.1,600,1.58,0.2,100,0.4,0,50,3.6,-1.1,-900,1.7,0.12,41,0.16,0.37,24,WR,8,0,0,0,0,2,1,18,12,14.2,0.3,5.4,0.556,0,0.084,0.143,0.077,0,0,0,0,0,0,0,0,0,0,brown,jaron brown,j,brown5100wrj,39577-24589,WR,j,Jaron Brown,brown,7.5,5,5100,SEA@ATL,SEA,ATL,,,,,,ryland,ryland,jaron,brown5100wrj
brown5500wra,0,A.J. Brown,5500,TEN,TB,,,8.5,20.2,2,2.03,1.5,6.5,8.1,6.47,5,0.82,1,4.7,3,0,0.43,2.1,34,23.8,21.8,-0.7,-2,45.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,62,0.73,0.02,9.8,800,2.17,0.27,75,0.25,0.25,40,7.1,0.8,-500,1.54,0.21,45,0.18,0.27,11,WR,8,0,0,0,0,4,2,48,23,16.9,0.3,12.8,0.2,0,0.161,0.222,0.205,0,0,0,0,0,0,0,0,0,0,brown,a.j. brown,a,brown5500wra,39577-72846,WR,a,A.J. Brown,brown,7.928571429,7,5500,TB@TEN,TEN,TB,,,,,,ryland,ryland,a.j.,brown5500wra
brown5900wrj,0,John Brown,5900,BUF,PHI,,,10.4,16.6,1.5,3.02,1.8,10.5,7.9,7.38,-13,0.51,0.96,9.4,3,0,0.97,3.3,51,20.3,19.3,-2,-1,39.5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.33,0.07,51,0.9,0.41,12.1,300,1.65,0.2,100,0.66,0,30,6.5,0.3,-100,1.18,0.13,52,0.19,0.23,21,WR,8,0,0,0,0,5,3,42,18,13.4,0.2,7.3,0.167,0,0.198,0.2,0.204,0,0,0,0,0,0,0,0,0,0,brown,john brown,j,brown5900wrj,39577-54606,WR,j,John Brown,brown,12.69999949,6,5900,PHI@BUF,BUF,PHI,,,,,,ryland,ryland,john,brown5900wrj
buffalo4300,0,Buffalo,4300,BUF,PHI,,,7.8,15.1,0.9,1.16,1.8,6.5,4,6.64,-4,0.49,0,0,4,0,0.69,2.9,0,20.3,19.3,-2,-1,39.5,47,0,0,0,0,0,0,0,0,0,0,0,0,3.58,6.32,0,0,0,0,0,0,0,0,0,51,0.9,0.41,8.3,900,0,0,100,0.66,0,30,80,1.6,-1700,0,0,100,0.47,0,19,DEF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4547,0.4596,0.0196,0.0344,5.92,80,4.2,3.07,0.225,buffalo,buffalo,b,buffalo4300,39577-12526,D,b,Buffalo Bills,bills,9.166666667,6,4300,PHI@BUF,BUF,PHI,,,,,,Bills,Bills,buffalo,buffalo4300
burkhead5300rbr,0,Rex Burkhead,5300,NE,CLE,,,2.2,4.4,0,-4.73,0.4,0.5,1.8,6.93,-28,0.18,0,0.3,7,0,0.54,1.6,23,26.3,16.8,-2,-9.5,43,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,3.7,0.1,0.439,1.17,0.42,0.08,52,0.96,1,0.2,-300,0.24,0.02,0,0,1,50,6.4,1.4,-700,0.64,0.28,44,0.27,0.33,18,RB,8,0.1,0.192,0.326,6,3,2,24,14,8.7,0.1,8.2,0.125,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,burkhead,rex burkhead,r,burkhead5300rbr,39577-27338,RB,r,Rex Burkhead,burkhead,8.975000381,4,5300,CLE@NE,NE,CLE,Q,Foot,,,,ryland,ryland,rex,burkhead5300rbr
burton4800tet,11.4,Trey Burton,4800,CHI,LAC,,,5,8.2,0,0.53,1,0.5,2.1,4.47,-10,0.7,0,0,1,0,0.47,-0.7,47,22.3,18.8,-0.2,-3.5,41,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.25,0.06,53,0.62,0.01,2.6,-100,0.71,0.06,100,0,0,30,3.6,-1.9,-1200,0.89,0.08,40,0.04,0.44,25,TE,8,0,0,0,0,4,2,20,12,7.3,0.1,5.1,0.222,0,0.13,0.087,0.098,0,0,0,0,0,0,0,0,0,0,burton,trey burton,t,burton4800tet,39577-30297,TE,t,Trey Burton,burton,2.660000038,5,4800,LAC@CHI,CHI,LAC,,,,,,ryland,ryland,trey,burton4800tet
