,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,sr2,buzz2,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
grant4800wrj,77.3,Jakeem Grant,4800,MIA,CIN,,,6.15,8.6,3.7,1.28,1.3,0.5,5.2,4.87,-17,0.48,1,0.2,0,0,0.58,4,25,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.13,0.07,81,0.67,0.02,5.7,200,1.2,0.15,100,0.25,0,40,4.4,0.2,300,1.2,0.18,60,0.2,0.2,15,WR,1420,,,0,0,0,0,3,2,23,14,9.8,0.1,0,0.333,0,0.107,0.056,0.102,0,0,0,0,0,0,0,0,0,0,grant,jakeem grant,j,grant4800wrj,,,WR,,,,,,,,,,,,,,,,,
green bay4100,62.11,Green Bay,4100,GB,PHI,,,7.4,14.7,0.1,1.4,1.8,14.5,13,6,0,0.72,0,0,4,0,0.98,1.9,0,29,21,0.7,-8,50,61,0,0,0,0,0,0,0,0,0,0,0,0,2.36,6.68,0,0,0,0,0,0,0,0,0,32,0.67,0,8.3,-700,0,0,100,0.33,0,30,60,-1.1,200,0,0,80,0.33,0.14,21,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4892,0.5082,0.0137,0.0433,6.83,8.87,50,2.83,0.218,bay,green bay,g,green bay4100,,,D,,,,,,,,,,,,,,,,,
green5200wra,64.25,AJ Green,5200,CIN,@MIA,,,5.56,8,3.2,-0.22,1.1,0.5,0,5.78,-20,0.43,0,0,2,0,0,0.4,51,16.3,26.8,0.5,10.5,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.27,0.2,81,0.67,0.02,12.1,-400,2.13,0.25,33,0.33,0,30,4.9,0.2,-1000,0.68,0.1,33,0.2,0.46,15,WR,1420,,,0,0,0,0,7,3,32,10,10.2,0.1,0,0.2,0,0.186,0.071,0.124,0,0,0,0,0,0,0,0,0,0,green,aj green,a,green5200wra,,,WR,,,,,,,,,,,,,,,,,
gurley6600rbt,63.65,Todd Gurley,6600,ATL,NO,,,8.6,12.2,5,-1.57,1.3,3,2.5,10.17,-8,0.56,0,0.5,3,0,0.36,-4.3,45,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,3.5,0.9,0.445,4.13,1.87,1.2,0,0,0,8,-300,0.51,0.24,33,0.33,0.33,30,14.4,2.8,-500,0.74,0.32,81,0.5,0.12,16,RB,1420,0%,0.5,0.765,0.598,0.625,16,2,1,11,6,6.2,0.1,5.5,0.197,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,gurley,todd gurley,t,gurley6600rbt,,,RB,,,,,,,,,,,,,,,,,
guyton4900wrj,64.8,Jalen Guyton,4900,LAC,NE,,,4.92,7.4,2.5,-0.18,1,0.5,4.8,5.1,-24,0.38,1,0.2,0,0,0.05,1.3,50,24.8,22.3,-0.5,-2.5,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,2.9,0,0.88,0.05,75,0,0.25,40,40,0.4,400,1.57,0.08,60,0.2,0.4,15,WR,1420,,,0,0,0,0,2,1,25,21,18.4,0.2,0,0.333,0,0.067,0.111,0.086,0,0,0,0,0,0,0,0,0,0,guyton,jalen guyton,j,guyton4900wrj,52276-64843:Jalen Guyton,52276-64843,WR,,j,Jalen Guyton,guyton,5.375,12,4900,ATL@LAC,LAC,ATL,,,,ryland,ryland,jalen,guyton4900wrj
hansen4500wrc,54.2,Chad Hansen,4500,HOU,IND,,,2.78,4.3,1.3,-1.41,0.6,0,12.6,4.19,0,0,0,0,1,0,0.5,0.2,0,23.3,26.8,-2,3.5,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,11,WR,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hansen,chad hansen,c,hansen4500wrc,,,WR,,,,,,,,,,,,,,,,,
harris4600wrd,51.05,De'Michael Harris,4600,IND,@HOU,,,2.38,3.5,1.2,-2.04,0.5,0.5,-0.3,4.42,-37,0.22,0,0,1,0,0.16,2.4,12,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,3.2,100,1.07,0.25,80,0.2,0.2,50,3.4,-0.3,100,1.13,0.28,41,0.08,0.08,12,WR,1420,,,0,0,0,0,2,2,15,9,7.9,0,0,0,0,0.052,0,0.053,0,0,0,0,0,0,0,0,0,0,harris,de'michael harris,d,harris4600wrd,52276-89384:DeMichael Harris,52276-89384,WR,,d,DeMichael Harris,harris,2.916666667,6,4600,IND@LV,IND,LV,,,,ryland,ryland,demichael,harris4600wrd
harris4600wrd,51.05,De'Michael Harris,4600,IND,@HOU,,,2.38,3.5,1.2,-2.04,0.5,0.5,-0.3,4.42,-37,0.22,0,0,1,0,0.16,2.4,12,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,3.2,100,1.07,0.25,80,0.2,0.2,50,3.4,-0.3,100,1.13,0.28,41,0.08,0.08,12,WR,1420,,,0,0,0,0,2,2,15,9,7.9,0,0,0,0,0.052,0,0.053,0,0,0,0,0,0,0,0,0,0,harris,de'michael harris,d,harris4600wrd,52276-104176:Deonte Harris,52276-104176,WR,,d,Deonte Harris,harris,4.188888974,9,4600,NO@PHI,NO,PHI,Q,Neck,,ryland,ryland,deonte,harris4600wrd
harris5900rbd,83.5,Damien Harris,5900,NE,@LAC,,,10,13.2,6.8,1.57,1.7,3,10,8.43,-2,0.76,1,1.6,5,0,0.64,1.6,24,22.3,24.8,-1.5,2.5,47,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,70,5.1,0.3,0.518,0.87,0.53,0.2,0,0,0,8.6,-400,0.54,0.29,100,0.4,0,50,5.7,0.5,1400,0.4,0.24,52,0.23,0.29,17,RB,1420,100%,1.6,0.182,0.465,0.343,13,0,0,4,4,12.3,0,0,0.077,0.692,0,0,0,0,0,0,0,0,0,0,0,0,0,harris,damien harris,d,harris5900rbd,,,RB,,,,,,,,,,,,,,,,,
harry5100wrn,63.95,N'Keal Harry,5100,NE,@LAC,,,5.3,7.5,3.1,-0.26,1,0.5,8.5,5.56,-21,0.42,1,0.4,1,0,0,0,38,22.3,24.8,-1.5,2.5,47,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.47,0.13,0,0,0,3.2,-500,0.8,0.09,20,0,0.2,50,5.2,-0.4,0,1.04,0.14,55,0.16,0.16,18,WR,1420,,,0,0,0,0,4,2,22,10,9.1,0.2,6.7,0.154,0,0.156,0.167,0.108,0,0,0,0,0,0,0,0,0,0,harry,n'keal harry,n,harry5100wrn,,,WR,,,,,,,,,,,,,,,,,
henderson5600rbd,65.55,Darrell Henderson,5600,LA,@ARI,,,6.62,8.8,4.4,-1.06,1.2,0.5,14.4,7.68,-7,0.59,0,0,0,0,0.36,-1.7,22,25.8,23.3,1,-2.5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,4.3,0.3,0.574,2.33,1.4,0.73,0,0,0,4.5,-200,0.45,0.18,33,0.33,0.66,30,6.8,0.6,400,0.62,0.31,46,0.26,0.53,15,RB,1420, ,,0.211,0.323,0.321,9,1,1,9,7,9.9,0.1,0,0.129,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,henderson,darrell henderson,d,henderson5600rbd,,,RB,,,,,,,,,,,,,,,,,
henry10000rbd,72.05,Derrick Henry,10000,TEN,CLE,,,17.94,23.1,12.7,-0.71,1.8,23,5.4,18.65,0,0.84,0.98,7.8,12,0,0.59,-0.4,43,29,25,1,-4,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,118,5.1,1.2,0.55,4.94,2.69,1.38,51,0.7,0.01,17.4,1100,0.67,0.41,40,0.2,0.6,50,19.8,4.4,1600,0.78,0.46,65,0.45,0.35,20,RB,1420,98%,7.8,0.81,0.729,0.657,23,2,1,7,6,6.6,0,20,0.208,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,henry,derrick henry,d,henry10000rbd,,,RB,,,,,,,,,,,,,,,,,
henry6000teh,86.15,Hunter Henry,6000,LAC,NE,,,8.45,11.5,5.4,1.18,1.4,10.5,1,7.27,-1,0.81,0.92,3.3,8,0,0.86,-1,62,24.8,22.3,-0.5,-2.5,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.53,0.33,0,0,0,9.8,400,1.31,0.14,100,0.75,0,40,8.3,1.1,0,1.33,0.13,93,0.26,0.06,15,TE,1420,,,0,0,0,0,6,4,43,19,10.6,0.3,9.4,0.333,0,0.167,0.167,0.149,0,0,0,0,0,0,0,0,0,0,henry,hunter henry,h,henry6000teh,,,TE,,,,,,,,,,,,,,,,,
herbert7900qbj,94.15,Justin Herbert,7900,LAC,NE,,,20.2,31.1,9.3,3.24,2.6,10.5,6.36,16.96,-7,0.27,0.94,4.5,1,0,0.96,0.3,75,24.8,22.3,-0.5,-2.5,47,49,26,40,301,66,7.5,7.17,2.3,49,26.1,51,19.7,5.8,1.8,5.2,4,10,18,4.5,0.3,0.488,6.45,2.64,1.64,0,0,0,22.5,0,0.46,0.3,100,0.75,0,40,24.2,6.5,1800,0.52,0.32,90,0.72,0,11,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,herbert,justin herbert,j,herbert7900qbj,,,QB,,,,,,,,,,,,,,,,,
herndon4500tec,68.65,Chris Herndon,4500,NYJ,LV,,,3.12,4.4,1.8,-0.65,0.7,0.5,0,3.77,-16,0.29,0,0,1,0,0.12,1.2,40,20.3,27.8,0,7.5,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,38,0.55,0.02,10.2,200,10.2,0.28,33,0.33,0,30,3.3,-0.6,-200,1.29,0.08,35,0.05,0.17,17,TE,1420,,,0,0,0,0,2,1,12,7,8.3,0.1,0,0.5,0,0.084,0.111,0.063,0,0,0,0,0,0,0,0,0,0,herndon,chris herndon,c,herndon4500tec,52276-55336:Chris Herndon,52276-55336,TE,,c,Chris Herndon,herndon,2.588888804,9,4500,NYJ@SEA,NYJ,SEA,,,,ryland,ryland,chris,herndon4500tec
higbee5100tet,80.55,Tyler Higbee,5100,LA,@ARI,,,5.72,8.1,3.3,0.55,1.1,0.5,10.4,5.17,-2,0.75,1,0.6,6,0,0.29,-1.7,57,25.8,23.3,1,-2.5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.33,0.27,0,0,0,4.2,-100,0.97,0.09,66,0,0.33,30,9.4,2.3,-700,1.53,0.17,66,0.33,0.26,15,TE,1420,,,0,0,0,0,6,4,52,21,11.5,0.3,8.7,0.231,0,0.163,0.174,0.183,0,0,0,0,0,0,0,0,0,0,higbee,tyler higbee,t,higbee5100tet,,,TE,,,,,,,,,,,,,,,,,
higgins5400wrr,81.75,Rashard Higgins,5400,CLE,@TEN,,,7.92,11.1,4.7,1.68,1.5,0.5,18.5,6.24,3,0.89,1,0.7,2,0,0.54,2,29,25,29,1,4,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.07,0.07,51,0.7,0.01,5.4,-100,1.63,0.14,66,0,0.33,30,4.3,-0.1,800,1.73,0.15,40,0.2,0.4,15,WR,1420,,,0,0,0,0,2,1,30,16,16.1,0.2,0,0.667,0,0.097,0.154,0.148,0,0,0,0,0,0,0,0,0,0,higgins,rashard higgins,r,higgins5400wrr,,,WR,,,,,,,,,,,,,,,,,
higgins6400wrt,75.3,Tee Higgins,6400,CIN,@MIA,,,9.4,13.3,5.5,0.88,1.5,3,8.1,8.52,-5,0.7,0.6,0.9,2,0,0.05,0.4,51,16.3,26.8,0.5,10.5,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.45,0.45,81,0.67,0.02,12,300,1.5,0.22,66,0.66,0.33,30,12.2,50,1500,1.66,0.24,81,0.54,0.09,11,WR,1420,,,0,0,0,0,6,4,61,27,14,0.5,0,0.625,0,0.176,0.357,0.234,0,0,0,0,0,0,0,0,0,0,higgins,tee higgins,t,higgins6400wrt,52276-89981:Tee Higgins,52276-89981,WR,,t,Tee Higgins,higgins,11.83636336,11,6400,DAL@CIN,CIN,DAL,Q,Hamstring,,ryland,ryland,tee,higgins6400wrt
hill5800rbb,50.35,Brian Hill,5800,ATL,NO,,,4.98,7.2,2.8,-3.2,0.9,0.5,1.8,8.18,-11,0.48,0.25,0.5,2,0,0.49,-4.3,19,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,5.1,0.1,0.495,0.53,0.33,0.2,0,0,0,3.2,800,0.36,0.12,33,0,0.66,30,4.9,-1.1,1000,0.64,0.26,82,0.23,0.17,17,RB,1420,25%,0.5,0.118,0.3,0.274,6,1,1,7,4,6.9,0,0,0.143,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,hill,brian hill,b,hill5800rbb,,,RB,,,,,,,,,,,,,,,,,
hill7700qbt,93.6,Taysom Hill,7700,NO,@ATL,,,19.66,32.5,6.8,3.09,2.6,3,23.58,16.57,5,0.95,0.89,4.7,1,0,0.74,2.3,25,24.3,21.8,-1,-2.5,46,49,4,5,52,68,8.9,7.2,0,19,14.9,61.7,17,0,2,15.3,4,10,20,4.8,0.3,0.523,2.07,1.33,0.53,0,0,0,13.8,3200,0.55,0.33,100,0.75,0,40,8.7,3.1,2700,0.72,0.35,70,0.52,0.29,17,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hill,taysom hill,t,hill7700qbt,52276-45565:Taysom Hill,52276-45565,QB,,t,Taysom Hill,hill,8.896666845,12,7700,NO@PHI,NO,PHI,,,,ryland,ryland,taysom,hill7700qbt
hilton5600wrt,78.35,TY Hilton,5600,IND,@HOU,,,7.96,11.2,4.7,1.26,1.4,3,21,6.7,-14,0.53,0.85,2.9,1,0,0.58,2.4,44,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.13,0.07,0,0,0,9.1,300,1.7,0.18,75,0.25,0,40,5.7,-1.9,-800,1.04,0.13,50,0.11,0.44,18,WR,1420,,,0,0,0,0,5,3,40,20,12.3,0.1,11.1,0.143,0,0.167,0.063,0.165,0,0,0,0,0,0,0,0,0,0,hilton,ty hilton,t,hilton5600wrt,,,WR,,,,,,,,,,,,,,,,,
hines6400rbn,73.3,Nyheim Hines,6400,IND,@HOU,,,9.51,13,6,-0.16,1.5,0.5,10.7,9.67,4,0.94,0.85,2.2,6,0,0.44,3.4,25,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,3.4,0.1,0.44,1.8,1,0.4,0,0,0,15.4,1000,1.16,0.45,100,0.6,0,50,10.5,3.2,1500,1.1,0.42,81,0.37,0.18,16,RB,1420,85%,2.2,0.105,0.16,0.38,5,4,3,27,12,7.6,0.3,3.1,0.111,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,hines,nyheim hines,n,hines6400rbn,,,RB,,,,,,,,,,,,,,,,,
hockenson6100tet,87.3,TJ Hockenson,6100,DET,@CHI,,,8.87,12.2,5.6,1.36,1.5,6.5,11.9,7.51,3,0.95,0.86,5.8,7,0,0.89,1.9,47,20.5,23.5,0.2,3,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.6,0.47,36,0.77,0.09,8.7,100,1.29,0.18,75,0.25,0.25,40,9.8,2.2,800,1.58,0.21,66,0.26,0.06,15,TE,1420,,,0,0,0,0,6,4,48,21,11.8,0.5,0,0.357,0,0.177,0.263,0.178,0,0,0,0,0,0,0,0,0,0,hockenson,tj hockenson,t,hockenson6100tet,,,TE,,,,,,,,,,,,,,,,,
hollins4600wrm,62.35,Mack Hollins,4600,MIA,CIN,,,4.12,6,2.3,-0.3,0.9,0.5,1.2,4.42,-30,0.3,0,0,0,0,0.16,4,9,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,81,0.67,0.02,3.1,100,1.79,0.15,75,0.25,0.25,40,1.6,-0.4,100,2.74,0.17,17,0.05,0.29,17,WR,1420,,,0,0,0,0,0,0,2,2,80,0.1,0,1,0,0.017,0.043,0.011,0,0,0,0,0,0,0,0,0,0,hollins,mack hollins,m,hollins4600wrm,,,WR,,,,,,,,,,,,,,,,,
hollister4900tej,85.65,Jacob Hollister,4900,SEA,NYG,,,5.94,8.1,3.7,1.24,1.2,0.5,3.5,4.7,-2,0.75,1,0.3,2,0,0.17,1.7,26,29.8,18.8,1.8,-11,48.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.27,0.27,51,0.79,0.09,3.5,600,0.88,0.17,75,0.25,0.25,40,4.6,-0.6,700,1.46,0.18,66,0.11,0.16,18,TE,1420,,,0,0,0,0,3,2,18,8,8.6,0.1,6.8,0.1,0,0.094,0.028,0.066,0,0,0,0,0,0,0,0,0,0,hollister,jacob hollister,j,hollister4900tej,52276-54007:Jacob Hollister,52276-54007,TE,,j,Jacob Hollister,hollister,3.240000153,10,4900,NYJ@SEA,SEA,NYJ,,,,ryland,ryland,jacob,hollister4900tej
hooper5300tea,80.7,Austin Hooper,5300,CLE,@TEN,,,6.22,8.6,3.8,0.58,1.2,3,3.4,5.64,-3,0.7,1,4.2,3,0,0.73,2.5,53,25,29,1,4,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.4,0.27,51,0.7,0.01,4.9,200,1.63,0.1,66,0,0.33,30,6.1,-0.2,-400,1.11,0.12,53,0.06,0.33,15,TE,1420,,,0,0,0,0,5,3,33,15,9.4,0.2,5.7,0.182,0,0.183,0.105,0.147,0,0,0,0,0,0,0,0,0,0,hooper,austin hooper,a,hooper5300tea,,,TE,,,,,,,,,,,,,,,,,
hopkins8000wrd,73.55,DeAndre Hopkins,8000,ARI,LA,,,12.59,17.2,7.9,0.42,1.6,6.5,15.2,12.17,5,0.92,0.5,2.9,4,0,0.95,-0.8,66,23.3,25.8,-0.5,2.5,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.4,0.27,0,0,0,10.6,-800,1.41,0.16,25,0.25,0.75,40,12.9,-0.7,200,1.35,0.2,57,0.21,0.42,19,WR,1420,,,0,0,0,0,9,6,87,30,12.9,0.4,8.9,0.067,0,0.283,0.227,0.348,0,0,0,0,0,0,0,0,0,0,hopkins,deandre hopkins,d,hopkins8000wrd,,,WR,,,,,,,,,,,,,,,,,
houston3700,39.17,Houston,3700,HOU,IND,,,6.2,13,-0.6,1.49,1.7,0.5,3,4.71,8,0.97,0,0,1,0,0.8,3,0,23.3,26.8,-2,3.5,50,42,0,0,0,0,0,0,0,0,0,0,0,0,1.76,6.05,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,100,0.5,0,40,5.9,0.3,700,0,0,85,0.4,0.15,20,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5449,0.5197,0.0093,0.0515,8.01,11.53,60,3.5,0.2197,houston,houston,h,houston3700,,,D,,,,,,,,,,,,,,,,,
humphries4900wra,72.9,Adam Humphries,4900,TEN,CLE,,,5.97,8.3,3.6,0.87,1.2,0.5,1.4,5.1,-13,0.55,1,0.2,1,0,0.1,1,33,29,25,1,-4,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,51,0.7,0.01,0,-100,0,0,0,0,0,40,4.1,1.1,0,0.77,0.12,29,0.23,0.41,17,WR,1420,,,0,0,0,0,5,3,36,15,10,0.3,0,0.25,0,0.157,0.143,0.135,0,0,0,0,0,0,0,0,0,0,humphries,adam humphries,a,humphries4900wra,52276-24671:Adam Humphries,52276-24671,WR,,a,Adam Humphries,humphries,6.614285605,7,4900,TEN@JAC,TEN,JAC,IR,Concussion,,ryland,ryland,adam,humphries4900wra
hunt6300rbk,79.4,Kareem Hunt,6300,CLE,@TEN,,,10.32,13.4,7.2,0.9,1.6,6.5,7.2,9.42,-8,0.56,0.83,1.1,6,0,0.54,1.1,35,25,29,1,4,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,4.3,0.3,0.526,3.13,1.4,0.8,51,0.7,0.01,9.8,-1200,0.6,0.29,100,0,0,30,12.1,1.8,500,0.8,0.35,86,0.4,0.13,15,RB,1420,83%,1.1,0.357,0.345,0.571,11,3,2,21,10,8.2,0.3,10.8,0.135,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,hunt,kareem hunt,k,hunt6300rbk,,,RB,,,,,,,,,,,,,,,,,
hurst5600teh,89.4,Hayden Hurst,5600,ATL,NO,,,7.98,11,5,1.64,1.4,6.5,1.4,6.34,-1,0.81,0.75,1.9,7,0,0.35,-2.1,46,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.07,0,0,0,8.3,0,1.38,0.18,66,0.33,0,30,7.6,1.6,300,1.53,0.16,80,0.3,0.15,20,TE,1420,,,0,0,0,0,4,3,39,20,12.4,0.3,13.6,0.111,0,0.146,0.143,0.154,0,0,0,0,0,0,0,0,0,0,hurst,hayden hurst,h,hurst5600teh,,,TE,,,,,,,,,,,,,,,,,
hyde5700rbc,66.7,Carlos Hyde,5700,SEA,NYG,,,7.05,9.4,4.7,-0.88,1.2,0.5,2.6,7.93,-5,0.65,0,0,4,0,0.9,0.8,30,29.8,18.8,1.8,-11,48.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,3.7,0.5,0.521,1.19,0.69,0.38,51,0.79,0.09,12.3,0,0.7,0.29,60,0.4,0,50,9.6,0.8,700,0.7,0.32,66,0.19,0.09,21,RB,1420, ,,0.5,0.355,0.444,12,1,1,7,5,5.5,0,2.9,0.211,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,hyde,carlos hyde,c,hyde5700rbc,,,RB,,,,,,,,,,,,,,,,,
indianapolis4600,29.36,Indianapolis,4600,IND,@HOU,,,6.6,13.6,-0.4,-1.01,1.4,3,12,7.61,-1,0.64,0,0,1,0,0.19,-2.9,0,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,3.74,6.3,0,0,0,0,0,0,0,0,0,0,0,0,6,-200,0,0,80,0.6,0.2,50,8.6,1.2,900,0,0,77,0.55,0.22,18,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5315,0.4789,0.0209,0.0472,7.42,8.6,4.2,2.92,0.2481,indianapolis,indianapolis,i,indianapolis4600,,,D,,,,,,,,,,,,,,,,,
ingold4500rba,54.05,Alec Ingold,4500,LV,@NYJ,,,2.57,3.5,1.6,-2.36,0.6,0.5,0.7,4.93,-23,0.24,0,0,2,0,0.87,-0.9,14,27.8,20.3,0,-7.5,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.25,0.2,0.2,0.2,38,0.55,0.02,1.4,0,1.35,0.11,25,0,0.25,40,2.1,-0.7,0,1.52,0.15,46,0.06,0.33,15,RB,1420, ,,0,0.001,0.214,0,1,0,8,7,10,0.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ingold,alec ingold,a,ingold4500rba,52276-63717:Alec Ingold,52276-63717,RB,,a,Alec Ingold,ingold,2.522222307,9,4500,IND@LV,LV,IND,,,,ryland,ryland,alec,ingold4500rba
isabella4800wra,83.85,Andy Isabella,4800,ARI,LA,,,6.84,9.8,3.9,1.97,1.4,3,1.7,4.87,-25,0.36,1,0.9,2,0,0.16,-0.8,19,23.3,25.8,-0.5,2.5,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.07,0.07,0,0,0,2.3,100,0.76,0.11,60,0,0.4,50,3.3,-1.1,200,1.48,0.17,37,0.12,0.43,16,WR,1420,,,0,0,0,0,2,1,15,11,10.8,0.1,2.3,0.667,0,0.064,0.08,0.061,0,0,0,0,0,0,0,0,0,0,isabella,andy isabella,a,isabella4800wra,,,WR,,,,,,,,,,,,,,,,,
izzo4500ter,66.95,Ryan Izzo,4500,NE,@LAC,,,2.91,4.4,1.4,-0.86,0.6,0.5,1.1,3.77,-14,0.35,0,0,0,0,0.12,1.1,53,22.3,24.8,-1.5,2.5,47,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0,0,0,4.7,400,4.7,0.08,50,0.25,0,40,1.9,0.2,500,1.12,0.04,43,0.06,0.31,16,TE,1420,,,0,0,0,0,1,1,17,13,16.1,0,0,0,0,0.062,0,0.084,0,0,0,0,0,0,0,0,0,0,izzo,ryan izzo,r,izzo4500ter,,,TE,,,,,,,,,,,,,,,,,
jacksonville3200,23.54,Jacksonville,3200,JAX,@MIN,,,4.4,9.5,-0.7,1.29,1.4,0.5,14,3.11,-3,0.51,0,0,1,0,0.53,4.5,0,20.3,30.8,0.5,10.5,51,44,0,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,5.3,-300,0,0,100,0.25,0,40,3.8,-0.9,-300,0,0,75,0.37,0.25,16,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.5314,0.5201,0.0105,0.0522,8.39,9.53,4.71,3.15,0.2378,jacksonville,jacksonville,j,jacksonville3200,52276-12554:Jacksonville Jaguars,52276-12554,D,,j,Jacksonville Jaguars,jaguars,4.416666667,12,3200,TEN@JAC,JAC,TEN,,,,Jaguars,Jaguars,jacksonville,jacksonville3200
