,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,sr2,buzz2,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
brown5200rbm,63.25,Malcolm Brown,5200,LA,@ARI,,,5.43,7.3,3.6,-1.25,1,0.5,3.2,6.68,-10,0.5,0,0,1,0,0.4,-1.7,28,25.8,23.3,1,-2.5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,4.1,0.5,0.51,1.4,0.87,0.53,0,0,0,7.4,-300,1.24,0.28,33,0.33,0.66,30,6.9,0.5,200,0.8,0.25,60,0.33,0.4,15,RB,1420, ,,0.333,0.239,0.402,6,1,1,8,5,6.3,0,1.5,0.412,0.706,0,0,0,0,0,0,0,0,0,0,0,0,0,brown,malcolm brown,m,brown5200rbm,,,RB,,,,,,,,,,,,,,,,,
brown8200wra,74,AJ Brown,8200,TEN,CLE,,,13.13,18.4,7.9,0.5,1.6,10.5,8.7,12.63,2,0.88,0.96,6,7,0,0.86,1,55,29,25,1,-4,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.44,0.06,51,0.7,0.01,12.3,600,1.89,0.24,60,0.4,0.4,50,12.4,1.7,1500,1.66,0.23,60,0.35,0.3,20,WR,1420,,,0,0,0,0,7,4,81,39,18.3,0.9,15.8,0.533,0,0.248,0.414,0.326,0,0,0,0,0,0,0,0,0,0,brown,aj brown,a,brown8200wra,,,WR,,,,,,,,,,,,,,,,,
bryant4500teh,70.8,Harrison Bryant,4500,CLE,@TEN,,,3.34,4.9,1.8,-0.43,0.7,0.5,0,3.77,-12,0.4,0,0,2,0,0.12,2.5,36,25,29,1,4,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.36,0.27,51,0.7,0.01,-0.2,-300,-0.3,-0.01,0,0,0.33,30,4.8,1.3,500,2.3,0.13,45,0.18,0.27,11,TE,1420,,,0,0,0,0,2,1,14,9,10.3,0.3,0,0.75,0,0.081,0.167,0.074,0,0,0,0,0,0,0,0,0,0,bryant,harrison bryant,h,bryant4500teh,,,TE,,,,,,,,,,,,,,,,,
burton5500tet,76.45,Trey Burton,5500,IND,@HOU,,,6.13,8.5,3.8,0.02,1.1,0.5,1.6,6.11,1,0.91,1,0.6,2,0,0.12,0.8,31,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.36,0.29,0,0,0,6,0,1.34,0.21,80,0.2,0.2,50,7.4,1.3,700,1.49,0.24,50,0.12,0.06,16,TE,1420,,,0,0,0,0,4,2,26,12,9.3,0.4,0,0.375,0,0.132,0.231,0.098,0,0,0,0,0,0,0,0,0,0,burton,trey burton,t,burton5500tet,,,TE,,,,,,,,,,,,,,,,,
byrd5300wrd,81.75,Damiere Byrd,5300,NE,@LAC,,,7.69,11,4.4,1.68,1.5,0.5,2.6,6.01,1,0.86,0,0,2,0,0.54,0,51,22.3,24.8,-1.5,2.5,47,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.13,0.13,0,0,0,11.5,-200,1.84,0.2,80,0.2,0,50,8.1,2.2,700,1.66,0.16,75,0.31,0.12,16,WR,1420,,,0,0,0,0,4,3,45,21,13.7,0.1,11.1,0.333,0,0.171,0.167,0.213,0,0,0,0,0,0,0,0,0,0,byrd,damiere byrd,d,byrd5300wrd,,,WR,,,,,,,,,,,,,,,,,
callaway4800wra,55.65,Antonio Callaway,4800,MIA,CIN,,,3.48,5,1.9,-1.39,0.7,0,0,4.87,0,0,0,0,0,0,0.05,4,10,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0.67,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,1420,,,0,0,0,0,1,1,10,10,10,0,0,0,0,0.026,0,0.044,0,0,0,0,0,0,0,0,0,0,callaway,antonio callaway,a,callaway4800wra,,,WR,,,,,,,,,,,,,,,,,
carr7200qbd,93.3,Derek Carr,7200,LV,@NYJ,,,18.72,30.8,6.7,3.13,2.6,3,32.74,15.59,2,0.88,0.89,4.7,1,0,0.74,6.3,66,27.8,20.3,0,-7.5,48,61,22,32,257,69,7.8,7.8,1.6,42,23.3,41.1,28.9,5,0.9,5.6,2,7,10,4.5,0.1,0.514,6.33,3.13,2.13,38,0.55,0.02,11.3,200,0.36,0.2,75,0.25,0.25,40,17,1.6,100,0.46,0.26,93,0.62,0.06,16,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7200qbd,,,QB,,,,,,,,,,,,,,,,,
carson8000rbc,71.1,Chris Carson,8000,SEA,NYG,,,13.05,16.9,9.2,-0.61,1.6,6.5,18.5,13.66,0,0.84,0.84,2.9,7,0,0.07,0.8,34,29.8,18.8,1.8,-11,48.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,61,5.1,0.6,0.628,1.38,0.75,0.56,51,0.79,0.09,12.9,400,1.29,0.52,25,0,0,40,11.6,1.3,800,0.75,0.34,41,0.23,0.35,17,RB,1420,84%,2.9,0.75,0.509,0.518,12,3,2,20,11,70,0.3,8.6,0.313,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,carson,chris carson,c,carson8000rbc,,,RB,,,,,,,,,,,,,,,,,
cephus4700wrq,67.35,Quintez Cephus,4700,DET,@CHI,,,4.92,7.3,2.5,0.28,1,0.5,13.3,4.64,-23,0.39,0,0,0,0,0.1,2,27,20.5,23.5,0.2,3,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,36,0.77,0.09,2.7,100,1.34,0.11,100,0,0,40,3.9,-0.4,200,1.48,0.14,54,0.09,0,11,WR,1420,,,0,0,0,0,2,1,21,13,14.5,0,0,0,0,0.074,0,0.084,0,0,0,0,0,0,0,0,0,0,cephus,quintez cephus,q,cephus4700wrq,,,WR,,,,,,,,,,,,,,,,,
chark6300wrd,85.1,DJ Chark,6300,JAX,@MIN,,,10.11,14.2,6.1,1.82,1.6,3,5.1,8.29,2,0.88,0,0,3,0,0.75,1.4,54,20.3,30.8,0.5,10.5,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.33,0.13,0,0,0,12.6,-100,1.51,0.23,75,0.25,0,40,9.1,0.8,-300,1.24,0.17,56,0.12,0.25,16,WR,1420,,,0,0,0,0,7,4,55,25,11.8,0.3,5.6,0.273,0,0.207,0.2,0.231,0,0,0,0,0,0,0,0,0,0,chark,dj chark,d,chark6300wrd,,,WR,,,,,,,,,,,,,,,,,
