,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,buzz,sr,leverage,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
boykin4700wrm,76.21,Miles Boykin,4700,BAL,@HOU,,,6.49,9.3,3.7,1.85,1.4,0.5,4.64,5.8,-17,0.2,1,0.48,1,0,0.63,0.2,28,28.5,21,-1.3,-7.5,49.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.2,0.07,0,0,0,5.2,-200,1.3,0.13,100,0,0,10,3.1,-1.4,-200,2.08,0.11,52,0.29,0.47,17,WR,220,0,0,0,0,1,0,14,10,15.6,0.1,6.3,0.4,0,0.057,0.063,0.073,0,0,0,0,0,0,0,0,0,0,boykin,miles boykin,m,boykin4700wrm,49877-64827:Miles Boykin,49877-64827,WR,m,Miles Boykin,boykin,5.199999809,1,4700,BAL@HOU,BAL,HOU,,,,ryland,ryland,miles,boykin4700wrm
boyle4400ten,77.13,Nick Boyle,4400,BAL,@HOU,,,4.1,5.8,2.4,0.56,0.9,0.5,3.54,1.6,-14,0,0,0.35,1,0,0.64,-0.1,48,28.5,21,-1.3,-7.5,49.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.33,0.33,0,0,0,1.3,-200,0.43,0.03,100,0,0,10,3.1,-1.6,-200,1.14,0.06,55,0.22,0.38,18,TE,220,0,0,0,0,2,1,18,10,9.8,0.1,70,0.333,0,0.103,0.063,0.095,0,0,0,0,0,0,0,0,0,0,boyle,nick boyle,n,boyle4400ten,49877-62510:Nick Boyle,49877-62510,TE,n,Nick Boyle,boyle,1.299999952,1,4400,BAL@HOU,BAL,HOU,,,,ryland,ryland,nick,boyle4400ten
brady7600qbt,67.33,Tom Brady,7600,TB,CAR,,,18.46,29.8,7.1,2.09,2.4,3,16.37,9.68,0,3.4,1,0.78,1,0,0.73,-0.3,71,27.3,19.8,-0.5,-7.5,47,51,23,39,246,60,6.3,5.65,1.4,36,25.1,58.6,10.1,3.6,1.8,4.4,1,2,2,1.6,0.2,0.37,7.27,3.53,2,85,0.73,0.15,22.5,0,0.53,0.32,100,1,0,20,15.9,-1.5,0,0.37,0.22,79,0.37,0.2,24,QB,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7600qbt,49877-6498:Tom Brady,49877-6498,QB,t,Tom Brady,brady,22.45999908,1,7600,CAR@TB,TB,CAR,,,,ryland,ryland,tom,brady7600qbt
breida4800rbm,54.02,Matt Breida,4800,MIA,BUF,,,3.94,5.4,2.5,-1.74,0.8,0.5,5.68,4.4,-26,0,0,0.19,2,0,0.95,-1.8,20,18.5,24,-0.3,5.5,42.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,4.8,0.1,0.436,0.67,0.2,0.13,89,0.7,0.11,2.2,-400,0.44,0.16,0,0,1,10,5.7,-0.9,-400,0.52,0.29,45,0.25,0.55,20,RB,220,0.059,0.305,0.29,9,1,1,9,7,6.1,0.1,5.2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,breida,matt breida,m,breida4800rbm,49877-53303:Matt Breida,49877-53303,RB,m,Matt Breida,breida,2.200000048,1,4800,BUF@MIA,MIA,BUF,,,,ryland,ryland,matt,breida4800rbm
bridgewater6900qbt,56.94,Teddy Bridgewater,6900,CAR,@TB,,,16.32,26.9,5.7,1.32,2.4,0.5,15,10.68,-4,1.3,0.8,0.45,1,0,0.73,-6.6,46,19.8,27.3,-0.5,7.5,47,49,19,28,212,69,7.4,7.28,1.4,36,26,52,17.5,5,1.1,5.4,3,4,5,1.7,0,0.267,2.8,1.07,0.47,85,0.73,0.15,19.4,100,0.5,0.29,100,1,0,10,6.6,0.1,100,0.2,0.14,29,0.23,0.7,17,QB,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater6900qbt,49877-33259:Teddy Bridgewater,49877-33259,QB,t,Teddy Bridgewater,bridgewater,19.36000061,1,6900,CAR@TB,CAR,TB,,,,ryland,ryland,teddy,bridgewater6900qbt
brown5200rbm,84.22,Malcolm Brown,5200,LA,@PHI,,,9.9,14.1,5.7,3.22,1.9,3,6.68,4.7,-2,2,1,0.76,3,0,0.99,-0.8,17,22,24,0.5,2,46,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,3.5,0.4,0.471,0.93,0.53,0.47,63,0.33,0.01,24.5,200,1.11,0.56,100,1,0,10,3.8,-1.7,200,0.62,0.22,37,0.25,0.62,16,RB,220,0.313,0.206,0.243,5,0,0,2,1,9.3,0,0.5,0.385,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,brown,malcolm brown,m,brown5200rbm,49877-32234:Malcolm Brown,49877-32234,RB,m,Malcolm Brown,brown,24.5,1,5200,LAR@PHI,LAR,PHI,,,,ryland,ryland,malcolm,brown5200rbm
brown6200wrm,83.82,Marquise Brown,6200,BAL,@HOU,,,10.87,15.2,6.6,2.81,1.8,14.5,8.06,6.7,-14,3.9,1,0.53,3,0,0.98,0.2,42,28.5,21,-1.3,-7.5,49.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.33,0,0,0,0,12.6,300,2.1,0.34,100,1,0,20,8.1,1.9,300,1.79,0.19,63,0.47,0.36,19,WR,220,0,0,0,0,4,3,34,19,11.6,0.4,6.5,0.333,0,0.174,0.156,0.174,0,0,0,0,0,0,0,0,0,0,brown,marquise brown,m,brown6200wrm,49877-86687:Marquise Brown,49877-86687,WR,m,Marquise Brown,brown,12.60000038,1,6200,BAL@HOU,BAL,HOU,,,,ryland,ryland,marquise,brown6200wrm
brown6400wrj,60.39,John Brown,6400,BUF,@MIA,,,8.56,12.3,4.8,0.04,1.3,3,8.52,16.2,-10,1.2,0.4,0.6,4,0,0.94,2.2,64,24,18.5,0.7,-5.5,42.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.4,0.13,89,0.7,0.11,16,300,1.6,0.2,100,1,0,10,11.1,3.1,300,1.26,0.17,83,0.33,0.16,18,WR,220,0,0,0,0,7,4,66,27,14.6,0.4,9.4,0.2,0,0.251,0.286,0.307,0,0,0,0,0,0,0,0,0,0,brown,john brown,j,brown6400wrj,49877-54606:John Brown,49877-54606,WR,j,John Brown,brown,16,1,6400,BUF@MIA,BUF,MIA,,,,ryland,ryland,john,brown6400wrj
buffalo4900,38.27,Buffalo,4900,BUF,@MIA,,,8,16.5,-0.5,-0.57,1.6,6.5,8.57,2,3,0,0,0.86,2,0,0.62,-1.8,0,24,18.5,0.7,-5.5,42.5,77,0,0,0,0,0,0,0,0,0,0,0,0,2.59,8.37,0,0,0,0,0,0,0,0,0,89,0.7,0.11,8,200,0,0,100,1,0,10,9.1,0.5,200,0,0,100,0.68,0,19,DEF,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4382,0.4628,0.0151,0.0301,6.39,8.79,4.64,3.73,0.187,buffalo,buffalo,b,buffalo4900,49877-12526:Buffalo Bills,49877-12526,D,b,Buffalo Bills,bills,8,1,4900,BUF@MIA,BUF,MIA,,,,Bills,Bills,buffalo,buffalo4900
campbell5300wrp,84.3,Parris Campbell,5300,IND,MIN,,,9.54,13.3,5.8,3.53,1.8,6.5,6.01,0.7,-12,8.3,0.97,0.56,2,0,0.59,0.9,37,26.3,22.8,1.8,-3.5,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.07,0,0,0,0,11,200,1.1,0.18,100,1,0,10,2.6,-0.3,200,0.44,0.07,26,0.13,0.53,15,WR,220,0,0,0,0,5,3,30,13,8.4,0,4.8,0,0,0.143,0,0.114,0,0,0,0,0,0,0,0,0,0,campbell,parris campbell,p,campbell5300wrp,49877-56262:Parris Campbell,49877-56262,WR,p,Parris Campbell,campbell,11,1,5300,MIN@IND,IND,MIN,,,,ryland,ryland,parris,campbell5300wrp
