,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
arnold5000ted,66,Dan Arnold,5000,ARI,@NYG,,,3.85,5.6,2.1,-1.09,0.8,0.5,9.7,4.94,-14,0.35,0,0,3,0,0.78,1.9,27,25,22,1.2,-3,47,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.2,0.13,56,0.65,0.02,8.1,700,2.7,0.34,100,0.6,0,50,6.1,2.2,800,2.42,0.23,88,0.35,0,17,TE,1520,0,0,0,0,2,1,25,18,14.9,0.3,8.5,0.429,0,0.077,0.192,0.105,0,0,0,0,0,0,0,0,0,0,arnold,dan arnold,d,arnold5000ted,,TE,,,,,,,,,,,,,,,,,,
atlanta3500,40.37,Atlanta,3500,ATL,@LAC,,,6.2,13,-0.6,2.13,1.8,3,4,4.07,-9,0.19,0,0,1,0,0.62,4.3,0,24,25,-1.8,1,49,48,0,0,0,0,0,0,0,0,0,0,0,0,1.85,5.36,0,0,0,0,0,0,0,0,0,0,0,0,12.3,300,0,0,100,0.66,0,30,60,1.8,-100,0,0,76,0.52,0.23,17,DEF,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4935,0.4877,0.0112,0.0475,7.74,9.13,6.14,3.77,0.2336,atlanta,atlanta,a,atlanta3500,,D,,,,,,,,,,,,,,,,,,
ballage5000rbk,61.8,Kalen Ballage,5000,LAC,ATL,,,4.74,6.4,3.1,-1.44,0.9,0.5,2.5,6.18,-14,0.41,0,0,3,0,0.49,-4.9,30,25,24,1.2,-1,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,3.6,0,0.591,1.31,0.38,0.15,0,0,0,9.6,-300,0.48,0.23,75,0.5,0,40,6.2,0.2,300,0.51,0.21,37,0.18,0.06,16,RB,1520,0,0.28,0.442,7,4,4,22,11,5.5,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,ballage,kalen ballage,k,ballage5000rbk,,RB,,,,,,,,,,,,,,,,,,
barber4600rbp,90.55,Peyton Barber,4600,WAS,@SF,,,8.56,11.3,5.8,3.38,1.9,3,4.8,5.18,-8,0.56,0,0,3,0,0.94,-0.2,12,20.3,23.3,0.3,3,43.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,2.5,0.2,0.351,1.07,0.8,0.6,72,0,0,4.7,100,0.52,0.29,100,0.25,0,40,4.2,-1.4,-300,0.61,0.35,58,0.17,0.29,17,RB,1520,0.167,0.156,0.184,6,0,0,3,2,9.8,0,5.9,0.188,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,barber,peyton barber,p,barber4600rbp,,RB,,,,,,,,,,,,,,,,,,
batson4800wrc,54.8,Cameron Batson,4800,TEN,@JAX,,,3.47,5,2,-1.4,0.7,0.5,0,4.87,-37,0.22,0,0,1,0,0.05,2.6,24,30.3,22.8,-0.2,-7.5,53,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.13,0.06,71,0.75,0.02,4.3,300,1.61,0.2,66,0.33,0.33,30,3.2,-0.4,300,1.69,0.13,45,0.09,0.18,11,WR,1520,0,0,0,0,1,1,11,8,80,0.1,0,1,0,0.046,0.059,0.042,0,0,0,0,0,0,0,0,0,0,batson,cameron batson,c,batson4800wrc,,WR,,,,,,,,,,,,,,,,,,
beebe4900wrc,52.95,Chad Beebe,4900,MIN,@TB,,,3.28,4.8,1.8,-1.82,0.7,0.5,0,5.1,-38,0.21,0,0,1,0,0.03,2.4,21,22.5,29.5,-0.5,7,52,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.07,0,76,0.74,0.01,6.1,400,2.04,0.25,50,0.25,0.25,40,3.7,-0.2,400,1.66,0.17,29,0.05,0.05,17,WR,1520,0,0,0,0,2,1,13,7,8.5,0.1,0,0.25,0,0.074,0.042,0.05,0,0,0,0,0,0,0,0,0,0,beebe,chad beebe,c,beebe4900wrc,,WR,,,,,,,,,,,,,,,,,,
bell5400rbl,62.55,Le'Veon Bell,5400,KC,@MIA,,,5.78,7.8,3.8,-1.4,1.1,0.5,4.5,7.18,-8,0.56,1,0.2,4,0,0.49,-0.9,31,29.5,22,1.5,-7.5,51.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,3.3,0.1,0.404,1.07,0.36,0.14,80,0.69,0.01,6.9,-100,0.72,0.28,100,0.33,0,30,6.5,-1.7,-1100,0.54,0.21,57,0.07,0.14,14,RB,1520,0.167,0.383,0.491,9,2,2,15,11,7.5,0,6.2,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,bell,le'veon bell,l,bell5400rbl,,RB,,,,,,,,,,,,,,,,,,
bernard5700rbg,90.75,Giovani Bernard,5700,CIN,DAL,,,11.16,14.5,7.8,3.23,2,6.5,1.8,7.93,-5,0.65,0.67,2.9,6,0,0.64,0.3,32,20.5,23.5,0.7,3,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,3.3,0.1,0.506,1.67,0.87,0.4,44,0.69,0.02,6,-500,0.44,0.16,100,0,0,40,6.6,0,900,0.71,0.21,87,0.25,0.12,16,RB,1520,0.167,0.197,0.473,5,3,2,18,11,7.1,0.1,30,0.133,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,bernard,giovani bernard,g,bernard5700rbg,,RB,,,,,,,,,,,,,,,,,,
berrios4800wrb,84.55,Braxton Berrios,4800,NYJ,@SEA,,,6.93,9.7,4.1,2.06,1.4,3,6.4,4.87,-27,0.34,0,0,1,0,0.05,0.3,21,16.5,33,0,16.5,49.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.07,0,42,0.87,0.67,4.3,-100,6.42,1.43,33,0,0,30,5.4,1.1,300,1.58,0.25,46,0.2,0.2,15,WR,1520,0,0,0,0,3,2,20,12,9.9,0.2,2.8,0.333,0,0.114,0.167,0.109,0,0,0,0,0,0,0,0,0,0,berrios,braxton berrios,b,berrios4800wrb,,WR,,,,,,,,,,,,,,,,,,
blake4600wrc,69.75,Christian Blake,4600,ATL,@LAC,,,4.97,7.1,2.8,0.55,1.1,0.5,0,4.42,-25,0.36,0,0,0,0,0.16,-0.5,25,24,25,-1.8,1,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,3,-100,1.8,0.1,66,0,0,30,2.6,-1,100,1.97,0.1,38,0.11,0.22,18,WR,1520,0,0,0,0,1,0,9,6,11.8,0,0,0,0,0.034,0,0.033,0,0,0,0,0,0,0,0,0,0,blake,christian blake,c,blake4600wrc,,WR,,,,,,,,,,,,,,,,,,
booker5700rbd,58.3,Devontae Booker,5700,LV,IND,,,5.85,7.8,3.9,-2.08,1,0.5,3.4,7.93,-8,0.56,0.5,0.7,2,0,0.9,0.2,12,24.5,27,0.7,2.5,51.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,5,0.2,0.487,1,0.27,0.07,0,0,0,7.5,500,0.6,0.31,50,0.25,0.5,40,4.9,-0.4,1100,0.76,0.41,56,0.25,0.37,16,RB,1520,0.188,0.223,0.193,5,1,1,5,4,5.6,0,3.2,0.077,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,booker,devontae booker,d,booker5700rbd,,RB,,,,,,,,,,,,,,,,,,
bourne5000wrk,67.65,Kendrick Bourne,5000,SF,WAS,,,5.56,7.9,3.2,0.23,1.1,0.5,7.7,5.33,-19,0.45,0,0,1,0,0.58,0.2,41,23.3,20.3,-0.2,-3,43.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.25,0.19,72,0,0,5,-400,0.94,0.14,100,0,0,30,6.1,-0.3,-700,1.41,0.15,68,0.21,0.15,19,WR,1520,0,0,0,0,4,2,34,15,12.5,0.1,5.1,0.111,0,0.132,0.056,0.131,0,0,0,0,0,0,0,0,0,0,bourne,kendrick bourne,k,bourne5000wrk,,WR,,,,,,,,,,,,,,,,,,
bowden4600wrl,65.05,Lynn Bowden,4600,MIA,KC,,,4.41,6.4,2.4,-0.01,1,0.5,11.9,4.42,-32,0.28,0,0,1,0,0.16,0.3,12,22,29.5,1.5,7.5,51.5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,80,0.69,0.01,7.2,100,2.4,0.28,25,0.25,0,40,2.1,0.3,0,1.16,0.18,8,0.08,0.25,12,WR,1520,0,0,0,0,1,0,6,2,80,0,0,0,0,0.027,0,0.023,0,0,0,0,0,0,0,0,0,0,bowden,lynn bowden,l,bowden4600wrl,,WR,,,,,,,,,,,,,,,,,,
boyd6700wrt,82.7,Tyler Boyd,6700,CIN,DAL,,,10.75,14.6,6.9,1.55,1.6,3,6.8,9.2,1,0.86,1,2.3,2,0,0.05,3.2,55,20.5,23.5,0.7,3,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.53,0.33,44,0.69,0.02,9.2,0,1.12,0.21,75,0.5,0.25,40,12.4,4.1,600,1.29,0.23,86,0.53,0.13,15,WR,1520,0,0,0,0,8,6,67,22,11.2,0.4,6.9,0.235,0,0.222,0.286,0.265,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd6700wrt,,WR,,,,,,,,,,,,,,,,,,
brady7800qbt,95.3,Tom Brady,7800,TB,MIN,,,20.36,32,8.8,3.59,2.6,6.5,15.64,16.77,-3,0.52,0.89,4.3,1,0,0.97,-1.2,66,29.5,22.5,0,-7,52,53,24,37,261,64,6.9,6.84,2.2,36,21.6,54.3,21.2,5.9,2.2,3.4,1,0,0,0.3,0.2,0.231,6.67,3.8,1.67,76,0.74,0.01,23.4,0,0.52,0.35,100,0.66,0,30,18.5,1.9,300,0.45,0.28,83,0.44,0.16,18,QB,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7800qbt,,QB,,,,,,,,,,,,,,,,,,
brate4700tec,79.5,Cameron Brate,4700,TB,MIN,,,4.83,6.8,2.9,0.59,1,0.5,1.4,4.24,-10,0.45,0,0,1,0,0.29,2.3,19,29.5,22.5,0,-7,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.27,0.2,76,0.74,0.01,6.6,100,1.52,0.24,100,0.33,0,30,4.8,-0.2,300,1.78,0.25,56,0.25,0.18,16,TE,1520,0,0,0,0,2,1,15,8,90,0.2,2.9,0.5,0,0.07,0.086,0.054,0,0,0,0,0,0,0,0,0,0,brate,cameron brate,c,brate4700tec,,TE,,,,,,,,,,,,,,,,,,
bridgewater7000qbt,90.15,Teddy Bridgewater,7000,CAR,DEN,,,17.8,29.1,6.5,2.6,2.5,3,20.42,15.2,-5,0.39,0,0.3,1,0,0.87,-1,54,25,21,0.7,-4,46,60,21,30,236,70,7.7,6.89,1.2,42,24.7,62.5,7.6,4,2.3,5.4,3,7,15,4.7,0.2,0.442,3.8,1.87,0.67,67,0.67,0.01,17.5,0,0.53,0.32,66,0.33,0,30,13.3,2.1,200,0.37,0.25,68,0.43,0.25,16,QB,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater7000qbt,,QB,,,,,,,,,,,,,,,,,,
brown6500wra,86.1,Antonio Brown,6500,TB,MIN,,,10.75,14.6,6.9,2,1.7,6.5,7.4,8.75,-10,0.6,0.92,3.7,4,0,0.71,1,41,29.5,22.5,0,-7,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,76,0.74,0.01,7.3,0,0.85,0.18,66,0,0.33,30,6.7,-2,0,0.86,0.16,50,0,0.25,40,WR,1520,0,0,0,0,7,5,42,15,8.4,0,0,0,0,0.178,0,0.151,0,0,0,0,0,0,0,0,0,0,brown,antonio brown,a,brown6500wra,,WR,,,,,,,,,,,,,,,,,,
brown8000wra,77.4,AJ Brown,8000,TEN,@JAX,,,13.05,18.3,7.8,0.88,1.6,10.5,20.7,12.17,-4,0.73,1,4.6,8,0,0.82,2.6,56,30.3,22.8,-0.2,-7.5,53,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.44,0.06,71,0.75,0.02,15.6,500,2.33,0.26,66,0.33,0.33,30,11.2,0.3,1300,1.51,0.2,55,0.3,0.35,20,WR,1520,0,0,0,0,7,4,76,36,17.5,0.8,13.8,0.533,0,0.241,0.345,0.307,0,0,0,0,0,0,0,0,0,0,brown,aj brown,a,brown8000wra,,WR,,,,,,,,,,,,,,,,,,
burton5200tet,73.85,Trey Burton,5200,IND,@LV,,,5.23,7.3,3.1,-0.17,1,0.5,0,5.4,-6,0.58,0,0.4,1,0,0.08,0.3,30,27,24.5,0.2,-2.5,51.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.33,0.27,0,0,0,7.6,0,1.63,0.3,66,0.33,0.33,30,6.9,0.9,500,1.44,0.23,47,0.11,0.11,17,TE,1520,0,0,0,0,4,2,24,12,9.3,0.3,0,0.333,0,0.127,0.2,0.091,0,0,0,0,0,0,0,0,0,0,burton,trey burton,t,burton5200tet,,TE,,,,,,,,,,,,,,,,,,
carolina3400,55.85,Carolina,3400,CAR,DEN,,,6.6,13.7,-0.5,2.85,1.9,10.5,3,3.75,-4,0.45,0,0,3,0,0.96,2.8,0,25,21,0.7,-4,46,60,0,0,0,0,0,0,0,0,0,0,0,0,1.12,4.29,0,0,0,0,0,0,0,0,0,67,0.67,0.01,11.7,400,0,0,100,0.66,0,30,4.4,0.5,0,0,0,80,0.26,0.2,15,DEF,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5243,0.5235,0.0065,0.0489,7.05,12.21,5.79,3.82,0.2164,carolina,carolina,c,carolina3400,,D,,,,,,,,,,,,,,,,,,
carr7100qbd,90.45,Derek Carr,7100,LV,IND,,,17.96,29.8,6.1,2.57,2.5,0.5,25.84,15.39,5,0.95,0,0.3,1,0,0.92,0.7,67,24.5,27,0.7,2.5,51.5,46,23,33,264,68,7.8,7.84,1.7,42,21.5,42.6,30,5.2,0.9,5.4,2,6,9,4.1,0.1,0.514,6.4,3.13,1.93,0,0,0,16,200,0.42,0.25,75,0.5,0.25,40,17.8,2.3,0,0.47,0.27,93,0.62,0.06,16,QB,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7100qbd,,QB,,,,,,,,,,,,,,,,,,
carson7700rbc,84.45,Chris Carson,7700,SEA,NYJ,,,14.36,18.5,10.2,1.45,1.9,6.5,17.3,12.91,5,0.94,1,3.3,10,0,0.59,-1.9,32,33,16.5,2.5,-16.5,49.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,60,5.1,0.6,0.622,1.38,0.75,0.56,42,0.87,0.67,15.7,-100,1.08,0.48,50,0,0,40,12.2,1.6,500,0.78,0.38,41,0.23,0.35,17,RB,1520,0.75,0.498,0.495,11,3,2,23,13,8.1,0.4,11,0.313,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,carson,chris carson,c,carson7700rbc,,RB,,,,,,,,,,,,,,,,,,
cephus5000wrq,58.25,Quintez Cephus,5000,DET,GB,,,4.29,6.4,2.2,-1.04,0.9,0.5,2.6,5.33,-32,0.28,0,0,1,0,0.05,0.8,27,23,32.5,0,9.5,55.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0,0,0,0,5,400,1.99,0.2,100,0.25,0,40,5.2,0.4,500,1.89,0.19,58,0.16,0,12,WR,1520,0,0,0,0,2,1,26,17,16.9,0.1,0,0,0,0.077,0.059,0.096,0,0,0,0,0,0,0,0,0,0,cephus,quintez cephus,q,cephus5000wrq,,WR,,,,,,,,,,,,,,,,,,
chark5900wrd,94.9,DJ Chark,5900,JAX,TEN,,,10.96,15.2,6.7,3.58,1.9,6.5,2.6,7.38,-5,0.7,0,0,6,0,0.86,2.9,54,22.8,30.3,-0.2,7.5,53,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.33,0.13,71,0.75,0.02,6.3,-700,0.94,0.11,75,0,0,40,8.6,0.3,-700,1.21,0.16,56,0.12,0.25,16,WR,1520,0,0,0,0,7,4,52,25,12.8,0.3,4.7,0.273,0,0.198,0.2,0.211,0,0,0,0,0,0,0,0,0,0,chark,dj chark,d,chark5900wrd,,WR,,,,,,,,,,,,,,,,,,
chicago4100,39.7,Chicago,4100,CHI,HOU,,,6.6,13.5,-0.3,0.6,1.6,3,15,6,-5,0.4,0,0,1,0,0.62,-1.7,0,22.5,23.5,0.7,1,46,45,0,0,0,0,0,0,0,0,0,0,0,0,1.77,4.92,0,0,0,0,0,0,0,0,0,34,0.83,0.04,5.8,500,0,0,75,0.5,0.25,40,5.1,-0.6,-300,0,0,88,0.38,0.11,18,DEF,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4665,0.4239,0.0097,0.0385,7.04,9.8,3.86,2.5,0.1905,chicago,chicago,c,chicago4100,,D,,,,,,,,,,,,,,,,,,
cincinnati3600,46.73,Cincinnati,3600,CIN,DAL,,,6.7,13.6,-0.2,2.31,1.9,3,2,4.39,-2,0.57,0,0,1,0,0.42,2.9,0,20.5,23.5,0.7,3,44,41,0,0,0,0,0,0,0,0,0,0,0,0,2.43,4.29,0,0,0,0,0,0,0,0,0,44,0.69,0.02,3.3,200,0,0,75,0.5,0.25,40,3.2,-1,0,0,0,73,0.33,0.26,15,DEF,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4851,0.5093,0.0135,0.0445,7.37,10.33,5.13,3.21,0.2258,cincinnati,cincinnati,c,cincinnati3600,,D,,,,,,,,,,,,,,,,,,
